ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Cozy Mystery,B0D9F3KFPM,The Maid's Secret: A Maid Novel (Molly the Maid Book 3),Nita Prose,https://www.amazon.com/stores/author/B096BLV2JQ,Molly the Maid,1.99,4.40,3025,151,2025-04-08,Ballantine Books,"NATIONAL BESTSELLER • A daring art heist on the eve of Molly’s wedding reveals long-buried secrets in this intriguing and heartwarming novel from the #1 New York Times bestselling author of The Maid and The Mystery Guest. ”A big-hearted examination of wealth and social class.”— Oprah Daily ”A glorious read . . . intrigue, heart, and humanity in spades.”—Lucy Foley Molly Gray’s life is about to change in ways she could never have imagined. As the esteemed Head Maid and Special Events Manager of the Regency Grand Hotel, two good things are just around the corner—a taping of the hit antiquities TV show Hidden Treasures and, even more exciting, her wedding to Juan Manuel. When Molly brings in some old trinkets to be appraised on the show, one item is revealed to be a rare and coveted artifact worth millions. Molly becomes a rags-to-riches sensation, and a media frenzy swirls as she prepares to sell her priceless treasure. Then, on auction day, the treasure suddenly vanishes. and Molly and her friends find themselves at the center of the boldest art heist in recent memory. But the key to this mystery lies in the past, in a long-forgotten diary written by Molly’s Gran. For the first time ever, Molly learns about her grandmother’s secrets: how she was born into a wealthy family and fell head-over-heels in love with a young man her parents deemed below her. As fate would have it, Gran’s greatest love was someone Molly knows quite well. A spirited heist caper and an epic love story, The Maid’s Secret is a spell-binding whodunit that will capture your heart.",https://m.media-amazon.com/images/I/41mF6+YTmNL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0D9F3KFPM,"[""Office/Workplace"",""Regency"",""Crime""]","[""[#1 in Cozy Mystery](https://www.amazon.com/gp/bestsellers/digital-text/6190476011/ref=pd_zg_hrsr_digital-text)\n[#1 in Heist Thrillers](https://www.amazon.com/gp/bestsellers/books/9536063011/ref=pd_zg_hrsr_books)\n[#2 in Mystery"",""Thriller & Suspense Literary Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588851011/ref=pd_zg_hrsr_digital-text)""]",Molly Gray’s life #1 New York Times her grandmother’s secrets Maid’s Secret rare and coveted artifact boldest art heist daring art heist long-buried secrets epic love story Gran’s greatest love intriguing and heartwarming novel Regency Grand Hotel media frenzy swirls spell-binding whodunit esteemed Head Maid spirited heist caper hit antiquities TV long-forgotten diary,Third,false,true,true
2025-08-11,Cozy Mystery,B084M663VB,The Thursday Murder Club: A Novel (Thursday Murder Club Mysteries Book 1),Richard Osman,https://www.amazon.com/stores/author/B074KL81KM,Thursday Murder Club Mysteries,12.99,4.30,169823,311,2020-09-22,Penguin Books,"A New York Times bestseller | Soon to be a major motion picture from Steven Spielberg at Amblin Entertainment ""Witty, endearing and greatly entertaining."" —Wall Street Journal ""Don't trust anyone, including the four septuagenarian sleuths in Osman's own laugh-out-loud whodunit."" — Parade Four septuagenarians with a few tricks up their sleeves A female cop with her first big case A brutal murder Welcome THURSDAY MURDER CLUB In a peaceful retirement village, four unlikely friends meet weekly in the Jigsaw Room to discuss unsolved crimes; together they call themselves the Thursday Murder Club.",https://m.media-amazon.com/images/I/51icngeRgBL._SY445_SX342_.jpg,https://www.amazon.com/dp/B084M663VB,"[""Detective"",""Crime"",""Police""]","[""[#1 in Amateur Sleuths](https://www.amazon.com/gp/bestsellers/books/11764650011/ref=pd_zg_hrsr_books)\n[#2 in Cozy Mystery](https://www.amazon.com/gp/bestsellers/digital-text/6190476011/ref=pd_zg_hrsr_digital-text)\n[#2 in Cozy Mysteries (Books)](https://www.amazon.com/gp/bestsellers/books/7538396011/ref=pd_zg_hrsr_books)""]",Thursday Murder Club New York Times bestseller her first big case A brutal murder Welcome THURSDAY MURDER CLUB Amblin Entertainment Four septuagenarians major motion picture peaceful retirement village,Third,false,false,true
2025-08-11,Cozy Mystery,B089NDHR36,Murder in an Irish Bookshop: A Cozy Irish Murder Mystery (An Irish Village Mystery Book 7),Carlene O'Connor,https://www.amazon.com/stores/author/B01BJ1KOFY,Irish Village Mysteries,6.99,4.50,2597,410,2021-02-23,Kensington Cozies,"When a new bookstore in the County Cork Irish village of Kilbane closes the book on an author’s life, it’s up to Garda Siobhán O'Sullivan to resolve the story . . . Between training the new town garda and trying to set a wedding date with her fiancé, Macdara Flannery, Siobhán is feeling a bit overwhelmed. But an author event at the new bookstore featuring Irish writers taking up residency in Kilbane offers a welcome distraction. One author, Deirdre Walsh, spends more time complaining about the unfairness of the publishing industry and megastar bestselling authors like Nessa Lamb instead of her own body of work. After the evening ends in a battle of words, Deirdre’s body is found the next day in the back of the store—with pages torn from Nessa’s books stuffed in her mouth. Now, Siobhán must uncover which of Kilbane’s literary guests took Deirdre’s criticisms so personally they engaged in foul play . . . “A mélange of clues from classic mysteries plus plenty of Irish charm produce an enjoyable read.” — Kirkus Reviews “Outstanding . . . O’Connor reinforces her place as the queen of the cozy police procedural.” — Publishers Weekly (starred review)",https://m.media-amazon.com/images/I/513KTfsFI8L._SY445_SX342_.jpg,https://www.amazon.com/dp/B089NDHR36,"[""Crime"",""Police""]","[""[#2 in International Mystery & Crime (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361461011/ref=pd_zg_hrsr_digital-text)\n[#3 in Cozy Mystery](https://www.amazon.com/gp/bestsellers/digital-text/6190476011/ref=pd_zg_hrsr_digital-text)\n[#3 in Cozy Mysteries (Books)](https://www.amazon.com/gp/bestsellers/books/7538396011/ref=pd_zg_hrsr_books)""]",new town garda County Cork Irish village author’s life  — Kirkus Reviews Kilbane’s literary guests,Third,false,false,true
2025-08-11,Cozy Mystery,B0DK89GJC7,Dune House Cozy Mysteries Box Set Books 21 - 30 (Dune House Cozy Mysteries 10 Book Boxed Sets 3),Cindy Bell,https://www.amazon.com/stores/author/B00F272KB8,Dune House Cozy Mysteries 10 Book Boxed Sets,0.99,4.80,61,841,2024-10-17,,"A heartwarming cozy mystery series with endearing friendships, puzzling mysteries, and a little romance. Includes books 21-30 in the bestselling Dune House Cozy Mystery Series. When Suzie inherits a grand, old house on the beach, she together with her best-friend, Mary, go to see the dilapidated structure. With Suzie looking for a new challenge and Mary’s impending divorce, the friends decide to refurbish the old house back into its former glory as a majestic B&B. What started off as a few days away turns into a new beginning. In their fifties the two friends never expected the exciting adventures their decision would lead to. They love life in the beautiful beachside setting, filled with fun, romance, and a bit of sleuthing. This box set includes: Fame, Food, and Murder Beaches and Betrayal Fatal Festivities Sunsets, Smoke, and Suspicion Hobbies and Homicide Anchors and Abduction Friends, Family, and Fugitives Palm Trees and Protests Road Trip, Risk, and Revenge Fruit Smoothies and Felonies If you like page-turning cozy mysteries with strong female sleuths, baffling mysteries and a long list of suspicious characters, you'll love these heartwarming whodunnits by USA Today and WSJ Bestselling Author Cindy Bell. Get this Dune House Cozy Mystery Ten Book Box Set and start solving the mysteries today!",https://m.media-amazon.com/images/I/51LnNdBdlWL._SX342_SY445_.jpg,https://www.amazon.com/dp/B0DK89GJC7,"[""Detective"",""Friendship"",""Crime""]","[""[#1 in Cozy Culinary Mystery](https://www.amazon.com/gp/bestsellers/digital-text/7130631011/ref=pd_zg_hrsr_digital-text)\n[#1 in Cozy Craft & Hobby Mysteries](https://www.amazon.com/gp/bestsellers/books/9536059011/ref=pd_zg_hrsr_books)\n[#1 in Cozy Crafts & Hobbies Mystery](https://www.amazon.com/gp/bestsellers/digital-text/7130630011/ref=pd_zg_hrsr_digital-text)""]","Revenge Fruit Smoothies grand, old house Fugitives Palm Trees Dune House Cozy Mystery Ten Book Box Set beautiful beachside setting bestselling Dune House Cozy Mystery Series Protests Road Trip her best-friend Betrayal Fatal Festivities Sunsets heartwarming cozy mystery series Mary’s impending divorce page-turning cozy mysteries",Third,false,false,true
2025-08-11,Cozy Mystery,B0FJVNR9DG,"Bad Company (A Piper Harris Mystery, Volume 7)",Deany Ray,https://www.amazon.com/stores/author/B018S6XPAE,A Piper Harris Mystery,5.99,4.70,593,856,2025-07-23,,"Witness protection was supposed to make Piper Harris a boring civilian. Well . . . that didn’t quite work out. When Ryker—the hot could-be-something-more PI—gets shot outside a flower shop right before their first date, Piper knows someone’s going to pay. Big time! And it won’t be with senior citizen discounts. With Ryker unconscious in the hospital, fighting for his life, the investigation drags Piper, Gran, and their trouble-magnet neighbor Edie into the seedy underbelly of Bitter End, where infiltrating dive bars becomes part of the job, gang members have the collective IQ of a houseplant, and everyone’s got something to hide. Between tracking down leads, wrestling with suspects, and watching Gran work her legendary shooting skills, Piper discovers the violence isn’t over. The people who shot Ryker aren’t finished, and they’re coming back to finish the job. With help from shady allies and her own criminal instincts, Piper races against time to save Ryker while maintaining her witness protection cover. Because whoever’s behind this clearly underestimated what a former biker chick can do. Just another day in paradise, complete with incompetent hit men, foot powder theft, showgirls, and enough chaos to make Piper’s old biker gang proud. Good thing she’s got her knife and her attitude. She’s going to need both. Bad Company is perfect for fans of Janet Evanovich, Jana DeLeon, Gemma Halliday, Liliana Hart, and JB Lynn.",https://m.media-amazon.com/images/I/51JT2nM-esL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FJVNR9DG,"[""Detective"",""Crime"",""Biker""]","[""[#2 in Lawyers & Criminals Humor](https://www.amazon.com/gp/bestsellers/books/4470/ref=pd_zg_hrsr_books)\n[#4 in Amateur Sleuth Mysteries (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/11650865011/ref=pd_zg_hrsr_digital-text)\n[#5 in Cozy Mystery](https://www.amazon.com/gp/bestsellers/digital-text/6190476011/ref=pd_zg_hrsr_digital-text)""]",hot could-be-something-more PI her own criminal instincts her witness protection cover her legendary shooting skills former biker chick their trouble-magnet neighbor Piper’s old biker gang,Third,false,true,true
2025-08-11,Cozy Mystery,B0F79LD3KL,Now and Then (Hart's Ridge Book 13),Kay Bratt,https://www.amazon.com/stores/author/B0027DQNYA,Hart's Ridge,4.99,4.70,993,1121,2025-07-25,Red Thread Publishing Group,"A woman sleuth. A cold case. A town full of secrets—and a sister fighting a battle of her own.  Taylor Gray has traded her badge for a fresh start. Alongside her husband Sam, she’s launched Graystone Investigations—a private detective agency fueled by grit, intuition, and an unwavering pursuit of justice. Their latest case? A high-stakes cold case that could overturn a decade-old conviction.  A man has spent years behind bars for a brutal crime—but did he do it? Or was he simply the easiest target in a town eager to close the file? Hired by the man’s devoted sister, Taylor and Sam dig deep into a web of missing evidence, forgotten leads, and truths buried under years of silence.  Back home in Hart’s Ridge, Taylor’s younger sister Anna is fighting a quieter battle—one that’s just as harrowing. Suspended from her job as an ER nurse after being accused of theft, Anna is determined to clear her name. But the deeper she digs, the more dangerous the lies become—especially when her ex-husband’s powerful family is pulling the strings. With a blossoming romance on shaky ground and her children caught in the crossfire, Anna must decide how much she's willing to risk to reclaim her life.  As the Gray sisters fight for justice—one in a courtroom, the other in a hospital hallway—they'll learn that sometimes the truth isn’t just hidden…it’s protected by those who fear it most.  From the bestselling author of Hart’s Ridge comes a gripping new chapter in the series—woven with heart, family, suspense, and the kind of justice only the Gray women can deliver.",https://m.media-amazon.com/images/I/41eZcH2I6KL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F79LD3KL,"[""Detective"",""Crime"",""Police"",""Suspense""]","[""[#2 in Cozy Animal Mystery](https://www.amazon.com/gp/bestsellers/digital-text/7130629011/ref=pd_zg_hrsr_digital-text)\n[#6 in Cozy Animal Mysteries](https://www.amazon.com/gp/bestsellers/books/9536058011/ref=pd_zg_hrsr_books)\n[#7 in Private Investigator Mysteries (Books)](https://www.amazon.com/gp/bestsellers/books/7538398011/ref=pd_zg_hrsr_books)""]",man’s devoted sister decade-old conviction private detective agency only the Gray women her ex-husband’s powerful family Taylor’s younger sister high-stakes cold case gripping new chapter,Third,false,false,true
2025-08-11,Cozy Mystery,B0DPLW7YFX,The Impossible Fortune: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 5),Richard Osman,https://www.amazon.com/stores/author/B074KL81KM,Thursday Murder Club Mysteries,14.99,,,1170,2025-09-30,Pamela Dorman Books,"The unmissable new mystery in the Thursday Murder Club series from #1 New York Times bestselling author Richard Osman Who's got time to think about murder when there's a wedding to plan? It’s been a quiet year for the Thursday Murder Club. Joyce is busy with table plans and first dances. Elizabeth is grieving. Ron is dealing with family troubles, and Ibrahim is still providing therapy to his favorite criminal. But when Elizabeth meets Nick, a wedding guest asking for her help, she finds the thrill of the chase is ignited once again. And when Nick disappears without a trace, his cagey business partner becomes the gang’s next stop. It seems the duo have something valuable—something worth killing for. Joyce’s daughter, Joanna, jumps into the fray to help the gang as they seek answers: Has someone kidnapped Nick? And what’s this uncrackable code they keep hearing about? Plunged back into action once more, can the four friends solve the puzzle and a murder in time?",https://m.media-amazon.com/images/I/51VRVs9YVsL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DPLW7YFX,"[""Crime""]","[""[#3 in Cozy Animal Mystery](https://www.amazon.com/gp/bestsellers/digital-text/7130629011/ref=pd_zg_hrsr_digital-text)\n[#4 in Amateur Sleuths](https://www.amazon.com/gp/bestsellers/books/11764650011/ref=pd_zg_hrsr_books)\n[#5 in Amateur Sleuth Mysteries (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/11650865011/ref=pd_zg_hrsr_digital-text)""]",his cagey business partner Thursday Murder Club Thursday Murder Club series unmissable new mystery gang’s next stop,Third,false,false,true
2025-08-11,Cozy Mystery,B0FL7QVX17,THE COMPLETE TARNFIELD COZY MYSTERIES BOOKS 1-6 six gripping British whodunnits,Lis Howell,https://www.amazon.com/stores/author/,,0.99,,,1264,2025-08-04,"Joffe Books crime mystery, thriller and suspense box sets","Six gripping mysteries full of sparkling wit. Over 2000 pages of crime-solving. Beneath the charm of the village Tarnfield lies a trail of murder, lies — and one unlikely sleuth. Meet the Amateur Sleuth Suzy Spencer never planned on village life — or amateur sleuthing. A former London TV producer turned single mum, she moved to Tarnfield when her husband Nigel uprooted the family for his advertising job. He lasted a year before running off with his new PA, leaving Suzy behind with the kids, a mortgage, and no plan B.  Now Suzy’s juggling freelance media work, chaotic school runs, and a church flower rota she never actually signed up for. Sharp, irreverent, and usually running late, she’s more at home with takeaway pizza than floral swags — but she has a knack for spotting what others miss.  Messy but intuitive, underestimated but relentless — Suzy may not look the part, but she’s exactly the woman to unravel the secrets simmering beneath Tarnfield’s picturesque surface. And when secrets start bubbling to the surface in Tarnfield, she can’t help digging — especially with quiet, grief-stricken Robert Clark often by her side. The Setting Tarnfield looks like a postcard-perfect Cumbrian village — rugged fells, stone cottages, winding lanes. But beneath the charm lies a hotbed of secrets and simmering tensions. Life revolves around All Saints Church, where parishioners are as quick to gossip as they are to pray. There’s the Lo-cost supermarket, the Plough pub, and a constant hum of village drama. The pavements are uneven, the flower arranging fiercely competitive, and outsiders like Suzy Spencer soon learn that even the prettiest places can hide dark truths. Behind the Easter services and choir rehearsals lurk rivalries, scandals — and the occasional murder. Fans of LJ Ross, Rhys Bowen, Richard Osman, Jeanne M. Dams, Frances Evesham and Margaret Mayhew are sure to be enchanted. PRAISE FOR THE TARNFIELD COZY MYSTERIES: 'A pleasure to read . . . engrossing to the end.' San Jose Mercury News ⭐⭐⭐⭐⭐ ' This series was a complete surprise and I’ve loved reading each.' Barbie T. ⭐⭐⭐⭐⭐ ‘ This was an excellent read — with many twists and turns whilst holding on to a very interesting storyline.’ KtMac ⭐⭐⭐⭐⭐ 'This book is brilliant and if you are looking for a cosy and not too blood curdling a murder it is ideal.' Murrow M. ⭐⭐⭐⭐⭐ 'I am an avid reader of who-dunnits and have a particular soft spot for insular, rural, parochial mysterie s! This from Lis Howell ticks all my boxes and more.' J.S. Bundy. ⭐⭐⭐⭐⭐ ‘The plot is intriguing and highly original, the characters fascinating and believable. At the end of each chapter I said, OK, just one more chapter — and then the day was gone.’ Bryan",https://m.media-amazon.com/images/I/51T+6JYnScL._SX342_SY445_.jpg,https://www.amazon.com/dp/B0FL7QVX17,"[""School/Academy"",""Holiday"",""Crime"",""British"",""Detective"",""Amateur Sleuth""]","[""[#8 in Cozy Mystery](https://www.amazon.com/gp/bestsellers/digital-text/6190476011/ref=pd_zg_hrsr_digital-text)\n[#15 in Murder](https://www.amazon.com/gp/bestsellers/digital-text/7130624011/ref=pd_zg_hrsr_digital-text)\n[#16 in Amateur Sleuths](https://www.amazon.com/gp/bestsellers/books/11764650011/ref=pd_zg_hrsr_books)""]","Lo-cost supermarket very interesting storyline particular soft spot church flower rota Setting Tarnfield Tarnfield’s picturesque surface Amateur Sleuth Suzy Spencer Barbie T. ⭐⭐⭐⭐⭐ quiet, grief-stricken Robert Clark insular, rural, parochial mysterie s ⭐⭐⭐⭐⭐ postcard-perfect Cumbrian village even the prettiest places former London TV producer Suzy’s juggling freelance media work just one more chapter",Third,false,true,true
2025-08-11,Cozy Mystery,B0DB5GZ6W8,Tiffany Black Cozy Mystery Compilation Books 1 to 12 (Cozy Mystery Compilations),A.R. Winters,https://www.amazon.com/stores/author/B00F0Z6Y32,Cozy Mystery Compilations (4 books),0.99,4.60,426,1402,2024-07-24,,"BIG deal on this box set of bestselling cozy mysteries - just 99 cents or FREE on Kindle Unlimited!  “ Witty, funny, and had me guessing until the end!” A killer on the loose. A rookie PI in over her head. And way too many cupcakes.  Cupcake-loving croupier Tiffany Black is done dealing cards—she wants to solve crimes. But when her first cases land her in the crosshairs of dangerous criminals, she quickly realizes that being a private investigator isn’t just thrilling… it’s deadly.  Her poker-hustling Nanna and meddling parents want her to settle down. But Tiffany has bigger problems—like staying one step ahead of a murderer who would rather see her six feet under.  With a dangerously handsome ally, a quirky new assistant, and a trail of jaw-dropping twists, Tiffany must outsmart the killer—before she becomes the next victim.  If you love fast-paced mysteries, laugh-out-loud humor, and a dash of romance, this 12-book box set is your next binge-read.  Get it now before the deal disappears!  Praise for A.R. Winters: ""You fall in love with Tiffany from the start and the adventure begins immediately.” ""A fun cozy mystery with engaging and entertaining characters"" ""I really liked Tiffany - smart, funny and obsessed with cupcakes!"" ""Happy I found this book. I love Nanna... I hope Tiffany has many more adventures!""",https://m.media-amazon.com/images/I/411Xe+CUHVL._SX342_SY445_.jpg,https://www.amazon.com/dp/B0DB5GZ6W8,"[""Detective"",""Culinary"",""Crime"",""Comedy""]","[""[#2 in Mystery Anthologies (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/157308011/ref=pd_zg_hrsr_digital-text)\n[#4 in Cozy Animal Mystery](https://www.amazon.com/gp/bestsellers/digital-text/7130629011/ref=pd_zg_hrsr_digital-text)\n[#9 in Cozy Animal Mysteries](https://www.amazon.com/gp/bestsellers/books/9536058011/ref=pd_zg_hrsr_books)""]",way too many cupcakes fast-paced mysteries your next binge-read dangerously handsome ally laugh-out-loud humor quirky new assistant Cupcake-loving croupier Tiffany Black jaw-dropping twists Her poker-hustling Nanna and meddling parents,Third,false,false,true
2025-08-11,Cozy Mystery,B08YRM9NBM,The Man Who Died Twice: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 2),Richard Osman,https://www.amazon.com/stores/author/B074KL81KM,Thursday Murder Club Mysteries,12.99,4.60,101297,1470,2021-09-28,Penguin Books,"An instant New York Times bestseller! The second gripping novel in the New York Times bestselling Thursday Murder Club series, soon to be a major motion picture from Steven Spielberg at Amblin Entertainment ""It's taken a mere two books for Richard Osman to vault into the upper leagues of crime writers. . . The Man Who Died Twice. . . dives right into joyous New York Times Book Review Elizabeth, Joyce, Ron and Ibrahim—the Thursday Murder Club—are still riding high off their recent real-life murder case and are looking forward to a bit of peace and quiet at Cooper's Chase, their posh retirement But they are out of An unexpected visitor—an old pal of Elizabeth's (or perhaps more than just a pal?)—arrives, desperate for her help. He has been accused of stealing diamonds worth millions from the wrong men and he's seriously on the lam.",https://m.media-amazon.com/images/I/51xIdn7dPBL._SY445_SX342_.jpg,https://www.amazon.com/dp/B08YRM9NBM,"[""Crime""]","[""[#5 in Amateur Sleuths](https://www.amazon.com/gp/bestsellers/books/11764650011/ref=pd_zg_hrsr_books)\n[#6 in Cozy Mysteries (Books)](https://www.amazon.com/gp/bestsellers/books/7538396011/ref=pd_zg_hrsr_books)\n[#7 in Amateur Sleuth Mysteries (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/11650865011/ref=pd_zg_hrsr_digital-text)""]",Thursday Murder Club Amblin Entertainment Elizabeth New York Times second gripping novel Thursday Murder Club series instant New York Times bestseller their recent real-life murder case major motion picture,Third,false,false,true
