ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Erotica,B0C9MXW2JL,Insatiable (The Edge of Darkness: Book 1) (The Edge of Darkness Trilogy),Leigh Rivers,https://www.amazon.com/stores/author/B0C9MXQ7Z7,The Edge of Darkness Trilogy,3.99,4.40,25971,68,2023-08-10,,"IF HE CAN'T HAVE HER, NO ONE ELSE CAN Kade Mitchell is obsessed with someone he despises. A snake in an angel’s skin, Stacey Rhodes is everything he can’t forget – the girl who shattered his heart and drove him deep into the darkness of the underworld. He watched her for years. Killed anyone who came close to her. But now, granted a brief moment of freedom from the life he’s trapped in, he’s back home and driven to claim her again, breaking every rule he’s ever made for himself. Not even his hatred can stop the pull between them. But he’ll never forgive her… will he? As this is a dark romance, the author highly recommends reading the 'content warning' page.",https://m.media-amazon.com/images/I/51uD0Oy9D0L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0C9MXW2JL,"[""Dark Romance""]","[""[#1 in Romantic Erotica (Books)](https://www.amazon.com/gp/bestsellers/books/10159309011/ref=pd_zg_hrsr_books)\n[#1 in Romantic Erotica (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620225011/ref=pd_zg_hrsr_digital-text)\n[#1 in Enemies to Lovers Romance](https://www.amazon.com/gp/bestsellers/books/120214344011/ref=pd_zg_hrsr_books)""]",Not even his hatred 'content warning' page angel’s skin,Third,false,true,true
2025-08-11,Erotica,B09BNYYRK7,Morning Glory Milking Farm: a Monster Bait Romance (Cambric Creek: Sweet & Steamy Monster Romance Book 1),C.M. Nascosta,https://www.amazon.com/stores/author/B08W25QCDD,Sweet & Steamy Monster Romance,5.99,4.10,19502,139,2021-08-01,Meduas Editoriale,"Violet is a typical, down-on-her-luck millennial: mid-twenties, over-educated and drowning in debt, on the verge of moving into her parents' basement. When a lifeline appears in the form of a very unconventional job in neighboring Cambric Creek, she has no choice but to grab at it with both hands.  Morning Glory Farm offers full-time hours, full benefits, and generous pay with no experience needed . . . there’s only one catch. The clientele is Grade A certified prime beef, with the manly, meaty endowments to match. Hands-on work with minotaurs isn’t something Violet ever considered as a career option, but she’s determined to turn the opportunity into a reversal of fortune.  When a stern, deep-voiced client begins to specially request her for his sessions at the farm, maintaining her professionalism and keeping him out of her dreams is easier said than done. Violet is resolved to make a dent in her student loans and afford name-brand orange juice, and a one-sided crush on an out-of-her-league minotaur is not a part of her plan—unless her feelings aren’t so one-sided after all.  Morning Glory Farm is a USA TODAY BESTSELLING human/monster romance novel (60k), featuring a high heat slow burn with a lot of heart, and a guaranteed HEA. It is the first book in the Cambric Creek Monster Romance series and can be read as a standalone. CWs are viewable on the author's website.",https://m.media-amazon.com/images/I/51oD6Pw5LOL._SY445_SX342_.jpg,https://www.amazon.com/dp/B09BNYYRK7,"[""Slow Burn"",""Monsters"",""Hucow"",""Animals"",""Steamy""]","[""[#1 in Science Fiction Erotica](https://www.amazon.com/gp/bestsellers/books/10159310011/ref=pd_zg_hrsr_books)\n[#1 in Erotic Science Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7620226011/ref=pd_zg_hrsr_digital-text)\n[#1 in Fantasy Erotica](https://www.amazon.com/gp/bestsellers/books/10202275011/ref=pd_zg_hrsr_books)""]","stern, deep-voiced client very unconventional job human/monster romance novel Hands-on work her parents' basement Grade A certified prime beef name-brand orange juice one-sided crush manly, meaty endowments full-time hours high heat slow burn Cambric Creek Monster Romance series author's website",Third,true,true,true
2025-08-11,Erotica,B083TZV25B,Credence,Penelope Douglas,https://www.amazon.com/stores/author/B00DH04U8I,,4.99,4.20,137726,184,2020-01-13,Penelope Douglas LLC,"From New York Times bestselling author, Penelope Douglas, comes a new standalone! Three of them, one of her, and a remote cabin in the woods. Let the hot, winter nights ensue... Tiernan de Haas doesn't care about anything anymore. The only child of a film producer and his starlet wife, she's grown up with wealth and privilege but not love or guidance. Shipped off to boarding schools from an early age, it was still impossible to escape the loneliness and carve out a life of her own. The shadow of her parents' fame followed her everywhere. And when they suddenly pass away, she knows she should be devastated. But has anything really changed? She's always been alone, hasn't she? Jake Van der Berg, her father's stepbrother and her only living relative, assumes guardianship of Tiernan who is still two months shy of eighteen. Sent to live with him and his two sons, Noah and Kaleb, in the mountains of Colorado, Tiernan soon learns that these men now have a say in what she chooses to care and not care about anymore. As the three of them take her under their wing, teach her to work and survive in the remote woods far away from the rest of the world, she slowly finds her place among them. And as a part of them. She also realizes that lines blur and rules become easy to break when no one else is watching. One of them has her. The other one wants her. But he... He's going to keep her. *Credence is a full length, stand-alone romance suitable for readers 18+.",https://m.media-amazon.com/images/I/41X5Na9TttL._SY445_SX342_.jpg,https://www.amazon.com/dp/B083TZV25B,"[""School/Academy""]","[""[#3 in Erotica (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/157057011/ref=pd_zg_hrsr_digital-text)\n[#4 in Erotic Literature & Fiction](https://www.amazon.com/gp/bestsellers/books/10141/ref=pd_zg_hrsr_books)\n[#135 in Literature & Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6505523011/ref=pd_zg_hrsr_digital-text)""]","her only living relative full length, stand-alone romance her parents' fame her father's stepbrother Jake Van der Berg hot, winter nights ensue",Third,false,false,true
2025-08-11,Erotica,B0CMJRJPC7,Voracious (The Edge of Darkness: Book 2) (The Edge of Darkness Trilogy),Leigh Rivers,https://www.amazon.com/stores/author/B0C9MXQ7Z7,The Edge of Darkness Trilogy,3.99,4.50,19383,197,2023-11-30,,"HE’LL NEVER FORGET HER, BUT HE’LL NEVER FORGIVE HER EITHER Stacey returns home with the security of Kade’s team, only to be dragged further into her own living hell by her deranged abuser Chris – until the opportunity finally comes to fight back. Kade has never been so deep in the pits of hell itself. Seeing Stacey once nearly knocked him off his axis; seeing her twice – ready to submit to his dominance – is a disaster waiting to happen. Yet despite his hatred for her, she’s his anchor, the flashes of what they used to be the only thing keeping him sane and stopping the darkness from claiming him completely. But what happens when the truth about their past finally unravels, and both he and Stacey learn what really happened the night that tore them apart? As this is a dark romance, the author highly recommends reading the 'content warning' page.",https://m.media-amazon.com/images/I/51EgN4DQq1L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CMJRJPC7,"[""Dark Romance""]","[""[#3 in Romantic Erotica (Books)](https://www.amazon.com/gp/bestsellers/books/10159309011/ref=pd_zg_hrsr_books)\n[#3 in Enemies to Lovers Romance](https://www.amazon.com/gp/bestsellers/books/120214344011/ref=pd_zg_hrsr_books)\n[#3 in Romantic Erotica (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620225011/ref=pd_zg_hrsr_digital-text)""]",her own living hell 'content warning' page,Third,false,true,true
2025-08-11,Erotica,B0CJQQLL28,Little Stranger: A Dark Taboo Romance (The Web of Silence Duet Book 1),Leigh Rivers,https://www.amazon.com/stores/author/B0C9MXQ7Z7,The Web of Silence Duet,3.50,4.20,46094,271,2023-10-29,,"OWNING HER IS ALL HE EVER WANTED She betrayed him, and now he wants revenge against the foster sister who became his forbidden obsession the second he laid eyes on her. After she sends him to prison for years, he’s free and ready to haunt her. Everything about Olivia belongs to Malachi Vize. Her mind Her body Her soul Her fear Her pain On Halloween night, he can no longer lurk in the shadows. All he has left to own is her heart, even if he needs to take it. WITH BONUS CONTENT This story comes with extremely triggering content. Please read the ""Content Warning"" page.",https://m.media-amazon.com/images/I/51Q4a2A3jPL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CJQQLL28,,"[""[#1 in Erotic Suspense (Books)](https://www.amazon.com/gp/bestsellers/books/10159311011/ref=pd_zg_hrsr_books)\n[#5 in Erotica (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/157057011/ref=pd_zg_hrsr_digital-text)\n[#65 in Contemporary Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158568011/ref=pd_zg_hrsr_digital-text)""]","""Content Warning"" page",Third,false,false,true
2025-08-11,Erotica,B0CPKCH1V8,Restitution (The Edge of Darkness: Book 3) (The Edge of Darkness Trilogy),Leigh Rivers,https://www.amazon.com/stores/author/B0C9MXQ7Z7,The Edge of Darkness Trilogy,4.50,4.50,20233,348,2024-03-02,,"THE WEAPON THEY CREATED WILL BE THEIR DESTRUCTION  The line between sense and madness blurs as Kade seeks revenge on those who destroyed his life. They threatened his family, shattered his sanity, and then they stole his girl. He’ll sacrifice everything to save them all, even if it means war. Stacey Rhodes has been to hell and back, and now she’s trapped by the monster who stole Kade from her. But Stacey isn’t backing down – she’ll do anything it takes to save Kade, no matter the cost.  Can she free them both from Bernadette’s clutches before war consumes everyone they care about? As this is a dark romance, the author highly recommends reading the 'content warning' page.",https://m.media-amazon.com/images/I/51PficLSDUL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CPKCH1V8,"[""Dark Romance""]","[""[#4 in Romantic Erotica (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620225011/ref=pd_zg_hrsr_digital-text)\n[#6 in Romantic Erotica (Books)](https://www.amazon.com/gp/bestsellers/books/10159309011/ref=pd_zg_hrsr_books)\n[#36 in Contemporary Romance Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588748011/ref=pd_zg_hrsr_digital-text)""]",'content warning' page,Third,false,true,true
2025-08-11,Erotica,B01MYYEYWP,Scarlet Angel (Mindf*ck Series Book 3),S.T. Abby,https://www.amazon.com/stores/author/B01N2YXWZG,Mindf*ck Series,1.99,4.50,91024,365,2016-12-09,,"To kill a monster, you have to be twice as monstrous. To love a monster, you have to share your soul... Logan Bennett makes me want to have a future not tainted by the constant hunger for revenge. Doesn't mean I can stop. Doesn't mean I want to stop. It just means I want more...one day. But how do you make a good man love the monster inside you without stripping his soul away as well? He is all the best parts of me right now, resurrecting bits of my heart I forgot could even exist. He makes me feel something other than cold. He also thinks I'm weak and fragile. Something I laugh about to myself, while secretly soaking in all his protectiveness and concern. If anyone touches him, harms him, or even threatens him, then they should probably run. Because his girlfriend is a little bit crazy. They just don't know it yet. **BE WARNED: Some of the flashbacks in this one do get a lot more intense and detailed than the ones prior to this book. Anyone with sensitive triggers should skip the flashbacks. **Graphic **Sexual content **Language",https://m.media-amazon.com/images/I/51disekuErL._SY445_SX342_.jpg,https://www.amazon.com/dp/B01MYYEYWP,,"[""[#1 in Erotic Thrillers (Books)](https://www.amazon.com/gp/bestsellers/books/10159312011/ref=pd_zg_hrsr_books)\n[#1 in Erotic Suspense (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620227011/ref=pd_zg_hrsr_digital-text)\n[#2 in Erotic Suspense (Books)](https://www.amazon.com/gp/bestsellers/books/10159311011/ref=pd_zg_hrsr_books)""]",the best parts,Unknown,false,false,true
2025-08-11,Erotica,B01MTZDCUN,All The Lies (Mindf*ck Series Book 4),S.T. Abby,https://www.amazon.com/stores/author/B01N2YXWZG,Mindf*ck Series,1.99,4.60,87071,366,2016-12-20,,"To understand the monsters in the world, you have to get inside their heads. It's a dangerous place to be, especially when you start to empathize and lose your own sense of morality. But that's never happened to me... I've never felt conflicted on any case. Right is right and wrong is wrong. It's simple. Black and white. There's no such thing as a gray area. But fuck this case. I don't even know what side I'm on anymore. I don't understand how this town can continue to function without breaking under the weight of all the lies they've spun and lived. Every time I find a shard of truth, my gut twists, my heart beats faster, and I hate this place a little more. Every time I think I've heard the worst, another truth is dug up from the ashes of more burning lies. Worst of all, I don't even know who to trust anymore. My head is all messed up. I pride myself on being impossible to fool. I'm an expert at knowing when someone is lying to me. I never believed in being blinded by love...until Lana. **BE WARNED: Some flashbacks can get intense to readers with a sensitive trigger. Skip the blocks in italics if that's the case. **Graphic **Sexual Content **Language",https://m.media-amazon.com/images/I/51Y+F+iUIQL._SY445_SX342_.jpg,https://www.amazon.com/dp/B01MTZDCUN,"[""Monsters""]","[""[#1 in Erotic Thrillers (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620228011/ref=pd_zg_hrsr_digital-text)\n[#2 in Erotic Thrillers (Books)](https://www.amazon.com/gp/bestsellers/books/10159312011/ref=pd_zg_hrsr_books)\n[#2 in Erotic Suspense (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620227011/ref=pd_zg_hrsr_digital-text)""]",,First,true,false,true
2025-08-11,Erotica,B01N7GREG9,Paint It All Red (Mindf*ck Series Book 5),S.T. Abby,https://www.amazon.com/stores/author/B01N2YXWZG,Mindf*ck Series,1.99,4.70,107438,378,2016-12-26,,"Hush, little baby, don't say a word... Will Logan choose them? Or will we watch them burn together? It's time to fuck with their minds. It's time to finish it all. It's time to paint it all red... Monsters don't usually wish for happily-ever-afters. **BE WARNED: Some descriptions are vivid and can be a trigger for sensitive readers. **Graphic **Sexual Content **Language",https://m.media-amazon.com/images/I/51CwGr0MllL._SY445_SX342_.jpg,https://www.amazon.com/dp/B01N7GREG9,"[""Monsters""]","[""[#2 in Erotic Thrillers (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620228011/ref=pd_zg_hrsr_digital-text)\n[#3 in Erotic Thrillers (Books)](https://www.amazon.com/gp/bestsellers/books/10159312011/ref=pd_zg_hrsr_books)\n[#3 in Erotic Suspense (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620227011/ref=pd_zg_hrsr_digital-text)""]",happily-ever-afters,Third,true,false,true
2025-08-11,Erotica,B0BDZ2M91F,The Sinner: A Dark College Romance,Shantel Tessier,https://www.amazon.com/stores/author/B00E3IL41Y,The Lords,4.36,4.30,53735,473,2022-12-04,,"NOW AN AMAZON TOP 5 BESTSELLER An all-new dark standalone romance from the USA Today & Wall Street Journal bestselling author, Shantel Tessier LITTLE DEMON I was raised in a world where money and power are at your fingertips. My father is a LORD, a very respected member of a secret society that knows no bounds. When tragedy struck my family, we discovered we weren’t untouchable. Just when I thought life couldn’t get any worse, I was shown what hell is really like. Then he came and saved me. The devil disguised as my personal hero. But of course, nothing is for free. Not when a soul is up for grabs. I VOW. YOU VOW. WE VOW. Easton Bradley Sinnett—Sin—uses his power for his own sick pleasure. Like a typical Lord, he never thought about the consequences of his actions. I grew up with him, obsessed over him, craved him. He was who I pictured when I imagined doing things my body shouldn’t want. One day, I realized he was not who I thought he was. It didn’t change anything, though, because I was already too far gone. If anything, I fell for him harder. Every now and then, someone enters your life who flips it upside down. Sin wrecked me in the worst way, and I thanked him for it by serving on my knees. As they say, nothing lasts forever. Men like him never stay with a woman like me. I’m what they use, not keep. So when he threw me away, I shouldn’t have been all that surprised. My body had always craved the darker side of love. The kind that left bruises and scars. I was what most would call unholy. And when the devil whispered in my ear that he loved me, I was more than determined to show him just how devoted I could be. Things to know about The Sinner Stalker Secret society MF (no sharing the h) J/P (jealous/possessive) Hero OTT (over the top) Hero Can be read as a standalone Told in dual POV TWs listed inside the book This is a 159K word romance that contains dark themes that may be triggering to some. This book can be read as a standalone but the timeline of the Lords books is as follows: The Ritual The Sinner The Sacrifice Sabotage (the H isn't a Lord but he works for a Lord)",https://m.media-amazon.com/images/I/51-5m2SPPHL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0BDZ2M91F,"[""Supernatural"",""Demon"",""College""]","[""[#4 in Erotic Suspense (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620227011/ref=pd_zg_hrsr_digital-text)\n[#5 in Erotic Suspense (Books)](https://www.amazon.com/gp/bestsellers/books/10159311011/ref=pd_zg_hrsr_books)\n[#17 in New Adult & College Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6487838011/ref=pd_zg_hrsr_digital-text)""]",his own sick pleasure dual POV TWs 159K word romance NOW AN AMAZON TOP 5 BESTSELLER An all-new dark standalone romance Ritual The Sinner The Sacrifice Sabotage h) J/P (jealous/possessive) Hero OTT very respected member Sinner Stalker Secret society MF,First,true,false,true
