ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Fantasy,B0DQK4CLNR,The Fallen and the Kiss of Dusk (Crowns of Nyaxia Book 4),Carissa Broadbent,https://www.amazon.com/stores/author/B01N1NMBV6,Crowns of Nyaxia,6.99,4.40,759,14,2025-08-05,,"New York Times bestselling author and BookTok sensation Carissa Broadbent returns with a brand new novel in the Crowns of Nyaxia series, The Fallen & the Kiss of Dusk.  Mische made the ultimate sacrifice to save those she loves – and plunged the world into an eternal night. Now, imprisoned by the gods and obsessed with revenge, Asar is desperate to find her again.  When a goddess offers them a final path to redemption – and back to each other – Asar and Mische embark on an extraordinary mission. Together, they must seize the power of the god of death so Asar may do the impossible: ascend to true divinity.  Their journey will take them through mortal and immortal realms, alongside both old friends and ruthless enemies. But as the underworld teeters on the brink of collapse and the gods prepare for a war, Asar and Mische must decide what they are willing to sacrifice for the power to defy death. In a game of vengeful gods and ancient betrayals, there are some debts that even love may not be able to repay.",https://m.media-amazon.com/images/I/51kX+fV+7NL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DQK4CLNR,,"[""[#1 in Romantic Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/14530456011/ref=pd_zg_hrsr_digital-text)\n[#1 in Dark Fantasy](https://www.amazon.com/gp/bestsellers/books/9803/ref=pd_zg_hrsr_books)\n[#1 in Dark Fantasy Horror](https://www.amazon.com/gp/bestsellers/digital-text/157062011/ref=pd_zg_hrsr_digital-text)""]",mortal and immortal realms BookTok sensation Carissa Broadbent brand new novel,Third,false,false,true
2025-08-11,Fantasy,B0BGDM197Q,Fourth Wing (The Empyrean Book 1),Rebecca Yarros,https://www.amazon.com/stores/author/B00HYKBU1W,The Empyrean,14.99,4.80,434210,19,2023-05-02,Entangled: Red Tower Books,"A #1 New York Times bestseller • TV series in development at MGM Amazon Studios with Michael B. Jordan’s Outlier Society • Amazon Best Books of the Year, #4 • Apple Best Books of the Year 2023 • Barnes & Noble Best Fantasy Book of 2023 • NPR “Books We Love” 2023 • Audible Best Books of 2023 • Hudson Book of the Year • Google Play Best Books of 2023 • Indigo Best Books of 2023 • Waterstones Book of the Year finalist • Goodreads Choice Award Winner • Newsweek Staffers’ Favorite Books of 2023 • Paste Magazine's Best Books of 2023 ""Suspenseful, sexy, and with incredibly entertaining storytelling, the first in Yarros' Empyrean series will delight fans of romantic, adventure-filled fantasy."" — Booklist, starred review "" Fourth Wing will have your heart pounding from beginning to end... A fantasy like you've never read before."" ―#1 New York Times bestselling author Jennifer L. Armentrout Enter the brutal and elite world of a war college for dragon riders from #1 New York Times bestselling author Rebecca Yarros Twenty-year-old Violet Sorrengail was supposed to enter the Scribe Quadrant, living a quiet life among books and history. Now, the commanding general—also known as her tough-as-talons mother—has ordered Violet to join the hundreds of candidates striving to become the elite of Navarre: dragon riders. But when you’re smaller than everyone else and your body is brittle, death is only a heartbeat away...because dragons don’t bond to “fragile” humans. They incinerate them. With fewer dragons willing to bond than cadets, most would kill Violet to better their own chances of success. The rest would kill her just for being her mother’s daughter—like Xaden Riorson, the most powerful and ruthless wingleader in the Riders Quadrant. She’ll need every edge her wits can give her just to see the next sunrise. Yet, with every day that passes, the war outside grows more deadly, the kingdom's protective wards are failing, and the death toll continues to rise. Even worse, Violet begins to suspect leadership is hiding a terrible secret. Friends, enemies, lovers. Everyone at Basgiath War College has an agenda—because once you enter, there are only two ways out: graduate or die. The Empyrean series is best enjoyed in order. Reading Order: Book #1 Fourth Wing Book #2 Iron Flame Book #3 Onyx Storm",https://m.media-amazon.com/images/I/61dEdpy80UL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0BGDM197Q,"[""Suspense"",""College"",""Dragon"",""Supernatural""]","[""[#1 in Dragons & Mythical Creatures Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16926919011/ref=pd_zg_hrsr_books)\n[#1 in Sword & Sorcery Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809432011/ref=pd_zg_hrsr_digital-text)\n[#1 in Epic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16197/ref=pd_zg_hrsr_books)""]",her mother’s daughter brutal and elite world #1 New York Times bestseller • TV series kingdom's protective wards NPR “Books We most powerful and ruthless wingleader Fourth Wing Book 2023 • Waterstones Book Paste Magazine's Best Books Iron Flame Book • Goodreads Choice Award Winner author Rebecca Yarros Twenty-year-old Violet Sorrengail 4 • Apple Best Books fragile” humans Noble Best Fantasy Book,Third,true,false,true
2025-08-11,Fantasy,B0C4JMJBNX,Iron Flame (The Empyrean Book 2),Rebecca Yarros,https://www.amazon.com/stores/author/B00HYKBU1W,The Empyrean,14.99,4.70,363553,24,2023-11-07,Entangled: Red Tower Books,"Discover the instant #1 New York Times bestseller! TV series now in development at MGM Amazon Studios with Michael B. Jordan’s Outlier Society. Accolades for Fourth Wing Amazon Best Books of the Year, #4 • Apple Best Books of the Year 2023 • Barnes & Noble Best Fantasy Book of 2023 (Fourth Wing and Iron Flame) • NPR “Books We Love” 2023 • Audible Best Books of 2023 • Hudson Book of the Year • Google Play Best Books of 2023 • Indigo Best Books of 2023 • Waterstones Book of the Year finalist • Goodreads Choice Award, semi-finalist • Newsweek Staffers’ Favorite Books of 2023 • Paste Magazine's Best Books of 2023 “The first year is when some of us lose our lives. The second year is when the rest of us lose our humanity.” —Xaden Riorson Everyone expected Violet Sorrengail to die during her first year at Basgiath War College—Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky. Now the real training begins, and Violet’s already wondering how she’ll get through. It’s not just that it’s grueling and maliciously brutal, or even that it’s designed to stretch the riders’ capacity for pain beyond endurance. It’s the new vice commandant, who’s made it his personal mission to teach Violet exactly how powerless she is–unless she betrays the man she loves. Although Violet’s body might be weaker and frailer than everyone else’s, she still has her wits—and a will of iron. And leadership is forgetting the most important lesson Basgiath has taught her: Dragon riders make their own rules. But a determination to survive won’t be enough this year. Because Violet knows the real secret hidden for centuries at Basgiath War College—and nothing, not even dragon fire, may be enough to save them in the end. The Empyrean series is best enjoyed in order. Reading Order: Book #1 Fourth Wing Book #2 Iron Flame",https://m.media-amazon.com/images/I/61CrGbiVSnL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0C4JMJBNX,"[""College"",""Dragon"",""Supernatural""]","[""[#1 in New Adult & College Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/10387329011/ref=pd_zg_hrsr_books)\n[#1 in Sword & Sorcery Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16205/ref=pd_zg_hrsr_books)\n[#2 in Sword & Sorcery Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809432011/ref=pd_zg_hrsr_digital-text)""]",2023 • Audible Best Books only the first impossible test riders’ capacity Fourth Wing and Iron Flame new vice commandant 2023 • Paste Magazine's Best Books instant #1 New York Times bestseller most important lesson NPR “Books We semi-finalist • Newsweek Staffers Fourth Wing Book Michael B. Jordan’s Outlier Society not even dragon fire 4 • Apple Best Books Fourth Wing Amazon Best Books Noble Best Fantasy Book,Third,true,false,true
2025-08-11,Fantasy,B0CW1FKFB9,Onyx Storm (The Empyrean Book 3),Rebecca Yarros,https://www.amazon.com/stores/author/B00HYKBU1W,The Empyrean,14.99,4.60,216595,25,2025-01-21,Entangled: Red Tower Books,"Discover the instant #1 New York Times bestseller! TV series now in development at MGM Amazon Studios with Michael B. Jordan’s Outlier Society. Accolades for Fourth Wing Amazon Best Books of the Year, #4 • Apple Best Books of the Year 2023 • Barnes & Noble Best Fantasy Book of 2023 • NPR ""Books We Love"" 2023 • Audible Best Books of 2023 • Hudson Book of the Year • Google Play Best Books of 2023 • Indigo Best Books of 2023 • Waterstones Book of the Year finalist • Goodreads Choice Award Winner • Newsweek Staffers’ Favorite Books of 2023 • Paste Magazine ’s Best Books of 2023 • TikTok Book Awards UK and Ireland Book of the Year (International) 2024 After nearly eighteen months at Basgiath War College, Violet Sorrengail knows there’s no more time for lessons. No more time for uncertainty. Because the battle has truly begun, and with enemies closing in from outside their walls and within their ranks, it’s impossible to know who to trust. Now Violet must journey beyond the failing Aretian wards to seek allies from unfamiliar lands to stand with Navarre. The trip will test every bit of her wit, luck, and strength, but she will do anything to save what she loves—her dragons, her family, her home, and him. Even if it means keeping a secret so big, it could destroy everything. They need an army. They need power. They need magic. And they need the one thing only Violet can find—the truth. But a storm is coming...and not everyone can survive its wrath. The Empyrean series is best enjoyed in order. Reading Order: Book #1 Fourth Wing Book #2 Iron Flame Book #3 Onyx Storm",https://m.media-amazon.com/images/I/51erLQfWU8L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CW1FKFB9,"[""Dragon"",""College"",""Military"",""Magic"",""Supernatural""]","[""[#1 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)\n[#1 in Romantasy](https://www.amazon.com/gp/bestsellers/books/7654406011/ref=pd_zg_hrsr_books)\n[#2 in Epic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16197/ref=pd_zg_hrsr_books)""]","Paste Magazine ’s Best Books instant #1 New York Times bestseller Fourth Wing Book NPR ""Books We Michael B. Jordan’s Outlier Society 2023 • Waterstones Book Year (International • Goodreads Choice Award Winner 2023 • TikTok Book Awards UK Iron Flame Book 4 • Apple Best Books Fourth Wing Amazon Best Books Noble Best Fantasy Book failing Aretian wards",Third,true,false,true
2025-08-11,Fantasy,B0DDKHNVWF,Quicksilver (Fae & Alchemy Book 1),Callie Hart,https://www.amazon.com/stores/author/B00JEI9IYS,Fae & Alchemy,9.99,4.60,172868,30,2024-09-10,Forever,"This #1 New York Times bestseller is a highly addicting enemies-to-lovers Romantasy with razor-sharp banter, heart-stopping action, and blistering hot romance. Do not touch the sword. Do not turn the key. Do not open the gate. Twenty-four-year-old Saeris Fane is good at keeping secrets. No one knows about the strange powers she possesses, or the fact that she has been picking pockets and stealing from the Undying Queen’s reservoirs for as long as she can remember. In the land of the unforgiving desert, there isn’t much a girl wouldn’t do for a glass of water. But a secret is like a knot. Sooner or later, it is bound to come undone. When Saeris comes face-to-face with Death himself, she inadvertently reopens a gateway between realms and is transported to a land of ice and snow. The Fae have always been the stuff of myth, of legend, of nightmares…but it turns out they’re real, and Saeris has landed right in the middle of a centuries-long conflict that might just get her killed. The first of her kind to tread the frozen mountains of Yvelia in over a thousand years, Saeris mistakenly binds herself to Kingfisher, a handsome Fae warrior, who has secrets and nefarious agendas of his own. He will use her Alchemist’s magic to protect his people, no matter what it costs him… or her. Death has a name. It is Kingfisher of the Ajun Gate. His past is murky. His attitude stinks. And he’s the only way Saeris is going to make it home. Be careful of the deals you make, dear child. The devil is in the details... Now with an embossed cover, silver foiling, and an updated interior design. N.B. Quicksilver contains depictions of graphic violence/adult situations and is therefore recommended for readers 17+. For a full list of tropes and TWs, please visit the author's website.",https://m.media-amazon.com/images/I/515bREGJPVL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DDKHNVWF,"[""Fae/Elves"",""Enemies to Lovers"",""Military"",""Magic""]","[""[#1 in Romantic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/13922577011/ref=pd_zg_hrsr_books)\n[#1 in Action & Adventure Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/11650866011/ref=pd_zg_hrsr_digital-text)\n[#1 in Action & Adventure Romance (Books)](https://www.amazon.com/gp/bestsellers/books/11764651011/ref=pd_zg_hrsr_books)""]",razor-sharp banter heart-stopping action handsome Fae warrior her Alchemist’s magic Undying Queen’s reservoirs Twenty-four-year-old Saeris Fane graphic violence/adult situations author's website #1 New York Times bestseller updated interior design over a thousand years centuries-long conflict,Third,true,true,true
2025-08-11,Fantasy,B0DNXD8YB8,Shield of Sparrows,Devney Perry,https://www.amazon.com/stores/author/B01N9OPRXV,Shield of Sparrows,14.99,4.60,51100,31,2025-05-06,Entangled: Red Tower Books,"Discover the instant #1 New York Times bestseller! Now in development as a feature film with Amazon MGM Studios, with John Wick screenwriter Derek Kolstad attached to write the script. Shield of Sparrows is a slow-burn, high-stakes romantasy perfect for fans of Sarah J. Maas and Rebecca Yarros—where enemies become lovers, monsters stalk a cursed realm, and a forgotten princess finds the strength to tear off her crown and become the warrior she was never meant to be. The gods sent monsters to the five kingdoms to remind mortals they must kneel. I’ve spent my life kneeling—to their will and to my father's. As a princess, my only duty is to wear the crown and obey the king. I was never meant to rule. Never meant to fight. And I was never supposed to be the daughter who sealed an ancient treaty with her own blood. But that changed the fateful day I stepped into my father’s throne room. The day a legendary monster hunter sailed to our shores. The day a prince ruined my life. Now I’m crossing treacherous lands beside a warrior who despises me as much as I despise him—bound to a future I didn’t choose and a husband I barely know. Everyone wants me to be something I’m not—a queen, a spy, a sacrifice. But what if I refused the role chosen for me? What if I made my own rules? What if there’s power in being underestimated? And what if—for the first time—I reached for it?",https://m.media-amazon.com/images/I/51A3ZXM18sL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DNXD8YB8,"[""Military"",""Aristocracy"",""Monsters"",""Slow Burn""]","[""[#3 in Romantic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/13922577011/ref=pd_zg_hrsr_books)\n[#3 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)\n[#3 in Romantasy](https://www.amazon.com/gp/bestsellers/books/7654406011/ref=pd_zg_hrsr_books)""]",instant #1 New York Times bestseller my father’s throne room legendary monster hunter,First,true,true,true
2025-08-11,Fantasy,B0CFQTT2BV,The Wolf King: A Fantasy Romance,Lauren Palphreyman,https://www.amazon.com/stores/author/B07B2Z4DKQ,The Wolf King,4.99,4.40,28196,41,2023-09-14,Lauren Palphreyman,"When a princess is kidnapped by an alpha, war rages between the humans and the wolves. But soon, forbidden attraction starts to grow. . . Princess Aurora longs to escape the castle and the marriage that has been arranged for her. But on the night before her wedding, at a dog fight where captured werewolves are made to fight for sport, she spares the life of a young wolf. It puts her on the radar of the powerful alpha who was going to kill him. And it changes everything. That night, when the alpha escapes, he kidnaps her and takes her to the rugged lands north of the border — where the once warring werewolf clans are beginning to unite. He thinks that she is the key to winning the war against the humans. Only, as they spend time around one another, forbidden attraction starts to grow. And as Aurora learns that not all wolves are bad, the alpha discovers that she is in danger from both his enemies, and those he once considered friends. With monsters on both sides, a bloodthirsty war between humans and wolves raging, and undeniable passion growing between them — will their story end in love? Or tragedy? And will Aurora ever get home? Does she even want to? An adult fantasy romance for fans of romantasy, werewolves, forbidden romance, and enemies to lovers Content Warning: Contains strong language and sexual situations",https://m.media-amazon.com/images/I/51YxjD49obL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CFQTT2BV,"[""Monsters"",""Enemies to Lovers"",""Shifter"",""Sports"",""Alpha Male"",""Animals""]","[""[#1 in Paranormal Werewolves & Shifters Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401742011/ref=pd_zg_hrsr_digital-text)\n[#1 in Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/15195314011/ref=pd_zg_hrsr_digital-text)\n[#1 in Paranormal](https://www.amazon.com/gp/bestsellers/digital-text/15195309011/ref=pd_zg_hrsr_digital-text)""]","once warring werewolf clans lovers Content Warning adult fantasy romance alpha, war rages",Third,true,true,true
2025-08-11,Fantasy,B0FLRSNHZV,Dungeon Diving 301,Bruce Sentar,https://www.amazon.com/stores/author/B082S6QKGK,Dungeon Diving,4.99,4.80,234,43,2025-08-07,,"Ken and company come back from summer break after arduous training for their third year at Haylon. No longer are they the fresh adventurers that once didn’t know the right end of the sword. Instead they have settled into Star City among the Orkai and are thriving deep within the dungeon and even locating trails for the class to get powerful new abilities. Things in the dungeon are never so simple. Lucian, a Leomatis Shaman is mourning the death of his grandmother before his father decides that Ken would become the perfect obstacle to whet his soft son’s claws. At the same time, the Orkai Arbiters are going scorched earth on some problem that had bubbled up from the dungeon shuffle. As always, the answer is for Ken to grow stronger.",https://m.media-amazon.com/images/I/415HDQoZpQL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FLRSNHZV,,"[""[#1 in New Adult & College Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/8604756011/ref=pd_zg_hrsr_digital-text)\n[#2 in New Adult & College Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/10387329011/ref=pd_zg_hrsr_books)\n[#2 in Dark Fantasy Horror](https://www.amazon.com/gp/bestsellers/digital-text/157062011/ref=pd_zg_hrsr_digital-text)""]",his soft son’s claws,Third,false,false,true
2025-08-11,Fantasy,B0F99GFWGM,Unbound: A Fantasy Romance (Confluence Academy Book 1),Penelope Bloom,https://www.amazon.com/stores/author/B01LWS0TG6,Confluence Academy,4.99,4.60,3913,55,2025-05-27,,"Nineteen-year-old Nessa Thorne expects death when she volunteers for Empire's selection. Instead, she's thrust into Confluence Academy, where students harness elemental magic and bond powerful beasts—from wolves to ancient dragons—forging themselves into the Empire's most lethal weapons.  Students are branded by affinity: water, air, earth, or fire. But Nessa’s mark is different. A silver spiral—the mark of an unbound. It’s a power so dangerous her kind were hunted to extinction centuries ago—or so the Empire claims.  To survive, she must hide what she is in a castle that reeks of blood, where students kill each other for advantage and failing to tether an elemental means death.  Nessa’s greatest threat may be the only other volunteer—Raith Hollow, a powerful fire affinity whose scorching gaze follows her every move and whose secrets could topple kingdoms.  Alliances are forged in blood, enemies circle like vultures, and forbidden desires close in. Death once seemed like release from her tragic past. Now it's not an option. She'll embrace her terrible potential or watch everything she's fought for burn.  At Confluence Academy, students leave as weapons... or they don't leave at all.  What to expect: A delicious slow burn romance as dangerous as the magic? Check. A final line readers are saying will haunt you for weeks? Double check. An ending that will leave you desperate for book 2? Absolutely.",https://m.media-amazon.com/images/I/51bqc7m8qbL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F99GFWGM,"[""School/Academy"",""Dragon"",""Slow Burn"",""Magic"",""Supernatural""]","[""[#1 in Magic Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/120220984011/ref=pd_zg_hrsr_digital-text)\n[#3 in Military Romance (Books)](https://www.amazon.com/gp/bestsellers/books/8373231011/ref=pd_zg_hrsr_books)\n[#4 in Paranormal Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13356/ref=pd_zg_hrsr_books)""]",Nessa’s greatest threat Empire's most lethal weapons final line readers Nineteen-year-old Nessa Thorne only other volunteer powerful fire affinity delicious slow burn romance elemental magic and bond powerful beasts,Third,true,true,true
2025-08-11,Fantasy,B00OZP5VRS,A Court of Thorns and Roses,Sarah J. Maas,https://www.amazon.com/stores/author/B0070291GK,A Court of Thorns and Roses,8.21,4.60,294912,66,2015-05-05,Bloomsbury Publishing,"The sexy, action-packed first book in the #1 New York Times bestselling Court of Thorns and Roses series from Sarah J. Maas. When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world. At least, he's not a beast all the time. As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she's been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin-and his world-forever. From bestselling author Sarah J. Maas comes a seductive, breathtaking book that blends romance, adventure, and faerie lore into an unforgettable read.",https://m.media-amazon.com/images/I/51ZvROcTcfL._SY445_SX342_.jpg,https://www.amazon.com/dp/B00OZP5VRS,"[""Fae/Elves"",""Magic""]","[""[#1 in Folklore (Books)](https://www.amazon.com/gp/bestsellers/books/12615/ref=pd_zg_hrsr_books)\n[#5 in Epic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16197/ref=pd_zg_hrsr_books)\n[#6 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)""]","beautiful, dangerous world sexy, action-packed first book Thorns and Roses series ancient, wicked shadow seductive, breathtaking book nineteen-year-old huntress Feyre #1 New York Times treacherous magical land lethal, immortal faeries",Third,true,false,true
