ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Gay Romance,B0F4XVSHVD,Patchwork (Ink Slingers Book 3),K.M. Neuhold,https://www.amazon.com/stores/author/B016A7JZZ2,Ink Slingers,5.99,4.70,274,239,2025-08-08,,"It's not a relationship, it's just a patchwork of tattoo sessions and sweaty secrets with a rock star. No big deal.  I've been keeping this secret for four years, counting down the months in between visits from Onyx.  To everyone else I'm “Hero” but he mostly just calls me “yes” and “more” while we trade heated kisses and wandering hands.  I know it won't ever be anything more than a wild secret and eventually he'll get bored hooking up with a tattoo artist fifteen years too old for him from Nowhere, Wisconsin. But I'm more than happy to enjoy this while it lasts.  But when Onyx shows up unannounced and tells me that instead of a hurried weekend we have 3 full months before he has to hit the road again, I don't know if I'm more excited or terrified to see where things will go.  I’m sure there’s more to life than tattooing Onyx and spending late nights talking until the sun comes up, but whatever that “more” is, it can’t be as fun as this.  No matter how hard I’m falling for him, there’s no way that he’s going to give up his rock star lifestyle to stay here with me… is there?",https://m.media-amazon.com/images/I/51-hZ3lILmL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F4XVSHVD,,"[""[#1 in Rockstar Romance (Books)](https://www.amazon.com/gp/bestsellers/books/96707074011/ref=pd_zg_hrsr_books)\n[#1 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)\n[#1 in Rockstar Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/96711267011/ref=pd_zg_hrsr_digital-text)""]",his rock star lifestyle,First,false,false,true
2025-08-11,Gay Romance,B0F7YXNZJJ,Bull's Boy,Kiki Clark,https://www.amazon.com/stores/author/B083F58H5J,,5.99,4.40,2196,308,2025-06-30,Rainbow Publishing LLC,"“Consider my lap your throne. You can sit on it whenever you please.” Getting passed over by women for his height and for not being “manly” enough has become the story of Malcolm’s life. He’s tired of it and just about ready to give up on dating completely. What’s the point? He can’t make himself taller and being Mr. Take Charge will never be his vibe. And not only is his romantic life in shambles but bills are piling up and now his awful older brother is getting married and wants to do a destination wedding. Malcolm can hear his bank account crying already. What he needs is a chance to just relax and forget his worries for an evening. What he doesn’t expect is for his giant of a boss to step in and help him out. No one has ever made him feel the things Bull does. He’s quiet and kind, and his eyes follow Malcolm, keeping watch over him. Bull deserves a proper thank-you. Something that makes him feel as good as Malcolm does after their night out with Bull’s friends. Something tells him one reckless encounter won’t be his last. Bull is about to change his life… and claim him for his own. Are you ready for a quiet giant with a dirty mouth and an overprotective streak a mile wide, a lesbian best friend telling it like it is, a bi awakening that probably should have happened before the zipper came down, Ollie-sized cameos, and a very well-deserved nickname based on a certain appendage? Grab Bull’s Boy and dive into this fun and sexy standalone novel set within the Leather & Chrome Universe!",https://m.media-amazon.com/images/I/41D38BIsWjL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F7YXNZJJ,"[""Lesbian"",""Aristocracy""]","[""[#1 in Bisexual Romance](https://www.amazon.com/gp/bestsellers/digital-text/10886542011/ref=pd_zg_hrsr_digital-text)\n[#2 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)\n[#3 in LGBTQ+ Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13922579011/ref=pd_zg_hrsr_books)""]",Ollie-sized cameos his awful older brother lesbian best friend proper thank-you Grab Bull’s Boy very well-deserved nickname,Third,false,true,true
2025-08-11,Gay Romance,B0F21PD5P5,Stubborn Puckboy (Puckboys Book 9),Eden Finley,https://www.amazon.com/stores/author/B01CQ2T6TA,Puckboys,5.99,4.60,1685,368,2025-07-31,,"COLBY  Once upon a time, playing for the NHL was my dream. Then Radimir Novicov skated circles around me and made it clear I’d never be good enough. He was smart, talented, and worst of all–sexy. Every closeted guy knows that you don’t hit on your teammate, even if his gaze lingers longer than it should.  All it took was one drunken close call before our friendship was in tatters, he was called up to the NHL, and I was sent for further conditioning.  Playing in the NHL was off the table, so coaching became my new dream.  And seventeen years later, I’m finally heading to the big time.  Video coach. Pro level. The only downside?  It’s for Novi’s team.  NOVI  Radimir Novicov is not scared of anything. I am one of the best. Future Hall of Famer. There are two years left on my contract and I will end my career on the highest high anyone did see.  Then I will slink into the shadows where no one will hear of me again.  Because while I’m playing professionally, I cannot come out and be myself. Not with my family still in Russia.  The plan has been set since I first moved to America, and I only have two years left to wait. It should be easy to focus on hockey.  Then Colby Kessinger walks back into my life. The teammate with the lopsided smiles and cocky attitude–the one who made my heart want things it can’t have.  Now two years feels like a lifetime.",https://m.media-amazon.com/images/I/51BtAjL2MaL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F21PD5P5,"[""Friendship"",""Sports""]","[""[#3 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)\n[#5 in LGBTQ+ Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13922579011/ref=pd_zg_hrsr_books)\n[#16 in Sports Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6487842011/ref=pd_zg_hrsr_digital-text)""]",Then Radimir Novicov skated circles one drunken close call highest high anyone NOVI Radimir Novicov,First,false,false,true
2025-08-11,Gay Romance,B0FCSN6BJF,Befriending the Bear (Forestville Silver Foxes Book 6),Nora Phoenix,https://www.amazon.com/stores/author/B075ZYG1BF,Forestville Silver Foxes,5.99,4.60,138,455,2025-08-08,,"Some fires you fight, some you let burn. With Calloway, all I want to do is feed the flames. After thirty years as a firefighter and smokejumper, I’ve been forced into retirement by my injuries. Settling in Forestville was an easy decision, but what comes next? I have no clue who I am outside of my job. When I meet Calloway, I recognize a kindred spirit. He’s hurting too, though for very different reasons. I wanna hug him, help him, hold him…and kiss the living daylights out of him because, god, he’s gorgeous. But Calloway has created firebreaks around himself that are a bigger challenge than any burn I’ve ever faced. It’s gonna take time to convince him I’ll be a good friend…and an even better lover. I've jumped out of planes into thousand-acre fires. Falling for Calloway? That's the scariest thing I've ever done. And I'm doing it without a parachute. Befriending the Bear is a slow-burn, friends-to-lovers MM romance between two older guys who find comfort with each other. This gay romance novel is the sixth book in the Forestville Silver Foxes series, a contemporary small town MM romance series featuring hot silver foxes and the men who fall in love with them. Each book can be read as a standalone.",https://m.media-amazon.com/images/I/411tXStSlSL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FCSN6BJF,"[""Contemporary"",""Friends to Lovers"",""Small town"",""Firefighter"",""Slow Burn""]","[""[#4 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)\n[#6 in LGBTQ+ Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13922579011/ref=pd_zg_hrsr_books)\n[#47 in Contemporary Romance Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588748011/ref=pd_zg_hrsr_digital-text)""]",contemporary small town MM romance series thousand-acre fires Forestville Silver Foxes series gay romance novel even better lover,First,false,true,true
2025-08-11,Gay Romance,B0D5QGMBQT,The Vampire's Receptionist (Charmed Away Temp Agency Book 4),Amy Padilla,https://www.amazon.com/stores/author/B0CP63GHNS,Charmed Away Temp Agency,2.99,4.60,630,535,2025-08-05,,"Kian was born between two worlds. Half fae, half green witch, accepted by neither. He was used to being an outcast. A big believer in fate, when he’s offered a reference to work at a temp agency, he takes it without hesitation. And find a job he absolutely loves. Who’d have thought being a temp would be so fun? His newest contract takes him to Spellbound, where he notices his new boss struggling to function. Old EMT habits kick in, and he offers his assistance with a blood donation. He’s done it a dozen times. Nothing could go wrong. Right?  Dorian thought transferring to the medical innovations division would be an interesting challenge. He’d forgotten just how exhausting it was to get an entire division on track. Too busy to worry about self-care, he waits a little too long between feedings and just barely stops himself from attacking a temp. When said temp offers him a blood donation, he can’t very well refuse. It was only supposed to be one time. Surely that would be okay. Right?  Tags: Coffee is life, Dorian says so, Kian likes to cause mischief, Something is wrong with Dorian, Kian has a special reaction to blood donations, Dorian helps him out, Dorian is not old as dirt, thank you very much, Don’t mess with the car, Never challenge a druid, Some things are better than coffee, guaranteed HEA",https://m.media-amazon.com/images/I/41Jxd3EdooL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0D5QGMBQT,"[""Supernatural"",""Witch"",""Vampire"",""Fae/Elves""]","[""[#4 in Magic Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/120220984011/ref=pd_zg_hrsr_digital-text)\n[#5 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)\n[#10 in LGBTQ+ Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13922579011/ref=pd_zg_hrsr_books)""]",medical innovations division,Third,true,false,true
2025-08-11,Gay Romance,B0CGJJTBKJ,God of Fury: A Dark MM College Romance (Legacy of Gods Book 5),Rina Kent,https://www.amazon.com/stores/author/B07MM54G22,Legacy of Gods,5.99,4.70,38152,738,2023-12-06,"Blackthorn Books, LLC","#1 BESTSELLER IN THE ENTIRE KINDLE STORE From New York Times & USA Today bestselling author Rina Kent comes an opposites-attract dark MM romance featuring a New York mafia prince and a British golden boy.  I’m not attracted to men. Or so I thought before I slammed into Nikolai Sokolov. A mafia heir, a notorious bastard, and a violent monster. An ill-fated meeting puts me in his path. And just like that, he has his sights set on me. A quiet artist, a golden boy, and his enemy’s twin brother. He doesn’t seem to care that the odds are stacked against us. In fact, he sets out to break my steel-like control and blur my limits. I thought my biggest worry was being noticed by Nikolai. I’m learning the hard way that being wanted by this beautiful nightmare is much worse.  This book can be read on its own, but for a better understanding of the world, you might want to start with God of Malice.",https://m.media-amazon.com/images/I/51REpKJmJIL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CGJJTBKJ,"[""College"",""British"",""Organized Crime""]","[""[#4 in LGBTQ+ Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13922579011/ref=pd_zg_hrsr_books)\n[#6 in Bisexual Romance](https://www.amazon.com/gp/bestsellers/digital-text/10886542011/ref=pd_zg_hrsr_digital-text)\n[#6 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)""]",ill-fated meeting my steel-like control New York mafia prince ENTIRE KINDLE STORE British golden boy his enemy’s twin brother,First,false,true,true
2025-08-11,Gay Romance,B0DR7F49MB,Briggs: Paranormal Council Enforcers Book Sixteen,Taylor Rylan,https://www.amazon.com/stores/author/B072NG73VR,Paranormal Council Enforcers,5.99,4.60,168,825,2025-08-07,Mortimer Press LLC,"When the Fates give you face-to-face advice about claiming your mate, you absolutely listen to them. Briggs James comes from a pack that is easy to get lost in. When news that the new Paranormal Council was seeking enforcers, he jumped at the chance to join. Although his birth pack was on the up-and-up, he knew too many weren’t, and he wanted to do what he could in order to help those who needed it. When he’s sent to New Mexico on assignment, they realize there’s more happening with the local pride than they knew. But will the council be able to deal with it? Or will they need a little bit of outside help? Todd Miller is trying to build a semblance of a somewhat functional life. Although he’s learning to feel safe again, he often still wakes up in his cheetah form and wonders if he’s back in the cage he was kept in for three years. He likes his job but wonders if he’ll ever be fixed enough to have what the mated couples he sees in the clinic have. Could someone want that with him? Would he be able to trust another alpha enough to be so open with him? When the Fates personally visit not only Todd but Briggs as well, the two choose not to fight the fact that they’re fated. It’s likely that the Fates know more than they do, and they need one another now. Will life calm down for these two, or will it only intensify? Briggs is Book Sixteen in the Paranormal Council Enforcers series. Each book in this series will focus on a different couple, but these books are not standalones and should be read in order as there is an ongoing backstory that won’t be resolved quickly. This is a fated mate story in an MPreg world, and there will be at least one baby. You should expect all the normal shenanigans and remember that sometimes even fated mates need a little help.",https://m.media-amazon.com/images/I/51Mh4AY9DQL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DR7F49MB,"[""Mpreg"",""Supernatural"",""Fated Mates"",""Alpha Male""]","[""[#4 in LGBTQ+ Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/10886544011/ref=pd_zg_hrsr_digital-text)\n[#6 in LGBTQ+ Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/202437565011/ref=pd_zg_hrsr_books)\n[#7 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)""]",fated mate story the normal shenanigans Paranormal Council Enforcers series at least one baby sometimes even fated mates new Paranormal Council somewhat functional life up-and-up,Third,true,true,true
2025-08-11,Gay Romance,B0F7SC5KMN,Safe: An MM Bully Romance,L. Waltree,https://www.amazon.com/stores/author/B0CTR6W2D6,,3.99,4.40,697,846,2025-07-22,,"Landon King’s Heart Preparatory Academy for Young Men. A place I don’t want to be. But it’s a good opportunity. So I take it, hoping it’ll help me land a scholarship and eventually get my family out of our tiny trailer. Though I didn’t know he’d be here. That sickly kid from my past who always tried to mess with me. Now he’s all grown up and captain of the football team I’m joining. He wants me to be miserable. He wants me to leave. But when I get too close and see everything he holds under the surface, all I want to do is stay.  Grant What is he doing here? He’s from a time that no one is supposed to know about. A secret that continues to haunt me under my angry facade. I try to make him miserable. I try to make him leave. He won’t budge, threatening everything I’ve kept hidden away. But when I accidentally let him in, I find that he makes me feel the one thing I’ve been chasing all these years. Safe. Safe is an MM bully romance that contains the following tropes: sports, hurt/comfort, forced proximity, and high angst. Please check the CW to see if this book is for you.",https://m.media-amazon.com/images/I/51lmQ5eKrzL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F7SC5KMN,"[""Sports"",""Bully"",""School/Academy"",""Hurt/Comfort""]","[""[#7 in Bisexual Romance](https://www.amazon.com/gp/bestsellers/digital-text/10886542011/ref=pd_zg_hrsr_digital-text)\n[#8 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)\n[#14 in LGBTQ+ Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13922579011/ref=pd_zg_hrsr_books)""]",Landon King’s Heart Preparatory Academy MM bully romance,First,false,true,true
2025-08-11,Gay Romance,B0F72Q5YM6,Pit Stop,Cora Rose,https://www.amazon.com/stores/author/B09YMVH36P,,5.99,4.30,1452,855,2025-07-25,,"The summer before my senior year of college was supposed to be simple: lose my virginity, avoid all unnecessary drama, and keep my mind focused on my future career far away from this small town. Easy enough. Too bad my newly emerged omega instincts have other plans and my first heat cycle hits me like a freight train with no brakes and zero respect for timing. What was supposed to be a one-time, anonymous hookup behind a glory hole has turned into a slick mess of heat haze, bad decisions, and way too much cuddling. Because the cocky, dirty-talking alpha on the other side of the wall? Yeah, that turns out to be Maverick—my brother’s best friend and the last person on Earth I should be moaning for. And when the heat pheromones finally subside, will Maverick want to pretend it never happened, the way any sane person would after crossing the line with their best friend’s nerdy little brother? Or will he try to stake his alpha claim on me and ruin my future plans? Either way, I’m in big trouble. And possibly in heat again… This is a non-shifter omegaverse romance with no MPreg.",https://m.media-amazon.com/images/I/41xinwAwneL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F72Q5YM6,"[""Small town"",""Omegaverse"",""Shifter"",""College"",""Alpha Male"",""Mpreg""]","[""[#1 in Paranormal Erotica (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7620223011/ref=pd_zg_hrsr_digital-text)\n[#1 in Gay Erotica](https://www.amazon.com/gp/bestsellers/digital-text/7620215011/ref=pd_zg_hrsr_digital-text)\n[#4 in Paranormal Erotica (Books)](https://www.amazon.com/gp/bestsellers/books/10159307011/ref=pd_zg_hrsr_books)""]","my newly emerged omega instincts non-shifter omegaverse romance their best friend’s nerdy little brother my brother’s best friend cocky, dirty-talking alpha one-time my first heat cycle",First,true,true,true
2025-08-11,Gay Romance,B0DJT283QQ,Kiss The Villain: A Dark MM Enemies to Lovers Romance,Rina Kent,https://www.amazon.com/stores/author/B07MM54G22,Villain,4.99,4.50,14164,890,2025-03-20,"Blackthorn Books, LLC","From the New York Times and USA Today bestselling author Rina Kent comes a scorching standalone professor/student dark MM romance set in the world of Legacy of Gods. My darkness meets a darker soul. I’m a golden boy. A genius law student, the heir to the Carson empire, and the dutiful son. Or, at least, that's what it looks like from the outside. Deep inside, I have the urge to set the world on fire. I keep these impulses in check, rarely indulging in mayhem. Until one night of debauchery backfires, and I'm caught by a villain. I bury the entire ordeal with the rest of my skeletons. That is, until that night walks into my classroom in the form of my new professor. Kayden Lockwood. A criminal who’s teaching criminal law. I can't expose what he's done without unmasking my secret life. What I can do, however, is force him to taste the poison he gave me. In the clash of titans, Kayden and I break and crumble. And I'm starting to realize this dangerous game may have no winners.  Kiss the Villain is a dark MM romance. Please check the author's note for content warnings before diving in. While this book can be enjoyed as a standalone, diving into the Legacy of Gods series will give you a deeper connection to the characters.",https://m.media-amazon.com/images/I/51w1KIBfYDL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DJT283QQ,"[""Crime"",""Enemies to Lovers"",""Teacher""]","[""[#7 in LGBTQ+ Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13922579011/ref=pd_zg_hrsr_books)\n[#9 in Bisexual Romance](https://www.amazon.com/gp/bestsellers/digital-text/10886542011/ref=pd_zg_hrsr_digital-text)\n[#10 in Gay Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487829011/ref=pd_zg_hrsr_digital-text)""]",New York Times author's note dark MM romance genius law student scorching standalone professor/student dark MM romance,First,false,true,true
