ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Historical Romance,B0DG8NTCJ7,The First Witch of Boston: A Novel,Andrea Catalano,https://www.amazon.com/stores/author/B0DWX79H76,,1.99,4.50,1332,2,2025-09-01,Lake Union Publishing,"A gripping and intimate novel based on the true story of Margaret Jones, the first woman to be found guilty of witchcraft in seventeenth-century Massachusetts.  Massachusetts Bay Colony, 1646. Thomas and Margaret Jones arrive from England to build a life in the New World. Though of differing temperaments, cautious Thomas and fiery Margaret, a healer, are bound by a love that has lasted decades. With a child on the way, their new beginning promises only blessings.  But in this austere Puritan community, comely faces hide malicious intent. Wrong moves or words are met with suspicion, and Margaret’s bold and unguarded nature draws scorn. Soon, Margaret is mistrusted as more cunning woman than kind caregiver. And when personal tragedies, religious hysteria, and wariness of the unknown turn most against her, even the devotion Margaret and her husband share is at risk.  Inspired by actual diary entries and court records, The First Witch of Boston is at once the riveting story of a woman unjustly accused and a love story set amid the political and social turmoil of both Old and New England. Harrowing, and with a deep understanding of the human heart, history is brilliantly imagined.",https://m.media-amazon.com/images/I/41+Y8u4+p0L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DG8NTCJ7,"[""Supernatural"",""Witch"",""Religious""]","[""[#1 in Women's Historical Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588889011/ref=pd_zg_hrsr_digital-text)\n[#1 in Historical Fiction (Books)](https://www.amazon.com/gp/bestsellers/books/10177/ref=pd_zg_hrsr_books)\n[#1 in American Historical Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13372/ref=pd_zg_hrsr_books)""]",austere Puritan community seventeenth-century Massachusetts Margaret’s bold and unguarded nature gripping and intimate novel political and social turmoil,Third,true,false,true
2025-08-11,Historical Romance,B0CC44Z73T,Feathers so Vicious: A Dark Fantasy Romance (Court of Ravens Book 1),Liv Zander,https://www.amazon.com/stores/author/B096XZW7GK,Court of Ravens,4.99,4.40,28542,253,2023-08-24,Ink Heart Publishing,"More treacherous than war... are the battles within a heart. Perched between branches and shadows, We watch, we scheme, Fighting for a kingdom forgotten and forlorn. Until we rip her away with our claws, Our prisoner, our pawn, our plaything. She’s innocent and pure, Fragile and helpless… …but oh so guilty by blood. She calls us beasts, Wicked and evil, Vicious and cruel. We are all that and worse. One of us offers her shelter beneath his wings, Whispering promises of pleasure, Seeking redemption. The other longs to shatter her into a million pieces, Whispering promises of pain, Seeking revenge. Caught between our feathers, She endures our deranged desires, Our secrets, our lies, Our twisted plans. Will she surrender to our darkness, or fight for a destiny growing ever elusive? Welcome to the Court of Ravens, little white dove. Feathers so Vicious is a full-length dark fantasy romance novel, and book one in the Court of Ravens duet. The two-part story features two morally gray raven shifters, a young woman at the mercy of their shadows, and a HEA. This world contains dark elements, violence, and themes some may find disturbing. Readers can find more detailed information on www.livzander.com. What this book doesn't contain is a hero - because villains do it better. And two do it better than one…",https://m.media-amazon.com/images/I/51w2K+Li9NL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CC44Z73T,"[""Dark Fantasy"",""Shifter"",""Fantasy""]","[""[#1 in Ancient World Historical Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361465011/ref=pd_zg_hrsr_digital-text)\n[#1 in Ancient World Historical Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7538387011/ref=pd_zg_hrsr_books)\n[#4 in Gothic Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487830011/ref=pd_zg_hrsr_digital-text)""]",full-length dark fantasy romance novel two-part story two morally gray raven shifters,First,true,true,true
2025-08-11,Historical Romance,B0DXZCYKR1,"To Catch a Lord: A BRAND NEW steamy love triangle, fake dating regency romance from Emma Orchard for 2025",Emma Orchard,https://www.amazon.com/stores/author/B0BTDL24ZQ,,0.99,4.20,173,372,2025-06-21,Boldwood Books,"⭐️⭐️⭐️⭐️⭐️ 'If you're girding your loins for Bridgerton, you may want to indulge in this Regency romp' - THE TIMES ✨  London, 1813  As a daughter of the notorious Wyverne family, Lady Amelia is used to being the subject of gossip. But while she has accepted her marred reputation – however unfair it is – she hates the horrible men it attracts.  Amelia decides she needs a suitor of impeccable repute to save her from the attentions of ungentlemanly gentlemen, and who better than the handsome and famously moral Lord Thornfalcon? Since coming into his title, ‘Thorn’ has been besieged by women who want to marry him, or have an affair with him, or both – so perhaps a pretend relationship might suit him too?  There’s just one small catch. Thorn’s childhood sweetheart Lavinia has also set her sights on him again, and rallied half the ton behind her. But what does that matter to Amelia – it’s only a fake engagement, isn’t it? Except, as Lavinia and her friends try to tear Amelia and Thorn apart, she starts to realise that her feelings may not be quite so fake after all.  Because the trouble with brave and handsome Lords is… they might just steal your heart.  Readers can't get enough of Emma Orchard's books:  'What a pleasure it always is to open an Emma Orchard novel and know you’re in for a rich treat.' - JANE DUNN  'An exciting new talent' - KATIE FFORDE  'Hot stuff. I loved it!' - FERN BRITTON  'Absolutely glorious' - SOPHIE IRWIN  'A delicious Regency romp' - ALAN TITCHMARSH  'Sensual and exciting' - HEIDI SWAIN  'Heyer with spice!' - LIZ FENWICK  'Witty, heartfelt, deeply emotionally authentic and incredibly sexy' - KATY MORAN  'Sexy, seductive and swoon worthy' - SARAH BENNETT  'Witty, spicy, seductive' - HANNAH DOLBY  'Perfect for fans of Bridgerton' - DARCIE BOLEYN  'Fans of Heyer and Bridgerton rejoice!' - CHARLOTTE BUTTERFIELD  'A delicious slice of escapism' - LAURA WOOD  'Heart-thumping romance' - JENNI KEER",https://m.media-amazon.com/images/I/41a4ZhSZc4L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DXZCYKR1,"[""Regency"",""Steamy"",""Fake Relationship""]","[""[#1 in Regency Romances](https://www.amazon.com/gp/bestsellers/books/746228/ref=pd_zg_hrsr_books)\n[#1 in Regency Historical Romance](https://www.amazon.com/gp/bestsellers/digital-text/158573011/ref=pd_zg_hrsr_digital-text)\n[#31 in Romantic Comedy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6487841011/ref=pd_zg_hrsr_digital-text)""]",handsome and famously moral Lord Thornfalcon notorious Wyverne family only a fake engagement brave and handsome Lords Thorn’s childhood sweetheart Lavinia just one small catch Emma Orchard's books,Third,false,true,true
2025-08-11,Historical Romance,B0CJ4DBKLC,The Girl from the Hidden Forest,Hannah Linder,https://www.amazon.com/stores/author/B0B857KNY5,,0.99,4.50,178,430,2024-05-01,Barbour Fiction,"The nightmares may free her…but destroy the man she loves. Enjoy another Gothic Style Regency from Hannah Linder. Eliza Ellis has stayed hidden in Balfour Forest for as long as she can remember. Perhaps her only friends are the trees, or her little dog, or her story-telling father called Captain. But at least she is safe from the cruel world outside, a world Captain has warned her against and protected her from. That is, until a handsome stranger named Felton Northwood invades her quiet forest and steals her away. Why does he tell such lies? Why does he insist that her name is Miss Eliza Gillingham, daughter of a viscount, who disappeared fourteen years ago after the murder of her own mother? A murder Eliza is said to have witnessed. When Felton returns Eliza to Monbury Manor and reunites her with a man who is told to be her father, all she remembers are the strange nightmares that have plagued her since childhood. Why have they suddenly grown worse? Are the answers hidden inside her own mind? As danger mounts and lethal attempts are made on her life, Eliza and Felton must work together to uncover the identity of a killer who has stayed silent for fourteen years. When she finally uncovers the horrendous memories trapped in her mind, will divulging the truth cost her the man she loves—and both of their lives?",https://m.media-amazon.com/images/I/51iDfUgseUL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CJ4DBKLC,"[""Pandemic"",""Crime"",""Animals"",""Regency""]","[""[#1 in Christian Mystery & Suspense Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7259440011/ref=pd_zg_hrsr_books)\n[#2 in Religious Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158439011/ref=pd_zg_hrsr_digital-text)\n[#2 in Regency Historical Romance](https://www.amazon.com/gp/bestsellers/digital-text/158573011/ref=pd_zg_hrsr_digital-text)""]",her story-telling father Gothic Style Regency,Third,false,false,true
2025-08-11,Historical Romance,B0FFDWDWVP,Starlight and the Duke: A Regency Historical Romance (The Silver Dukes Book 5),Meara Platt,https://www.amazon.com/stores/author/B00PO672QU,The Silver Dukes,4.99,4.70,25,462,2025-08-10,"Dragonblade Publishing, Inc.","All he ever wanted was to love her. Robert Durham, the Duke of Durham, has loved Lady Fiona Shoreham ever since he was a little boy. But he is six years her junior and had to watch helplessly as eighteen-year-old Fiona married the Earl of Shoreham. She is a widow now and lovelier than ever. He is a man fully grown, considered one of the elite Silver Dukes, known to all as rakehells who will never marry. But Society could not be more wrong about him, for this duke fully intends to claim Fiona as his own. Lady Fiona Shoreham has never considered remarrying, especially not to a younger man. She has known the impossibly handsome Duke of Durham ever since they were children, but what was once a true and sincere youthful friendship has blossomed into so much more. However, she dares not give in to her heart and admit she loves him, for he is the last in the Durham line and must sire heirs. In almost twenty years of marriage, she and her late husband never had children, a failing everyone has blamed on her. How can she agree to marry the Duke of Durham when she will never be able to give him the one thing he needs? A compromise is the answer, or so Fiona believes. She is offering this handsome duke one week in her bed. One week only, and then they must move on. But Robert will have none of it. He knows what he needs, and it is Fiona for a lifetime. What will it take to convince her? The Silver Dukes is a charming Regency historical romance series where you’ll find heroes with a dash of silver in their hair and heroines who believe they are spinsters and firmly on the shelf. Tropes & Themes:  ✅ Younger Man / Older Woman  ✅ Friends to Lovers  ✅ Widowed Heroine  ✅ Rake in Love  ✅ Pining Hero  ✅ Hero in Pursuit  ✅ Steamy Bargain / Love-for-a-Week Deal  ✅ Fertility/Heir Pressure  ✅ Society Expectations vs. True Love  ✅ Second Chance at Love Read in Kindle Unlimited! The Silver Dukes Book 1 - Cherish and the Duke Book 2 - Moonlight and the Duke Book 3 - Two Nights with the Duke Book 4 - Snowfall and the Duke Book 5 - Starlight and the Duke Book 6 - Crash Landing on the Duke",https://m.media-amazon.com/images/I/51hp+Iy+2yL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FFDWDWVP,"[""Age Gap"",""Friends to Lovers"",""Aristocracy"",""Regency"",""Pregnancy"",""Friendship"",""Second Chance"",""Steamy""]","[""[#1 in Victorian Historical Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361468011/ref=pd_zg_hrsr_digital-text)\n[#1 in Historical Regency Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588801011/ref=pd_zg_hrsr_digital-text)\n[#3 in Regency Historical Romance](https://www.amazon.com/gp/bestsellers/digital-text/158573011/ref=pd_zg_hrsr_digital-text)""]",eighteen-year-old Fiona Younger Man / Older Woman ✅ Friends Duke Book 2 - Moonlight charming Regency historical romance series Duke Book Duke Book 5 - Starlight Silver Dukes Book 1 - Cherish true and sincere youthful friendship impossibly handsome Duke Steamy Bargain / Love Deal ✅ Fertility/Heir Pressure ✅ Society Expectations 3 - Two Nights Duke Book 6 - Crash Landing,Third,false,true,true
2025-08-11,Historical Romance,B00JJXUZMM,Only Enchanting: Flavian's Story (A Survivors' Club Novel Series Book 4),Mary Balogh,https://www.amazon.com/stores/author/B000APVMYI,Survivor's Club,1.99,4.50,3985,470,2014-10-28,Berkley,"In the fourth novel of New York Times bestselling author Mary Balogh's Survivors' Club series, Flavian, Viscount Ponsonby, finds salvation in the love of a most unsuspecting woman... Flavian was devastated by his fiancée’s desertion after his return home from the Napoleonic Wars. Now the woman who broke his heart is back—and everyone is eager to revive their engagement. Except Flavian, who, in a panic, runs straight into the arms of a most sensible yet enchanting young woman. Agnes Keeping has never been in love—and never wishes to be. But then she meets the charismatic Flavian, and suddenly Agnes falls so foolishly and so deeply that she agrees to his impetuous proposal of marriage. When Agnes discovers that the proposal is only to avenge his former love, she’s determined to flee. But Flavian has no intention of letting his new bride go, especially now that he too has fallen so passionately and so unexpectedly in love.",https://m.media-amazon.com/images/I/51o-bNHrUDL._SY445_SX342_.jpg,https://www.amazon.com/dp/B00JJXUZMM,,"[""[#1 in Historical British & Irish Literature](https://www.amazon.com/gp/bestsellers/books/10090/ref=pd_zg_hrsr_books)\n[#3 in Regency Romances](https://www.amazon.com/gp/bestsellers/books/746228/ref=pd_zg_hrsr_books)\n[#4 in Regency Historical Romance](https://www.amazon.com/gp/bestsellers/digital-text/158573011/ref=pd_zg_hrsr_digital-text)""]",his fiancée’s desertion Mary Balogh's Survivors' Club series most unsuspecting woman,Third,false,false,true
2025-08-11,Historical Romance,B0CDQS3WSQ,Shadows so Cruel: A Dark Fantasy Romance (Court of Ravens Book 2),Liv Zander,https://www.amazon.com/stores/author/B096XZW7GK,Court of Ravens,4.99,4.30,26693,558,2023-10-26,Ink Heart Publishing,"More painful than love… are the secrets that bind and divide us. Adrift in a sky shadowed by war, We seek, we ache, Searching for the woman who fled us. We shattered her heart, but she unfurled her feathers, Our sweetheart, our little dove, Escaping our talons on pure white wings. One of us soars over battlements, Haunted by past mistakes, Vowing never to repeat them. The other storms through walls of stone and hatred, Eager to destroy the shackles of his past, Determined to shackle her to him instead. Forever. Loyalties are torn. Friendships are tested. Among the chaos, one claim stands irrefutably: We will get her back. She will be ours. Come home to us, white Raven. Shadows so Cruel is a full-length dark fantasy romance novel, and book two in the Court of Ravens duet. The two-part story features two morally gray raven shifters, a young woman at the mercy of their shadows, and a HEA. This world contains dark elements, violence, and themes some may find disturbing. Readers can find more detailed information on www.livzander.com. What this book doesn't contain is a hero - because villains do it better. And two do it better than one…",https://m.media-amazon.com/images/I/51tuP1LIq-L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CDQS3WSQ,"[""Dark Fantasy"",""Friendship"",""Shifter"",""Fantasy""]","[""[#1 in Medieval Historical Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361466011/ref=pd_zg_hrsr_digital-text)\n[#2 in Medieval Historical Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7538388011/ref=pd_zg_hrsr_books)\n[#6 in Fairy Tale Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/169457011/ref=pd_zg_hrsr_digital-text)""]",full-length dark fantasy romance novel two-part story two morally gray raven shifters,Third,true,true,true
2025-08-11,Historical Romance,B00BPJOC18,Dangerous Games (The Dangerous Series Book 2),Amanda Scott,https://www.amazon.com/stores/author/B000APBLV2,Dangerous,0.99,4.10,99,619,2013-03-26,Open Road Media Romance,"A woman auctioned off to pay a gambling debt finds her only hope lies with a seductive stranger in this Regency romance from a USA Today –bestselling author. When her father auctions her off to pay his gambling debts, Melissa Seacourt vows that she will be no man's bought bride. Desperate to escape her fate shackled to someone she could never love, Melissa instead is forced to honor and obey the seductive stranger who comes to her rescue. Purchasing a wife for 20,000 guineas wasn't the end game Nicholas Barrington envisioned when he walked into the notorious Newmarket gambling club. But the innocent Melissa arouses much more than his protective instincts. It will take all of Nick's skill and daring to best a cunning adversary hell-bent on his destruction. With two lives now hanging in the balance, Nick's playing for the highest stakes of all: his future with the woman who won his heart. Dangerous Games is the 2nd book in the Dangerous series, but you may enjoy reading the series in any order.",https://m.media-amazon.com/images/I/51Fjm9rq66L._SY445_SX342_.jpg,https://www.amazon.com/dp/B00BPJOC18,"[""Regency""]","[""[#5 in Regency Historical Romance](https://www.amazon.com/gp/bestsellers/digital-text/158573011/ref=pd_zg_hrsr_digital-text)\n[#6 in Regency Romances](https://www.amazon.com/gp/bestsellers/books/746228/ref=pd_zg_hrsr_books)\n[#34 in Romantic Suspense (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158574011/ref=pd_zg_hrsr_digital-text)""]",man's bought bride notorious Newmarket gambling club,Third,false,false,true
2025-08-11,Historical Romance,B0DDY9JD5M,Phantom,H. D. Carlton,https://www.amazon.com/stores/author/B07H74G916,,1.99,4.20,18327,638,2025-01-14,Montlake,"The married woman of the manor. The stranger outside. An intoxicating novel of dark temptation and dangerous desire by the New York Times and USA Today bestselling author of the Cat and Mouse Duet.  November 12, 1944. This house holds on to souls for a lifetime. I thought I had given it to my husband when I vowed to love him until the end of time. I lied. Nothing could have prepared me for the day my phantom appeared outside my window. He was terrifying, yet hypnotizing, and I couldn’t deny my intrigue. I never intended to fall into a whirlwind romance with my stalker. Especially because he’s so much more than that. A criminal. A mobster. The man who offers me solace from the monster in Parsons Manor. There are many that haunt these halls, yet it’s only my husband I fear.",https://m.media-amazon.com/images/I/41PRCkv0IyL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DDY9JD5M,"[""Crime"",""Organized Crime"",""Mind Control""]","[""[#1 in 20th Century Historical Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/119015543011/ref=pd_zg_hrsr_digital-text)\n[#1 in Mafia Romance](https://www.amazon.com/gp/bestsellers/books/120214348011/ref=pd_zg_hrsr_books)\n[#2 in Ghost Paranormal Romance](https://www.amazon.com/gp/bestsellers/books/120214358011/ref=pd_zg_hrsr_books)""]",Cat and Mouse Duet New York Times,First,true,true,true
2025-08-11,Historical Romance,B0F2CBKZJP,Beautiful Things (Second Sons Book 1),Emily Rath,https://www.amazon.com/stores/author/B09MZJVH8V,Second Sons,8.99,4.30,2504,778,2025-04-08,Kensington Books,"Crashing a country house party in Regency England, an intrepid young woman is drawn into the orbit of three delicious gentlemen in this slow burn, very sexy, definitely-not-your-mother’s historical romance from internationally bestselling author Emily Rath.  At twenty-two, Rosalie Harrow is unmarried and near destitute. She has two choices: snag a wealthy gentleman, or take work as a governess. Neither option appeals to headstrong Rosalie, who sees both futures as a kind of cage. When Rosalie receives an invitation to Alcott Hall, she believes she’s there to meet the Dowager Duchess of Norland, the mysterious childhood friend of her late mother. Instead, Rosalie is thrust in the middle of a house party of eligible high society ladies all desperate to win the hand of the new, conveniently single duke. Hilarity ensues as Rosalie dodges the attentions of the officious duke, and weathers the censure of the other guests, all while trying to unravel the mystery of her invitation. And then there’s the gentlemen… The more Rosalie tries to avoid the high society husband hunt, the more she finds herself charmed by three very different men. There’s Lord James, the duke’s younger brother, who is the secret duke in all but name. Lieutenant Renley, recently returned from the West Indies, and begrudgingly looking for a wife of his own. And the tempestuous Mr. Burke, who irks Rosalie to no end. The clock ticks down the days to the Michaelmas ball, when the duke is set to announce his bride. Marriage is a trap and Rosalie will not be easily snared…but that doesn’t mean she can’t enjoy the chase while it lasts.",https://m.media-amazon.com/images/I/51Qs5iCJ8HL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F2CBKZJP,"[""Slow Burn"",""Regency"",""Aristocracy"",""Mystery""]","[""[#1 in Historical Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/15195305011/ref=pd_zg_hrsr_digital-text)\n[#5 in Regency Romances](https://www.amazon.com/gp/bestsellers/books/746228/ref=pd_zg_hrsr_books)\n[#6 in Regency Historical Romance](https://www.amazon.com/gp/bestsellers/digital-text/158573011/ref=pd_zg_hrsr_digital-text)""]","very sexy, definitely-not-your-mother’s historical romance three very different men intrepid young woman high society husband hunt eligible high society ladies country house party duke’s younger brother internationally bestselling author Emily Rath new, conveniently single duke the tempestuous Mr. Burke mysterious childhood friend",Third,false,true,true
