ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Paranormal Romance,B0FGKSZQ7X,Dark Shaman: The Lost Treasure (The Children Of The Gods Paranormal Romance Book 98),I. T. Lucas,https://www.amazon.com/stores/author/B010EXITCS,The Children Of The Gods Paranormal Romance,4.99,4.80,138,36,2025-08-09,"Evening Star Press, LLC.","Eluheed believed he was the only immortal on Earth, carrying the weight of a sacred duty—to protect and recover the sacred treasures buried beneath Mount Ararat. But when a catastrophic mistake lands him in the clutches of a Russian mobster and then sold to a mysterious warlord, Eluheed discovers he's not as alone as he thought.  Now imprisoned on a remote island, forced to serve a ruthless master who is not fully human, Eluheed must use his shamanic skills to survive. In this luxurious cage filled with broken souls, he finds an unexpected ally—a female whose spirit refuses to be crushed. As Eluheed plans his escape, he faces an impossible choice: return to his duty or risk everything for a chance at something he's never had before.",https://m.media-amazon.com/images/I/51m4p-wXOaL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FGKSZQ7X,"[""Mystery"",""Organized Crime"",""Supernatural""]","[""[#1 in Science Fiction Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7654408011/ref=pd_zg_hrsr_books)\n[#1 in Psychic Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401740011/ref=pd_zg_hrsr_digital-text)\n[#1 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)""]",,Third,true,false,true
2025-08-11,Paranormal Romance,B0CFQTT2BV,The Wolf King: A Fantasy Romance,Lauren Palphreyman,https://www.amazon.com/stores/author/B07B2Z4DKQ,The Wolf King,4.99,4.40,28196,41,2023-09-14,Lauren Palphreyman,"When a princess is kidnapped by an alpha, war rages between the humans and the wolves. But soon, forbidden attraction starts to grow. . . Princess Aurora longs to escape the castle and the marriage that has been arranged for her. But on the night before her wedding, at a dog fight where captured werewolves are made to fight for sport, she spares the life of a young wolf. It puts her on the radar of the powerful alpha who was going to kill him. And it changes everything. That night, when the alpha escapes, he kidnaps her and takes her to the rugged lands north of the border — where the once warring werewolf clans are beginning to unite. He thinks that she is the key to winning the war against the humans. Only, as they spend time around one another, forbidden attraction starts to grow. And as Aurora learns that not all wolves are bad, the alpha discovers that she is in danger from both his enemies, and those he once considered friends. With monsters on both sides, a bloodthirsty war between humans and wolves raging, and undeniable passion growing between them — will their story end in love? Or tragedy? And will Aurora ever get home? Does she even want to? An adult fantasy romance for fans of romantasy, werewolves, forbidden romance, and enemies to lovers Content Warning: Contains strong language and sexual situations",https://m.media-amazon.com/images/I/51YxjD49obL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CFQTT2BV,"[""Monsters"",""Fantasy"",""Enemies to Lovers"",""Animals"",""Sports"",""Shifter"",""Alpha Male""]","[""[#1 in Werewolf & Shifter Romance](https://www.amazon.com/gp/bestsellers/books/13922582011/ref=pd_zg_hrsr_books)\n[#1 in Paranormal Werewolves & Shifters Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401742011/ref=pd_zg_hrsr_digital-text)\n[#1 in Paranormal](https://www.amazon.com/gp/bestsellers/digital-text/15195309011/ref=pd_zg_hrsr_digital-text)""]","once warring werewolf clans adult fantasy romance alpha, war rages lovers Content Warning",Third,true,true,true
2025-08-11,Paranormal Romance,B0FFJKD94H,Reclaimed,Roxie Ray,https://www.amazon.com/stores/author/B07YL8WPF3,,8.99,4.30,2945,54,2025-06-26,Special Fiction Books,"He lost her once. Fate won’t let him lose her again. Ten years ago, Ace told me I was his fated mate. Then everything fell apart—before I could tell him I was pregnant. Now I’m back. For our son. But Ace is no longer just the man I loved. He’s the dragon clan’s alpha—powerful, dangerous… and furious. He refuses to let me go. He wants his mate. He wants his son. And he’ll stop at nothing to reclaim what’s his. Perfect for fans of: ✔️ Small town second chances ✔️ Possessive alpha dragon shifters ✔️ Secret babies & fated mates ✔️ All the groveling, forgiveness & HEA you love Yes, it’s 700+ pages. That’s what happens when you get both Part 1 & Part 2 in one go. No cliffhangers. No waiting. Just the full, messy, emotional second chance they deserve.",https://m.media-amazon.com/images/I/51wfRtEELXL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FFJKD94H,"[""Fated Mates"",""Supernatural"",""Dragon"",""Pregnancy"",""Small town"",""Second Chance"",""Alpha Male"",""Shifter""]","[""[#1 in Later in Life Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/17744544011/ref=pd_zg_hrsr_digital-text)\n[#1 in Later in Life Romance (Books)](https://www.amazon.com/gp/bestsellers/books/17745834011/ref=pd_zg_hrsr_books)\n[#2 in Werewolf & Shifter Romance](https://www.amazon.com/gp/bestsellers/books/13922582011/ref=pd_zg_hrsr_books)""]","dragon clan’s alpha Possessive alpha dragon shifters Small town second chances ️ Secret babies & fated mates Just the full, messy, emotional second chance",Third,true,true,true
2025-08-11,Paranormal Romance,B0F99GFWGM,Unbound: A Fantasy Romance (Confluence Academy Book 1),Penelope Bloom,https://www.amazon.com/stores/author/B01LWS0TG6,Confluence Academy,4.99,4.60,3912,55,2025-05-27,,"Nineteen-year-old Nessa Thorne expects death when she volunteers for Empire's selection. Instead, she's thrust into Confluence Academy, where students harness elemental magic and bond powerful beasts—from wolves to ancient dragons—forging themselves into the Empire's most lethal weapons.  Students are branded by affinity: water, air, earth, or fire. But Nessa’s mark is different. A silver spiral—the mark of an unbound. It’s a power so dangerous her kind were hunted to extinction centuries ago—or so the Empire claims.  To survive, she must hide what she is in a castle that reeks of blood, where students kill each other for advantage and failing to tether an elemental means death.  Nessa’s greatest threat may be the only other volunteer—Raith Hollow, a powerful fire affinity whose scorching gaze follows her every move and whose secrets could topple kingdoms.  Alliances are forged in blood, enemies circle like vultures, and forbidden desires close in. Death once seemed like release from her tragic past. Now it's not an option. She'll embrace her terrible potential or watch everything she's fought for burn.  At Confluence Academy, students leave as weapons... or they don't leave at all.  What to expect: A delicious slow burn romance as dangerous as the magic? Check. A final line readers are saying will haunt you for weeks? Double check. An ending that will leave you desperate for book 2? Absolutely.",https://m.media-amazon.com/images/I/51bqc7m8qbL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F99GFWGM,"[""Supernatural"",""Fantasy"",""Slow Burn"",""Dragon"",""Magic"",""School/Academy""]","[""[#1 in Magic Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/120220984011/ref=pd_zg_hrsr_digital-text)\n[#3 in Military Romance (Books)](https://www.amazon.com/gp/bestsellers/books/8373231011/ref=pd_zg_hrsr_books)\n[#4 in Paranormal Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13356/ref=pd_zg_hrsr_books)""]",delicious slow burn romance elemental magic and bond powerful beasts final line readers Nessa’s greatest threat powerful fire affinity Nineteen-year-old Nessa Thorne Empire's most lethal weapons only other volunteer,Third,true,true,true
2025-08-11,Paranormal Romance,B0F4Q24BT9,The Alpha And The Baker,Roxie Ray,https://www.amazon.com/stores/author/B07YL8WPF3,,4.99,4.40,794,69,2025-07-25,Special Fiction Books,"A grumpy-sweet alpha. A broke but brilliant baker. One emergency cake order that might just be fate. When Castiel’s pack reunion turns into a frosting-fueled disaster, the last thing he expects is to find salvation in the form of a tiny bakery—and the fiery, flour-dusted woman who runs it. Felicia’s barely keeping her business alive, her heart is still healing, and she has zero time for distractions—especially not the ridiculously hot country guy begging for last-minute cakes. But with a hundred people waiting for dessert and a cash offer she can’t refuse, she says yes. One rushed bake. Three ruined ovens. A van full of dreams. And a connection that neither of them saw coming. She’s a human with a whisk. He’s an Alpha with responsibilities. But when their worlds collide, it’s anything but half-baked. Fans of small-town shifter romance, soft alpha energy, and banter that melts frosting will devour this slow-burn standalone with found family, first shifts, and the sweetest damn love story this side of the forest.",https://m.media-amazon.com/images/I/51etd++9HsL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F4Q24BT9,"[""Shifter"",""Alpha Male"",""Slow Burn""]","[""[#3 in Werewolf & Shifter Romance](https://www.amazon.com/gp/bestsellers/books/13922582011/ref=pd_zg_hrsr_books)\n[#3 in Paranormal Werewolves & Shifters Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401742011/ref=pd_zg_hrsr_digital-text)\n[#6 in Small Town Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/120220981011/ref=pd_zg_hrsr_digital-text)""]","small-town shifter romance fiery, flour-dusted woman slow-burn standalone especially not the ridiculously hot country guy grumpy-sweet alpha Castiel’s pack reunion One emergency cake order sweetest damn love story last-minute cakes frosting-fueled disaster broke but brilliant baker",Third,true,true,true
2025-08-11,Paranormal Romance,B0FH8MW5T2,The Alpha's Second Chance Mate,Sadie Sears,https://www.amazon.com/stores/author/B08JTNFQ1H,,8.99,4.40,1135,97,2025-07-09,Special Fiction Books,"He never knew she was carrying his child. Now she’s back—and this time, she’s his to claim. Avery never expected to return to Harbor Mills—or to face the alpha who once broke her heart. But with her son’s life on the line, she has no choice but to turn to the only man who can help. Cole didn’t know he had a son. He never stopped loving Avery—and now that fate has brought her back, nothing will keep him from protecting what’s his. The pack is dangerous. The threats are real. But this time, Cole won’t let anything—or anyone—stand between him and his mate. Perfect for fans of fated mates, second chances, protective alpha wolves, and small-town shifter heat.  This edition includes both parts of the duology—over 800 pages of steamy, emotional, fated-mates goodness.  No cliffhangers. No waiting. Just one deliciously chunky book you can devour in a single sitting (or several very late nights).",https://m.media-amazon.com/images/I/51ISx+fco9L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FH8MW5T2,"[""Fated Mates"",""Steamy"",""Second Chance"",""Alpha Male"",""Shifter""]","[""[#1 in Werewolf & Shifter Thrillers](https://www.amazon.com/gp/bestsellers/books/9536079011/ref=pd_zg_hrsr_books)\n[#1 in Werewolves & Shifters Suspense](https://www.amazon.com/gp/bestsellers/digital-text/7130642011/ref=pd_zg_hrsr_digital-text)\n[#2 in Later in Life Romance (Books)](https://www.amazon.com/gp/bestsellers/books/17745834011/ref=pd_zg_hrsr_books)""]","Just one deliciously chunky book her son’s life several very late nights steamy, emotional, fated-mates goodness small-town shifter heat",Third,true,true,true
2025-08-11,Paranormal Romance,B0FL81D5N6,"It's Kind of a Bunny Story (Hey There, Hop Stuff Book 3)",Sedona Ashe,https://www.amazon.com/stores/author/B08WJWJPD5,"Hey There, Hop Stuff",3.99,4.40,341,103,2025-08-04,"Gobble Ink, LLC","I’m a bunny shifter whose future was decided by a cruel burrow. Now I’m choosing my own path… even if it means war. In Blackberry Burrow, females like me were nothing more than property, used to breed and controlled by rules I didn’t agree to. With my first heat due any day, the rabbit shifter men had already started negotiating who would be sharing my bed, like I was nothing more than a toy for their amusement. I’d rather mop a bathroom floor with my tongue than let that happen. With the help of my best friend Fletcher, I ran—straight into the arms of two very large, very dangerous, and very growly wolf shifters. Linc and Copeland didn’t just protect me; they claimed me. Alongside Fletcher, they became my mates. My future. My family. But peace doesn’t last long when your past wants you back… dead or alive. The burrow has a plan to get their revenge, and my mates are their first targets. When I left, I promised myself I’d die before ever stepping foot on burrow land again. But now I’m going back to the place that caged me. Armed with a plan, determination, and a whole lot of rage, I’m ready to bop a few bunnies on the head if it means saving my mates. They underestimated me before. But this bunny? She bites back. It’s Kind of a Bunny Story is a standalone within the Hey There, Hop Stuff series. Expect possessive wolves, stubborn bunnies, heat cycles, and plenty of steam. There are mentions of past abuse, but all steamy scenes are fully consensual. The Hey There, Hop Stuff series will feature a different bunny shifter girl and her mates within the same community. Each girl will get her happy ending. The books can be read out of order, but the community and shifter communities will make slightly more sense if you read the books in order.",https://m.media-amazon.com/images/I/51-+lx7acxL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FL81D5N6,"[""Steamy"",""Shifter""]","[""[#5 in Paranormal Werewolves & Shifters Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401742011/ref=pd_zg_hrsr_digital-text)\n[#6 in Werewolf & Shifter Romance](https://www.amazon.com/gp/bestsellers/books/13922582011/ref=pd_zg_hrsr_books)\n[#10 in Romantic Comedy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6487841011/ref=pd_zg_hrsr_digital-text)""]","There, Hop Stuff series two very large, very dangerous, and very growly wolf shifters different bunny shifter girl Kind of a Bunny Story",First,true,true,true
2025-08-11,Paranormal Romance,B0DMX89R8T,Kiss of the Basilisk: A Split or Swallow Novel,Lindsay Straube,https://www.amazon.com/stores/author/B0D75FX4Z1,Split or Swallow,7.99,4.10,19472,112,2025-02-25,Bloom Books,"From internet sensation Lindsay Straube comes the first in a searing romantasy series where survival demands submission, and desire is the most dangerous game of all.  Temperance Verus has never been kissed—not exactly ideal for a girl competing in the palace's most closely watched matchmaking ritual. Every year, a select group is invited to bond with the realm's magical basilisks and train in the art of charm, poise, and influence. The prize? A chance to win the prince's favor—and a life of privilege.  Tem expects rules, gowns, and etiquette.  She doesn't expect her assigned partner to be Caspen—the Serpent King, commanding, mysterious, and anything but safe. As he pushes her to unlock the strength she never knew she had, Tem finds herself drawn into something deeper, stranger, and far more powerful than royal approval.  But not all bonds are built for the court, and some secrets are meant to break them.  Readers call it ""feral, spicy, and unforgettably bold."" For fans of morally grey monsters, slow-burn fantasy romance, and stories that subvert the fairytale script.",https://m.media-amazon.com/images/I/51qRyleSMUL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DMX89R8T,"[""Aristocracy"",""Monsters"",""Fantasy"",""Slow Burn"",""Mystery"",""Magic"",""Fairy Tale""]","[""[#4 in Werewolf & Shifter Romance](https://www.amazon.com/gp/bestsellers/books/13922582011/ref=pd_zg_hrsr_books)\n[#6 in Paranormal Werewolves & Shifters Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401742011/ref=pd_zg_hrsr_digital-text)\n[#14 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)""]",slow-burn fantasy romance prince's favor realm's magical basilisks searing romantasy series most dangerous game,Third,true,true,true
2025-08-11,Paranormal Romance,B0DMTF6XR6,Kingdom of Tomorrow (Book of Arden 1),Gena Showalter,https://www.amazon.com/stores/author/B001I9RQQ8,Book of Arden,1.99,4.10,201,114,2025-09-01,Montlake,"From New York Times bestselling author Gena Showalter comes a fusion of modern and fantastical worlds, where a young woman must navigate a secret society, uncover a shocking enemy…and resist an undeniable attraction.  Twenty-year-old Arden Roosa knows only Ourland. Two worlds split and stitched together, with broken pieces from each, statues of fallen gods, and heavenly artifacts that are worshipped…or feared.  But nothing is more fearsome than the night.  A strange madness haunts the darkest hours, turning innocents into gleeful killers. Arden does her best to stay safe, until she reads a book written about her life― The Book of Arden ―and everything changes.  Forced to join Fort Bala Royal Academy, Arden is paired with the ruthless High Prince Cyrus Dolion. But while he trains her for combat against a mystical adversary, she can’t deny the sparks burning between them.  If her panic attacks and war games aren’t enough, Arden is also tapped to join the Tome Society, rumored guardians of an invisible library with books that foretell the future. But the more she learns about the society, the less she understands about Ourland, the gods…and the person she’s destined to be.",https://m.media-amazon.com/images/I/51YPrasqn-L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DMTF6XR6,"[""Aristocracy"",""School/Academy"",""Crime""]","[""[#2 in Magic Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/120220984011/ref=pd_zg_hrsr_digital-text)\n[#6 in Dystopian Fiction (Books)](https://www.amazon.com/gp/bestsellers/books/3559311011/ref=pd_zg_hrsr_books)\n[#9 in New Adult & College Romance (Books)](https://www.amazon.com/gp/bestsellers/books/8373230011/ref=pd_zg_hrsr_books)""]",Twenty-year-old Arden Roosa strange madness haunts Fort Bala Royal Academy her life― The Book ruthless High Prince Cyrus Dolion modern and fantastical worlds,Third,false,false,true
2025-08-11,Paranormal Romance,B0DSTFZ54X,Freaky Festivals (Mystic Caravan Mysteries Book 20),Amanda M. Lee,https://www.amazon.com/stores/author/B00B522Z32,Mystic Caravan Mysteries,5.99,4.80,624,117,2025-08-05,WinchesterShaw Publications,"Mystic Caravan is hitting San Francisco. Unfortunately, a magical force in the city is hitting back. On their first night in town, they discover somebody has unleashed skeletons on the city…and there’s an army of them. The good news is that as far as foes go, they’re not very impressive. Poet Parker’s team can take them out with relative ease. The bad news is they’re not stopping…and they’re getting bolder each and every night. San Francisco’s history leads to a lot of questions. Are the skeletons coming from the cemeteries that were closed? Seems only a fraction of the bodies were moved when the city shut down for burials more than a century before. Who is raising them, though? Between Golden Gate Park, Fisherman’s Wharf, and Alcatraz, Mystic Caravan has a lot of dark corners to search through. A nosy police officer—one who has his own paranormal task force at the ready—is another concern. Not all evil is created equal. Sometimes what looks like evil isn’t evil at all. Still, the city needs to be saved. Are Poet and her motley crew of magical misfits up to the task? You’re about to find out. It’s going to be a bumpy—and bony—ride.",https://m.media-amazon.com/images/I/41ITbVIQIpL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DSTFZ54X,"[""Supernatural"",""Mystery"",""Magic"",""Police"",""Military""]","[""[#1 in Paranormal Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/12569916011/ref=pd_zg_hrsr_digital-text)\n[#1 in Witch & Wizard Mysteries](https://www.amazon.com/gp/bestsellers/books/9536087011/ref=pd_zg_hrsr_books)\n[#1 in Mystery Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487840011/ref=pd_zg_hrsr_digital-text)""]",Poet Parker’s team nosy police officer San Francisco’s history his own paranormal task force,Third,true,false,true
