ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Romance,B07SH5V2NB,Regretting You,Colleen Hoover,https://www.amazon.com/stores/author/B006SKAK42,,5.99,4.50,198596,1,2019-12-10,Montlake,"Soon to be a major motion picture starring Mckenna Grace, Mason Thames, Allison Williams, and Dave Franco.  From #1 New York Times bestselling author of It Ends with Us comes a novel about family, first love, grief, and betrayal that will touch the hearts of both mothers and daughters.  Morgan Grant and her sixteen-year-old daughter, Clara, would like nothing more than to be nothing alike.  Morgan is determined to prevent her daughter from making the same mistakes she did. By getting pregnant and married way too young, Morgan put her own dreams on hold. Clara doesn’t want to follow in her mother’s footsteps. Her predictable mother doesn’t have a spontaneous bone in her body.  With warring personalities and conflicting goals, Morgan and Clara find it increasingly difficult to coexist. The only person who can bring peace to the household is Chris—Morgan’s husband, Clara’s father, and the family anchor. But that peace is shattered when Chris is involved in a tragic and questionable accident. The heartbreaking and long-lasting consequences will reach far beyond just Morgan and Clara.  While struggling to rebuild everything that crashed around them, Morgan finds comfort in the last person she expects to, and Clara turns to the one boy she’s been forbidden to see. With each passing day, new secrets, resentment, and misunderstandings make mother and daughter fall further apart. So far apart, it might be impossible for them to ever fall back together.",https://m.media-amazon.com/images/I/51+1iPR2l7L._SY445_SX342_.jpg,https://www.amazon.com/dp/B07SH5V2NB,"[""Pregnancy""]","[""[#1 in Contemporary Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158568011/ref=pd_zg_hrsr_digital-text)\n[#1 in Literature & Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6505523011/ref=pd_zg_hrsr_digital-text)\n[#1 in Women's Romance Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588898011/ref=pd_zg_hrsr_digital-text)""]",Chris—Morgan’s husband tragic and questionable accident heartbreaking and long-lasting consequences major motion picture her sixteen-year-old daughter her mother’s footsteps,Third,false,true,true
2025-08-11,Romance,B0DG8NTCJ7,The First Witch of Boston: A Novel,Andrea Catalano,https://www.amazon.com/stores/author/B0DWX79H76,,1.99,4.50,1332,2,2025-09-01,Lake Union Publishing,"A gripping and intimate novel based on the true story of Margaret Jones, the first woman to be found guilty of witchcraft in seventeenth-century Massachusetts.  Massachusetts Bay Colony, 1646. Thomas and Margaret Jones arrive from England to build a life in the New World. Though of differing temperaments, cautious Thomas and fiery Margaret, a healer, are bound by a love that has lasted decades. With a child on the way, their new beginning promises only blessings.  But in this austere Puritan community, comely faces hide malicious intent. Wrong moves or words are met with suspicion, and Margaret’s bold and unguarded nature draws scorn. Soon, Margaret is mistrusted as more cunning woman than kind caregiver. And when personal tragedies, religious hysteria, and wariness of the unknown turn most against her, even the devotion Margaret and her husband share is at risk.  Inspired by actual diary entries and court records, The First Witch of Boston is at once the riveting story of a woman unjustly accused and a love story set amid the political and social turmoil of both Old and New England. Harrowing, and with a deep understanding of the human heart, history is brilliantly imagined.",https://m.media-amazon.com/images/I/41+Y8u4+p0L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DG8NTCJ7,"[""Witch"",""Supernatural"",""Religious""]","[""[#1 in American Historical Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/17744542011/ref=pd_zg_hrsr_digital-text)\n[#1 in Women's Historical Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588889011/ref=pd_zg_hrsr_digital-text)\n[#1 in American Historical Romance (Books)](https://www.amazon.com/gp/bestsellers/books/13372/ref=pd_zg_hrsr_books)""]",Margaret’s bold and unguarded nature austere Puritan community gripping and intimate novel political and social turmoil seventeenth-century Massachusetts,Third,true,false,true
2025-08-11,Romance,B0DWVCNRFT,Till Summer Do Us Part,Meghan Quinn,https://www.amazon.com/stores/author/B00G2PREA6,,5.99,4.20,43417,3,2025-06-03,,"From New York Times and USA Today bestselling author comes a brand new sizzling summer read that will have you laughing, swooning . . . and sweating. Scottie Price just started a new job and it's a real sausage fest. She's the only woman on a team filled with Brads and Chads. Expecting a bachelor pad atmosphere, she is quickly corrected when she finds out everyone is happily married. In an effort to impress her boss, Scottie mentions her nonexistent husband in a company meeting. But eagle-eyed Chad points out her lack of wedding ring. Panicked, Scottie creates a story about her unhappy marriage. Unfortunately for Scottie, her boss has a solution—a one-on-one session with the best marriage counselor in the Northeast, who happens to be her boss’s husband. With no way out of her lie, Scottie agrees to see him. Frantic, she calls in help from her best friend who sets her up with his brother, an improv-obsessed millionaire. Enter Wilder Wells. More than happy to take on the job, he teaches Scottie the main rule of improv: always say yes. But the rule backfires during the session when Wilder signs them up for an eight-day summer marriage camp with all of Scottie’s co-workers where she’ll have to share a cabin with her way-too-handsome fake husband.",https://m.media-amazon.com/images/I/416atfeouWL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DWVCNRFT,,"[""[#1 in Billionaires & Millionaires Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/120220974011/ref=pd_zg_hrsr_digital-text)\n[#1 in Romantic Comedy (Books)](https://www.amazon.com/gp/bestsellers/books/9059885011/ref=pd_zg_hrsr_books)\n[#1 in Billionaires & Millionaires Romance](https://www.amazon.com/gp/bestsellers/books/120214349011/ref=pd_zg_hrsr_books)""]",best marriage counselor bachelor pad atmosphere eagle-eyed Chad improv-obsessed millionaire brand new sizzling summer read one-on-one session her way-too-handsome fake husband eight-day summer marriage camp her boss’s husband,Third,false,false,true
2025-08-11,Romance,B0FKG1GWWK,Vows We Never Made: A Grumpy Sunshine Romance,Nicole Snow,https://www.amazon.com/stores/author/B00AQ7MPOG,,4.99,4.40,899,17,2025-07-29,Ice Lips Press,"A sunshiney bookworm's life explodes when her best friend's atrocious brother proposes in this steamy and electrifying romance by Wall Street Journal Nicole Snow. Big dreams come with bigger catches. Mine came wrapped in a merciless suit—Ethan Blackthorn. Billionaire tyrant. My bestie's older brother. Bane of my childhood and jackwagon of the century. Now he's my flipping fiancé. All thanks to a brutal six-month marriage clause in his grandfather's will. He promised me everything to play along. An eye-popping payout. The bookstore of my dreams. Plus, a nice glittery Cinderella break from reality. But that's not what steals my breath away. He's taking this too seriously. He's kissing me like it means something. He's ready to declare war when other men dare look at me. I don't understand. The conceited, incurable monster who used to make me cry now lives for my smiles and he's making this so hard. Between his secrets and obsession, do I even stand a chance? How do I forget the vows we never made if they start feeling sacred? A deliciously sweet and stormy standalone romance with a heart-pounding fight to ever after. Irresistible tropes inside: grumpy x sunshine, best friend's brother, marriage of convenience.",https://m.media-amazon.com/images/I/51Mt5fg6ODL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FKG1GWWK,"[""Steamy"",""Billionaire""]","[""[#2 in Contemporary Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158568011/ref=pd_zg_hrsr_digital-text)\n[#2 in Romantic Comedy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6487841011/ref=pd_zg_hrsr_digital-text)\n[#2 in Billionaires & Millionaires Romance](https://www.amazon.com/gp/bestsellers/books/120214349011/ref=pd_zg_hrsr_books)""]","steamy and electrifying romance deliciously sweet and stormy standalone romance My bestie's older brother heart-pounding fight Irresistible tropes inside: grumpy x sunshine sunshiney bookworm's life conceited, incurable monster her best friend's atrocious brother best friend's brother his grandfather's will Wall Street Journal Nicole Snow brutal six-month marriage clause eye-popping payout",First,false,true,true
2025-08-11,Romance,B07FCF2GYW,The Last Letter,Rebecca Yarros,https://www.amazon.com/stores/author/B00HYKBU1W,,9.99,4.70,112419,20,2019-02-26,Entangled: Amara,"“ The Last Letter is a haunting, heartbreaking and ultimately inspirational love story.“— InTouch Weekly  Beckett,  If you’re reading this, well, you know the last-letter drill. You made it. I didn’t. Get off the guilt train, because I know if there was any chance you could have saved me, you would have.  I need one thing from you: get out of the army and get to Telluride.  My little sister Ella’s raising the twins alone. She’s too independent and won’t accept help easily, but she has lost our grandmother, our parents, and now me. It’s too much for anyone to endure. It’s not fair.  And here’s the kicker: there’s something else you don’t know that’s tearing her family apart. She’s going to need help.  So if I’m gone, that means I can’t be there for Ella. I can’t help them through this. But you can. So I’m begging you, as my best friend, go take care of my sister, my family.  Please don’t make her go through it alone.  Ryan",https://m.media-amazon.com/images/I/51Z+MyyrlsL._SY445_SX342_.jpg,https://www.amazon.com/dp/B07FCF2GYW,"[""Inspirational"",""Military"",""Forbidden Love""]","[""[#1 in Military Romance (Books)](https://www.amazon.com/gp/bestsellers/books/8373231011/ref=pd_zg_hrsr_books)\n[#1 in Contemporary Literature & Fiction](https://www.amazon.com/gp/bestsellers/books/10129/ref=pd_zg_hrsr_books)\n[#1 in Military Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6487836011/ref=pd_zg_hrsr_digital-text)""]",last-letter drill,First,false,true,true
2025-08-11,Romance,B0CW1FKFB9,Onyx Storm (The Empyrean Book 3),Rebecca Yarros,https://www.amazon.com/stores/author/B00HYKBU1W,The Empyrean,14.99,4.60,216595,25,2025-01-21,Entangled: Red Tower Books,"Discover the instant #1 New York Times bestseller! TV series now in development at MGM Amazon Studios with Michael B. Jordan’s Outlier Society. Accolades for Fourth Wing Amazon Best Books of the Year, #4 • Apple Best Books of the Year 2023 • Barnes & Noble Best Fantasy Book of 2023 • NPR ""Books We Love"" 2023 • Audible Best Books of 2023 • Hudson Book of the Year • Google Play Best Books of 2023 • Indigo Best Books of 2023 • Waterstones Book of the Year finalist • Goodreads Choice Award Winner • Newsweek Staffers’ Favorite Books of 2023 • Paste Magazine ’s Best Books of 2023 • TikTok Book Awards UK and Ireland Book of the Year (International) 2024 After nearly eighteen months at Basgiath War College, Violet Sorrengail knows there’s no more time for lessons. No more time for uncertainty. Because the battle has truly begun, and with enemies closing in from outside their walls and within their ranks, it’s impossible to know who to trust. Now Violet must journey beyond the failing Aretian wards to seek allies from unfamiliar lands to stand with Navarre. The trip will test every bit of her wit, luck, and strength, but she will do anything to save what she loves—her dragons, her family, her home, and him. Even if it means keeping a secret so big, it could destroy everything. They need an army. They need power. They need magic. And they need the one thing only Violet can find—the truth. But a storm is coming...and not everyone can survive its wrath. The Empyrean series is best enjoyed in order. Reading Order: Book #1 Fourth Wing Book #2 Iron Flame Book #3 Onyx Storm",https://m.media-amazon.com/images/I/51erLQfWU8L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CW1FKFB9,"[""Military"",""Dragon"",""Magic"",""Fantasy"",""College"",""Supernatural""]","[""[#1 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)\n[#1 in Romantasy](https://www.amazon.com/gp/bestsellers/books/7654406011/ref=pd_zg_hrsr_books)\n[#2 in Military Romance (Books)](https://www.amazon.com/gp/bestsellers/books/8373231011/ref=pd_zg_hrsr_books)""]","NPR ""Books We Fourth Wing Book instant #1 New York Times bestseller 2023 • Waterstones Book 4 • Apple Best Books Noble Best Fantasy Book Year (International Iron Flame Book • Goodreads Choice Award Winner Michael B. Jordan’s Outlier Society 2023 • TikTok Book Awards UK failing Aretian wards Paste Magazine ’s Best Books Fourth Wing Amazon Best Books",Third,true,false,true
2025-08-11,Romance,B0DDKHNVWF,Quicksilver (Fae & Alchemy Book 1),Callie Hart,https://www.amazon.com/stores/author/B00JEI9IYS,Fae & Alchemy,9.99,4.60,172868,30,2024-09-10,Forever,"This #1 New York Times bestseller is a highly addicting enemies-to-lovers Romantasy with razor-sharp banter, heart-stopping action, and blistering hot romance. Do not touch the sword. Do not turn the key. Do not open the gate. Twenty-four-year-old Saeris Fane is good at keeping secrets. No one knows about the strange powers she possesses, or the fact that she has been picking pockets and stealing from the Undying Queen’s reservoirs for as long as she can remember. In the land of the unforgiving desert, there isn’t much a girl wouldn’t do for a glass of water. But a secret is like a knot. Sooner or later, it is bound to come undone. When Saeris comes face-to-face with Death himself, she inadvertently reopens a gateway between realms and is transported to a land of ice and snow. The Fae have always been the stuff of myth, of legend, of nightmares…but it turns out they’re real, and Saeris has landed right in the middle of a centuries-long conflict that might just get her killed. The first of her kind to tread the frozen mountains of Yvelia in over a thousand years, Saeris mistakenly binds herself to Kingfisher, a handsome Fae warrior, who has secrets and nefarious agendas of his own. He will use her Alchemist’s magic to protect his people, no matter what it costs him… or her. Death has a name. It is Kingfisher of the Ajun Gate. His past is murky. His attitude stinks. And he’s the only way Saeris is going to make it home. Be careful of the deals you make, dear child. The devil is in the details... Now with an embossed cover, silver foiling, and an updated interior design. N.B. Quicksilver contains depictions of graphic violence/adult situations and is therefore recommended for readers 17+. For a full list of tropes and TWs, please visit the author's website.",https://m.media-amazon.com/images/I/515bREGJPVL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DDKHNVWF,"[""Magic"",""Military"",""Fae/Elves"",""Enemies to Lovers""]","[""[#1 in Romantic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/13922577011/ref=pd_zg_hrsr_books)\n[#1 in Action & Adventure Romance (Books)](https://www.amazon.com/gp/bestsellers/books/11764651011/ref=pd_zg_hrsr_books)\n[#1 in Action & Adventure Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/11650866011/ref=pd_zg_hrsr_digital-text)""]",graphic violence/adult situations handsome Fae warrior razor-sharp banter Twenty-four-year-old Saeris Fane Undying Queen’s reservoirs her Alchemist’s magic updated interior design author's website centuries-long conflict heart-stopping action over a thousand years #1 New York Times bestseller,Third,true,true,true
2025-08-11,Romance,B0DNXD8YB8,Shield of Sparrows,Devney Perry,https://www.amazon.com/stores/author/B01N9OPRXV,Shield of Sparrows,14.99,4.60,51099,31,2025-05-06,Entangled: Red Tower Books,"Discover the instant #1 New York Times bestseller! Now in development as a feature film with Amazon MGM Studios, with John Wick screenwriter Derek Kolstad attached to write the script. Shield of Sparrows is a slow-burn, high-stakes romantasy perfect for fans of Sarah J. Maas and Rebecca Yarros—where enemies become lovers, monsters stalk a cursed realm, and a forgotten princess finds the strength to tear off her crown and become the warrior she was never meant to be. The gods sent monsters to the five kingdoms to remind mortals they must kneel. I’ve spent my life kneeling—to their will and to my father's. As a princess, my only duty is to wear the crown and obey the king. I was never meant to rule. Never meant to fight. And I was never supposed to be the daughter who sealed an ancient treaty with her own blood. But that changed the fateful day I stepped into my father’s throne room. The day a legendary monster hunter sailed to our shores. The day a prince ruined my life. Now I’m crossing treacherous lands beside a warrior who despises me as much as I despise him—bound to a future I didn’t choose and a husband I barely know. Everyone wants me to be something I’m not—a queen, a spy, a sacrifice. But what if I refused the role chosen for me? What if I made my own rules? What if there’s power in being underestimated? And what if—for the first time—I reached for it?",https://m.media-amazon.com/images/I/51A3ZXM18sL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DNXD8YB8,"[""Slow Burn"",""Military"",""Aristocracy"",""Monsters""]","[""[#3 in Romantic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/13922577011/ref=pd_zg_hrsr_books)\n[#3 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)\n[#3 in Romantasy](https://www.amazon.com/gp/bestsellers/books/7654406011/ref=pd_zg_hrsr_books)""]",legendary monster hunter my father’s throne room instant #1 New York Times bestseller,First,true,true,true
2025-08-11,Romance,B0FK3CLMC8,The Empress (Mafia Empire Book 4),Michelle Heard,https://www.amazon.com/stores/author/B007BBSJR2,Mafia Empire,4.99,4.40,1571,35,2025-08-04,MA Heard,"From USA Today & Wall Street Journal bestselling author Michelle Heard comes a new STANDALONE, full-length MAFIA ROMANCE novel. While visiting family in Italy with my mother, I come face-to-face with Leo Toscano. The head of the Italian mafia, and my worst nightmare. Let’s get one thing straight. I didn’t know the mafia was a thing until the ruthless man threatens to wipe out my family unless I marry him. Not having much of a choice, I reluctantly say ‘I do’, and tie myself to the heartless bastard for life. Turns out he doesn’t want anything to do with me, and I quickly learn the definition of loneliness. But then secrets begin to come to light, and everything I thought I knew about my life turns out to be a lie. Now the big, bad mafia boss is the one begging. How the tables have turned. STANDALONE: A Mafia Romance full-length novel. Each book in the Mafia Empire series is interconnected, but about a different couple who will all find their HEA.",https://m.media-amazon.com/images/I/51DQPZ5fA8L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FK3CLMC8,"[""Organized Crime""]","[""[#1 in Organized Crime Thrillers](https://www.amazon.com/gp/bestsellers/books/9536066011/ref=pd_zg_hrsr_books)\n[#1 in Organized Crime (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7130626011/ref=pd_zg_hrsr_digital-text)\n[#1 in Mafia Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/120220975011/ref=pd_zg_hrsr_digital-text)""]","big, bad mafia boss Mafia Romance full-length novel Mafia Empire series",First,false,false,true
2025-08-11,Romance,B0FGKSZQ7X,Dark Shaman: The Lost Treasure (The Children Of The Gods Paranormal Romance Book 98),I. T. Lucas,https://www.amazon.com/stores/author/B010EXITCS,The Children Of The Gods Paranormal Romance,4.99,4.80,138,36,2025-08-09,"Evening Star Press, LLC.","Eluheed believed he was the only immortal on Earth, carrying the weight of a sacred duty—to protect and recover the sacred treasures buried beneath Mount Ararat. But when a catastrophic mistake lands him in the clutches of a Russian mobster and then sold to a mysterious warlord, Eluheed discovers he's not as alone as he thought.  Now imprisoned on a remote island, forced to serve a ruthless master who is not fully human, Eluheed must use his shamanic skills to survive. In this luxurious cage filled with broken souls, he finds an unexpected ally—a female whose spirit refuses to be crushed. As Eluheed plans his escape, he faces an impossible choice: return to his duty or risk everything for a chance at something he's never had before.",https://m.media-amazon.com/images/I/51m4p-wXOaL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FGKSZQ7X,"[""Organized Crime"",""Mystery"",""Supernatural""]","[""[#1 in Science Fiction Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7654408011/ref=pd_zg_hrsr_books)\n[#1 in Psychic Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401740011/ref=pd_zg_hrsr_digital-text)\n[#1 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)""]",,Third,true,false,true
