ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Science Fiction,B093JHS53T,The School for Good Mothers: A Novel,Jessamine Chan,https://www.amazon.com/stores/author/B092BKD9NX,,1.99,3.80,13633,8,2022-01-04,37 Ink,"Longlisted for the PEN/Hemingway Award for Debut Novel and th e Carnegie Medal for Excellence | Shortlisted for The Center for Fiction First Novel Prize | Selected as One of Barack Obama’s Favorite Books of the Year! In this New?York?Times bestseller and Today show Read with Jenna Book Club Pick, one lapse in judgment lands a young mother in a dystopian government reform program where custody of her child hangs in the balance, in this “surreal” (People), “remarkable” (Vogue), and “infuriatingly timely” (The New York Times Book Review) debut literary fiction novel. Frida Liu, a hardworking Chinese American mother, is pushed to the edge. She doesn’t live up to the expectations set by her immigrant parents or her wellness-obsessed husband. Only with Harriet—cherubic and beloved—does she find a measure of fulfillment…until she has a very bad day. In this close-to-future dystopia, the state targets mothers like Frida: mothers who check their phones, let their children walk home alone, or make one parenting error. Because of one mistake, Frida is sent to a government-run institution—a Big Brother–style reform school for “good mothers,” where every move is monitored, and even her love is judged. For custody to be returned, she must prove that a flawed mother can be redeemed and learn to be “good.” Filled with dark wit and emotional urgency, The School for Good Mothers is an intense, captivating novel that scrutinizes upper-middle-class parenting, systemic surveillance of women, and the violence exacted by both the state and one another. It offers a transgressive exploration of motherhood, resilience, guilt, and the force of love. Using spare, compelling prose, Jessamine Chan crafts an unforgettable, modern classic that resonates with readers of The Handmaid’s Tale and 1984, while centering a richly drawn woman navigating class, race, and motherhood under the gaze of an unyielding system.",https://m.media-amazon.com/images/I/41in6Nwm5+L._SY445_SX342_.jpg,https://www.amazon.com/dp/B093JHS53T,"[""Dystopian"",""Crafts"",""School/Academy""]","[""[#1 in Dystopian Fiction (Books)](https://www.amazon.com/gp/bestsellers/books/3559311011/ref=pd_zg_hrsr_books)\n[#1 in Women's Literary Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588891011/ref=pd_zg_hrsr_digital-text)\n[#1 in Dystopian Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361470011/ref=pd_zg_hrsr_digital-text)""]","Barack Obama’s Favorite Books th e Carnegie Medal Handmaid’s Tale hardworking Chinese American mother dystopian government reform program New York Times Book Review upper-middle-class parenting Jenna Book Club Pick unforgettable, modern classic close-to-future dystopia her wellness-obsessed husband government-run institution spare, compelling prose very bad day intense, captivating novel Fiction First Novel Prize Big Brother–style reform school richly drawn woman navigating class PEN/Hemingway Award",Third,false,false,true
2025-08-11,Science Fiction,B08FHBV4ZX,Project Hail Mary: A Novel,Andy Weir,https://www.amazon.com/stores/author/B00G0WYW92,,12.99,4.70,160080,53,2021-05-04,Ballantine Books,"THE #1 NEW YORK TIMES BESTSELLER FROM THE AUTHOR OF THE MARTIAN • Soon to be a major motion picture starring Ryan Gosling, directed by Phil Lord and Christopher Miller, with a screenplay by Drew Goddard From the author of The Martian, a lone astronaut must save the earth from disaster in this “propulsive” (Entertainment Weekly), cinematic thriller full of suspense, humor, and fascinating science. HUGO AWARD FINALIST • ONE OF THE YEAR’S BEST BOOKS: Bill Gates, GatesNotes, New York Public Library, Parade, Newsweek, Polygon, Shelf Awareness, She Reads, Kirkus Reviews, Library Journal • New York Times Readers Pick: 100 Best Books of the 21st Century “An epic story of redemption, discovery and cool speculative sci-fi.”— USA Today “If you loved The Martian, you’ll go crazy for Weir’s latest.”— The Washington Post Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish. Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company. His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species. And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone. Or does he? An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian —while taking us to places it never dreamed of going.",https://m.media-amazon.com/images/I/51l-5bsaTlL._SY445_SX342_.jpg,https://www.amazon.com/dp/B08FHBV4ZX,"[""Suspense"",""Comedy"",""Mystery"",""Thriller""]","[""[#1 in Hard Science Fiction (Books)](https://www.amazon.com/gp/bestsellers/books/16286/ref=pd_zg_hrsr_books)\n[#1 in Science Fiction Adventures](https://www.amazon.com/gp/bestsellers/books/16273/ref=pd_zg_hrsr_books)\n[#1 in Hard Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158595011/ref=pd_zg_hrsr_digital-text)""]","21st Century Ryland Grace #1 NEW YORK TIMES BESTSELLER extinction-level threat New York Public Library major motion picture impossible scientific mystery desperate, last-chance mission YEAR’S BEST BOOKS very, very long time",Third,false,false,true
2025-08-11,Science Fiction,B0CVLFJMV2,Blood Over Bright Haven: A Novel,M. L. Wang,https://www.amazon.com/stores/author/B01KWMY6X2,,12.99,4.50,7363,86,2023-07-25,Del Rey,"The first woman ever admitted to a prestigious order of mages unravels a secret conspiracy that could change the practice of magic forever, in this standalone dark fantasy from the author of The Sword of Kaigen. “Powerful, thought-provoking. . . . Fans of R.F. Kuang’s Babel will find much to admire here, from the intricate magic system to the unflinching exploration of societal issues.” —Booklist AN ELLE BEST BOOK OF THE YEAR For twenty years, Sciona has devoted every waking moment to the study of magic, fueled by a mad desire to achieve the impossible: to be the first woman ever admitted to the High Magistry at the University of Magics and Industry. When Sciona finally passes the qualifying exam and becomes a highmage, she finds her challenges have just begun. Her new colleagues are determined to make her feel unwelcome—and, instead of a qualified lab assistant, they give her a janitor. What neither Sciona nor her peers realize is that her taciturn assistant was not always a janitor. Ten years ago, he was a nomadic hunter who lost his family on their perilous journey from the wild plains to the city. But now he sees the opportunity to understand the forces that decimated his tribe, drove him from his homeland, and keep the privileged in power. At first, mage and outsider have a fractious relationship. But working together, they uncover an ancient secret that could change the course of magic forever—if it doesn’t get them killed first.",https://m.media-amazon.com/images/I/51LBeDUIQhL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CVLFJMV2,"[""Magic"",""Fantasy"",""College"",""Supernatural"",""Dark Fantasy""]","[""[#1 in Steampunk Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361472011/ref=pd_zg_hrsr_digital-text)\n[#1 in Gaslamp Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16926920011/ref=pd_zg_hrsr_books)\n[#2 in Dystopian Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361470011/ref=pd_zg_hrsr_digital-text)""]",ELLE BEST BOOK standalone dark fantasy qualified lab assistant,Third,true,false,true
2025-08-11,Science Fiction,B00CVS2J80,Red Rising (Red Rising Series Book 1),Pierce Brown,https://www.amazon.com/stores/author/B00EDBZVNI,Red Rising,5.99,4.60,78203,142,2014-01-28,Del Rey,"NEW YORK TIMES BESTSELLER • Pierce Brown’s relentlessly entertaining debut channels the excitement of The Hunger Games by Suzanne Collins and Ender’s Game by Orson Scott Card. “ Red Rising ascends above a crowded dys­topian field.” —USA Today ONE OF THE BEST BOOKS OF THE YEAR— Entertainment Weekly, BuzzFeed, Shelf Awareness “I live for the dream that my children will be born free,” she says. “That they will be what they like. That they will own the land their father gave them.” “I live for you,” I say sadly. Eo kisses my cheek. “Then you must live for more.” Darrow is a Red, a member of the lowest caste in the color-coded society of the future. Like his fellow Reds, he works all day, believing that he and his people are making the surface of Mars livable for future generations. Yet he toils willingly, trusting that his blood and sweat will one day result in a better world for his children. But Darrow and his kind have been betrayed. Soon he discovers that humanity reached the surface generations ago. Vast cities and lush wilds spread across the planet. Darrow—and Reds like him—are nothing more than slaves to a decadent ruling class. Inspired by a longing for justice, and driven by the memory of lost love, Darrow sacrifices everything to infiltrate the legendary Institute, a proving ground for the dominant Gold caste, where the next generation of humanity’s overlords struggle for power. He will be forced to compete for his life and the very future of civilization against the best and most brutal of Society’s ruling class. There, he will stop at nothing to bring down his enemies . . . even if it means he has to become one of them to do so. Praise for Red Rising “[A] spectacular adventure . . . one heart-pounding ride . . . Pierce Brown’s dizzyingly good debut novel evokes The Hunger Games, Lord of the Flies, and Ender’s Game. . . . [ Red Rising ] has everything it needs to become meteoric.” — Entertainment Weekly “Ender, Katniss, and now Darrow.” —Scott Sigler “ Red Rising is a sophisticated vision. . . . Brown will find a devoted audience.” — Richmond Times-Dispatch Don’t miss any of Pierce Brown’s Red Rising Saga: RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE • LIGHT BRINGER",https://m.media-amazon.com/images/I/51D77-p9JJL._SY445_SX342_.jpg,https://www.amazon.com/dp/B00CVS2J80,,"[""[#1 in War & Military Action Fiction (Books)](https://www.amazon.com/gp/bestsellers/books/10159275011/ref=pd_zg_hrsr_books)\n[#1 in Fantasy Adventure Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588728011/ref=pd_zg_hrsr_digital-text)\n[#2 in Science Fiction Adventures](https://www.amazon.com/gp/bestsellers/books/16273/ref=pd_zg_hrsr_books)""]",Shelf Awareness Eo Pierce Brown’s Red Rising Saga Society’s ruling class dominant Gold caste NEW YORK TIMES BESTSELLER • Pierce Brown’s relentlessly entertaining debut channels color-coded society humanity’s overlords struggle Suzanne Collins and Ender’s Game decadent ruling class,Third,false,false,true
2025-08-11,Science Fiction,B000SEIK2S,Old Man's War,John Scalzi,https://www.amazon.com/stores/author/B001IGJOCA,Old Man's War,1.99,4.50,29190,277,2007-04-01,Tor Books,"Perfect for an entry-level sci-fi reader and the ideal addition to a veteran fan’s collection, John Scalzi's Old Man’s War will take audiences on a heart-stopping adventure into the far corners of the universe. John Perry did two things on his 75th birthday. First he visited his wife's grave. Then he joined the army. The good news is that humanity finally made it into interstellar space. The bad news is that planets fit to live on are scarce-and aliens willing to fight for them are common. The universe, it turns out, is a hostile place. So: we fight. To defend Earth (a target for our new enemies, should we let them get close enough) and to stake our own claim to planetary real estate. Far from Earth, the war has gone on for decades: brutal, bloody, unyielding. Earth itself is a backwater. The bulk of humanity's resources are in the hands of the Colonial Defense Force, which shields the home planet from too much knowledge of the situation. What's known to everybody is that when you reach retirement age, you can join the CDF. They don't want young people; they want people who carry the knowledge and skills of decades of living. You'll be taken off Earth and never allowed to return. You'll serve your time at the front. And if you survive, you'll be given a generous homestead stake of your own, on one of our hard-won colony planets. John Perry is taking that deal. He has only the vaguest idea what to expect. Because the actual fight, light-years from home, is far, far harder than he can imagine-and what he will become is far stranger. Old Man's War Series #1 Old Man’s War #2 The Ghost Brigades #3 The Last Colony #4 Zoe’s Tale #5 The Human Division #6 The End of All Things Short fiction: “After the Coup” Other Tor Books The Android’s Dream Agent to the Stars Your Hate Mail Will Be Graded Fuzzy Nation Redshirts Lock In The Collapsing Empire At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",https://m.media-amazon.com/images/I/41vOk+P4CNL._SY445_SX342_.jpg,https://www.amazon.com/dp/B000SEIK2S,"[""Alien"",""Military""]","[""[#1 in Space Exploration Science Fiction eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809443011/ref=pd_zg_hrsr_digital-text)\n[#1 in Space Marine Science Fiction](https://www.amazon.com/gp/bestsellers/books/10387339011/ref=pd_zg_hrsr_books)\n[#1 in Space Opera Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6157858011/ref=pd_zg_hrsr_digital-text)""]",veteran fan’s collection his wife's grave heart-stopping adventure our hard-won colony planets only the vaguest idea 4 Zoe’s Tale #5 The Human Division John Scalzi's Old Man’s War Things Short fiction Digital Rights Management Software Coup” Other Tor Books The Android’s Dream Agent entry-level sci-fi reader Colonial Defense Force generous homestead stake Publisher's request Will Be Graded Fuzzy Nation Redshirts Lock,Third,false,false,true
2025-08-11,Science Fiction,B000FA66TE,Contest,Matthew Reilly,https://www.amazon.com/stores/author/B001IGJXU8,,0.99,4.40,1138,352,2024-07-02,Thomas Dunne Books,"The New York Public Library is transformed into a deadly labyrinth in the New York Times –bestselling author's debut thriller. New York's iconic library is a silent sanctuary of knowledge; a hundred-year-old edifice of towering bookcases, narrow aisles and long marble hallways. For Doctor Stephen Swain and his eight-year-old daughter, Holly, it is the site of a nightmare. Because for one night this historic building is to be the venue for a contest. A contest in which Swain is to compete—whether he likes it or not. The rules are simple: Seven contestants will enter, only one will leave. With his daughter in his arms, Stephen Swain is plunged into a terrifying fight for survival. The stakes are high, the odds brutal. He can choose to run, to hide or to fight—but if he wants to live, he has to win.",https://m.media-amazon.com/images/I/51ARjJHtmQL._SY445_SX342_.jpg,https://www.amazon.com/dp/B000FA66TE,"[""Doctor"",""Thriller""]","[""[#3 in Mystery Action Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7588733011/ref=pd_zg_hrsr_digital-text)\n[#4 in Science Fiction Adventure](https://www.amazon.com/gp/bestsellers/digital-text/158592011/ref=pd_zg_hrsr_digital-text)\n[#5 in Action Thriller Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588735011/ref=pd_zg_hrsr_digital-text)""]",New York Times New York's iconic library New York Public Library author's debut thriller his eight-year-old daughter hundred-year-old edifice,Third,false,false,true
2025-08-11,Science Fiction,B0C1R52V2J,The Eye of the Bedlam Bride: Dungeon Crawler Carl Book 6,Matt Dinniman,https://www.amazon.com/stores/author/B002BLP1QY,Dungeon Crawler Carl,5.99,4.80,18984,392,2023-07-02,Dandy House,"A pantheon of forgotten gods. An old grudge between a talk show host, an heiress, and the man they shattered along the way. A rapidly deteriorating AI system. An inconvenient tiara upon the head of a friend.  It is bedlam on the eighth floor.  As management reels from the unexpected conclusion of the seventh level, the surviving crawlers stumble onto the eighth and find themselves scattered. It’s a map based on Earth’s final days before the collapse, where ethereal, intangible ghosts of humanity go about their lives, oblivious of the impending doom. Living amongst these ghosts are monsters based in Earth lore. “Legendary” creatures tied to the geographical location they inhabit.  Each team of crawlers is given a task: find and capture six of these beasts. The captured monsters will be turned into cards. Cards that can be summoned into battle again and again. The stronger, the deadlier, the better.  At the end of the floor, the bad guys will also have decks, and they will have some of the most powerful cards available. So it’s crucial to assemble the toughest squad possible.  But, like always, there is a catch. There’s always a catch.  As Carl and Donut know all too well, just because someone is captured, it doesn’t mean they have been tamed.  Her name is Shi Maria. She’s easily the most powerful monster in their area. If they want to survive, they must capture her. But she is no ordinary beast. She’s intelligent. She was once married to a god, a god who is now missing. Her special attack is known to drive one insane. They call her the Bedlam Bride.  “Beware, beware. Beware the Eye of the Bedlam Bride”",https://m.media-amazon.com/images/I/51J4VWwlmvL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0C1R52V2J,"[""Monsters"",""Ghosts""]","[""[#1 in Alien Invasion Science Fiction](https://www.amazon.com/gp/bestsellers/books/9059886011/ref=pd_zg_hrsr_books)\n[#2 in Humorous Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/11764648011/ref=pd_zg_hrsr_books)\n[#3 in GameLit & LitRPG Fiction eBooks](https://www.amazon.com/gp/bestsellers/digital-text/99546054011/ref=pd_zg_hrsr_digital-text)""]","Earth’s final days most powerful cards Legendary” creatures ethereal, intangible ghosts rapidly deteriorating AI system most powerful monster talk show host",Third,true,false,true
2025-08-11,Science Fiction,B00I765ZEU,Golden Son (Red Rising Book 2),Pierce Brown,https://www.amazon.com/stores/author/B00EDBZVNI,Red Rising,9.99,4.70,55147,413,2015-01-06,Del Rey,"NEW YORK TIMES BESTSELLER • Red Rising hit the ground running and wasted no time becoming a sensation. Golden Son continues the stunning saga of Darrow, a rebel forged by tragedy, battling to lead his oppressed people to freedom. NAMED ONE OF THE BEST BOOKS OF THE YEAR BY NPR, BUZZFEED, AND BOOKLIST • “Gripping . . . On virtually every level, this is a sequel that hates sequels—a perfect fit for a hero who already defies the tropes. [Grade:] A”— Entertainment Weekly As a Red, Darrow grew up working the mines deep beneath the surface of Mars, enduring backbreaking labor while dreaming of the better future he was building for his descendants. But the Society he faithfully served was built on lies. Darrow’s kind have been betrayed and denied by their elitist masters, the Golds—and their only path to liberation is revolution. And so Darrow sacrifices himself in the name of the greater good for which Eo, his true love and inspiration, laid down her own life. He becomes a Gold, infiltrating their privileged realm so that he can destroy it from within. A lamb among wolves in a cruel world, Darrow finds friendship, respect, and even love—but also the wrath of powerful rivals. To wage and win the war that will change humankind’s destiny, Darrow must confront the treachery arrayed against him, overcome his all-too-human desire for retribution—and strive not for violent revolt but a hopeful rebirth. Though the road ahead is fraught with danger and deceit, Darrow must choose to follow Eo’s principles of love and justice to free his people. He must live for more. Praise for Golden Son “Stirring . . . Comparisons to The Hunger Games and Game of Thrones series are inevitable, for this tale has elements of both.” —Kirkus Reviews “Brown writes layered, flawed characters . . . but plot is his most breathtaking strength. . . . Every action seems to flow into the next.” —NPR Don’t miss any of Pierce Brown’s Red Rising Saga: RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE • LIGHT BRINGER",https://m.media-amazon.com/images/I/51iGvbVBQfL._SY445_SX342_.jpg,https://www.amazon.com/dp/B00I765ZEU,"[""Friendship"",""Aristocracy""]","[""[#1 in Post-Apocalyptic Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361471011/ref=pd_zg_hrsr_digital-text)\n[#2 in War & Military Action Fiction (Books)](https://www.amazon.com/gp/bestsellers/books/10159275011/ref=pd_zg_hrsr_books)\n[#3 in Science Fiction Adventures](https://www.amazon.com/gp/bestsellers/books/16273/ref=pd_zg_hrsr_books)""]",NEW YORK TIMES BESTSELLER Pierce Brown’s Red Rising Saga BOOKLIST • “Gripping his all-too-human desire [Grade:] A,Third,false,false,true
2025-08-11,Science Fiction,B000FC1PWA,Foundation,Isaac Asimov,https://www.amazon.com/stores/author/B003RY2ISS,Foundation,7.99,4.40,34443,424,2004-06-01,Spectra,"The first novel in Isaac Asimov’s classic science-fiction masterpiece, the Foundation series THE EPIC SAGA THAT INSPIRED THE APPLE TV+ SERIES FOUNDATION • Nominated as one of America’s best-loved novels by PBS’s The Great American Read For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future—to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save humankind, Seldon gathers the best minds in the Empire—both scientists and scholars—and brings them to a bleak planet at the edge of the galaxy to serve as a beacon of hope for future generations. He calls his sanctuary the Foundation. The Foundation novels of Isaac Asimov are among the most influential in the history of science fiction, celebrated for their unique blend of breathtaking action, daring ideas, and extensive worldbuilding. In Foundation, Asimov has written a timely and timeless novel of the best—and worst—that lies in humanity, and the power of even a few courageous souls to shine a light in a universe of darkness.",https://m.media-amazon.com/images/I/41sIWKtP-4L._SY445_SX342_.jpg,https://www.amazon.com/dp/B000FC1PWA,,"[""[#1 in Classic Science Fiction eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809435011/ref=pd_zg_hrsr_digital-text)\n[#2 in Space Opera Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6157858011/ref=pd_zg_hrsr_digital-text)\n[#2 in Hard Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158595011/ref=pd_zg_hrsr_digital-text)""]",America’s best-loved novels Isaac Asimov’s classic science-fiction masterpiece Great American Read timely and timeless novel APPLE TV+ SERIES even a few courageous souls,Third,false,false,true
2025-08-11,Science Fiction,B0F7GTJG72,Dispute: Welcome to the Multiverse,Sean Oswald,https://www.amazon.com/stores/author/B082P3914C,Welcome to the Multiverse,6.99,4.80,432,447,2025-08-04,,"ULTIMATE POWER WILL BE SOLD TO THE HIGHEST BIDDER Silas has a lot on his plate. Not only does he have to juggle the affections of three peak family suitors, but he has to prepare for the evacuation of Galen, before the unspeakable evil from his vision strikes. To do this, he's going to need some help from his friends, and a few hot ticket items at the multiverse's biggest auction, where only the most powerful even get a seat at the table. But there's a fourth peak family vying for his attentions, and if they can't have him, nobody will. The auction holds the key to Galen's salvation, but if he's not careful, certain items up for bid could mean the end of Silas, the Earth, and everyone he holds dear.",https://m.media-amazon.com/images/I/51EOPv48DML._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F7GTJG72,,"[""[#1 in Coming of Age Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809425011/ref=pd_zg_hrsr_digital-text)\n[#1 in Coming of Age Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/10387328011/ref=pd_zg_hrsr_books)\n[#2 in Post-Apocalyptic Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361471011/ref=pd_zg_hrsr_digital-text)""]",multiverse's biggest auction few hot ticket items fourth peak family three peak family suitors,Third,false,false,true
