ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Science Fiction Romance,B0FGKSZQ7X,Dark Shaman: The Lost Treasure (The Children Of The Gods Paranormal Romance Book 98),I. T. Lucas,https://www.amazon.com/stores/author/B010EXITCS,The Children Of The Gods Paranormal Romance,4.99,4.80,139,36,2025-08-09,"Evening Star Press, LLC.","Eluheed believed he was the only immortal on Earth, carrying the weight of a sacred duty—to protect and recover the sacred treasures buried beneath Mount Ararat. But when a catastrophic mistake lands him in the clutches of a Russian mobster and then sold to a mysterious warlord, Eluheed discovers he's not as alone as he thought.  Now imprisoned on a remote island, forced to serve a ruthless master who is not fully human, Eluheed must use his shamanic skills to survive. In this luxurious cage filled with broken souls, he finds an unexpected ally—a female whose spirit refuses to be crushed. As Eluheed plans his escape, he faces an impossible choice: return to his duty or risk everything for a chance at something he's never had before.",https://m.media-amazon.com/images/I/51m4p-wXOaL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FGKSZQ7X,"[""Organized Crime"",""Mystery"",""Supernatural""]","[""[#1 in Paranormal Vampire Romance](https://www.amazon.com/gp/bestsellers/digital-text/6190488011/ref=pd_zg_hrsr_digital-text)\n[#1 in Vampire Romances](https://www.amazon.com/gp/bestsellers/books/16399311/ref=pd_zg_hrsr_books)\n[#1 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)""]",,Third,true,false,true
2025-08-11,Science Fiction Romance,B0FKHGRWNZ,Night's Fall (The Four Realms Book 1),Kristen Ashley,https://www.amazon.com/stores/author/B002D68GBY,The Four Realms,5.99,4.70,585,400,2025-07-29,Rock Chick Press,"The Four Realms are experiencing an unprecedented period of peacе... At thirteen years old, it became known Prince Aleksei Knightstar of Night's Fall was the True Heir. The next king, the fiercest warrior, the mightiest beast in all the realm. The Fall rejoiced at having the first True Heir in over a century. But Aleksei is private, no nonsense, and worried about why The Fall, in a time of peace, would need a True Heir. Laura Makepeace is a talented costume designer and everywoman who's recovering from a recent random and traumatic attack where she lost something vital. She barely has it in her to put on a pretty frock and go drinking with her girlfriends. She certainly isn't prepared to be summoned to the True Heir's table in the VIP section of a club. The prince is not a male easily put off, not to mention, like every other female in the Four Realms, Laura has been crushing on him since she first saw him. Thus, Laura finds herself suddenly being courted by Prince Aleksei and thrown into a whirl of public and press attention, royal family dysfunction... And a plot that threatens lives and the peace of the Four Realms.",https://m.media-amazon.com/images/I/41YMOqPN+qL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FKHGRWNZ,"[""Military"",""Aristocracy"",""Lesbian""]","[""[#2 in Science Fiction Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7654408011/ref=pd_zg_hrsr_books)\n[#2 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)\n[#4 in Alpha Male Romance](https://www.amazon.com/gp/bestsellers/books/120214351011/ref=pd_zg_hrsr_books)""]",known Prince Aleksei Knightstar public and press attention talented costume designer True Heir's table recent random and traumatic attack first True Heir,Third,false,true,true
2025-08-11,Science Fiction Romance,B0FCZTLRWS,Marked by the Scarred Orc,Michele Mills,https://www.amazon.com/stores/author/B01BCPMRFW,Heat & Ink (9 books),2.99,4.50,326,461,2025-08-05,,"My fierce older sister, Mia Irontree, recently married an orc firefighter and my life is now wall-to-wall orcs. It’s cray. I think orcs are perfectly fine…but marrying one seems a bit much. In ancient times, orcs used to kidnap women off the street and fill them with their orc sons. Ugh. No thank you. Mia’s husband is a great guy, but he’s basically the only orc I trust. One night, though, after a few too many happy hour shots and a full-on bar crawl, I stumble into an orc tattoo shop called Heat & Ink. Wherein a scarred, shirtless orc named Harken Overlord pulls me onto his chair. At first, I strangely enjoy the possessive touch of his big, rough hands. Then I scream when a hot branding iron lands on my... He licks my skin to take the hurt away. What the heck? The tiny tattoo of a cat I asked for is now Harken’s mark? I gasp with horror and blast him with all the salty language I can muster. As I slam out the front door of the shop, Harken thunders behind me, “You’ll be back, female, because you’re mine.” Uh huh. We’ll see. This orc has no idea what he’s unleashed. Welcome to Heat & Ink where hot possessive tattoo artists leave their mark in more ways than one. The Heat & Ink series mixes Contemporary, Sci Fi Romance, and Paranormal in three standalone stories by best-selling STEAMY authors, Hope Ford, Michele Mills, and Olivia T. Turner.  Read the whole series!  Marked by the Possessive Biker by Hope Ford  Marked by the Wild Orc by Michele Mills  Marked by the Grouchy Grizzly by Olivia T. Turner  Marked by the Possessive Polar Bear by Olivia T. Turner  Marked by the Protective Biker by Hope Ford  Marked by the Scarred Orc by Michele Mills  Marked by the Broken Orc by Michele Mills  Marked by the Filthy-Mouthed Grizzly by Olivia T. Turner  Marked by the Obsessed Biker by Hope Ford",https://m.media-amazon.com/images/I/5160gNSn2qL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FCZTLRWS,"[""Animals"",""Contemporary"",""Steamy"",""Horror"",""Supernatural"",""Firefighter"",""Biker""]","[""[#3 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)\n[#5 in Science Fiction Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7654408011/ref=pd_zg_hrsr_books)\n[#27 in Paranormal Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6190484011/ref=pd_zg_hrsr_digital-text)""]","orc tattoo shop full-on bar crawl few too many happy hour shots only orc I trust Olivia T. Turner Marked My fierce older sister Filthy-Mouthed Grizzly his big, rough hands best-selling STEAMY authors the salty language Heat & Ink series hot possessive tattoo artists Michele Mills Marked Possessive Polar Bear Hope Ford Marked",First,true,true,true
2025-08-11,Science Fiction Romance,B00UB6OO2I,Ice Planet Barbarians,Ruby Dixon,https://www.amazon.com/stores/author/B00PJ7HCDM,Ice Planet Barbarians,3.99,4.20,46181,489,2015-04-03,Ruby Dixon,"You'd think being abducted by aliens would be the worst thing that could happen to me. And you'd be wrong. Because now, the aliens are having ship trouble, and they've left their cargo of human women - including me - on an ice planet. And the only native inhabitant I've met? He's big, horned, blue, and really, really has a thing for me...",https://m.media-amazon.com/images/I/51PmhLCNAPL._SY445_SX342_.jpg,https://www.amazon.com/dp/B00UB6OO2I,"[""Alien""]","[""[#1 in Colonization Science Fiction](https://www.amazon.com/gp/bestsellers/books/10387335011/ref=pd_zg_hrsr_books)\n[#1 in Colonization Science Fiction eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809436011/ref=pd_zg_hrsr_digital-text)\n[#1 in First Contact Science Fiction eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809437011/ref=pd_zg_hrsr_digital-text)""]",the only native inhabitant,First,false,false,true
2025-08-11,Science Fiction Romance,B07PYDHJK2,Captive of the Horde King (Horde Kings of Dakkar Book 1),Zoey Draven,https://www.amazon.com/stores/author/B06X6HSVD7,Horde Kings of Dakkar,0.99,4.40,13416,512,2019-03-26,Amazon Digital Services,"She made a deal with the Dakkari devil. Now, he owns her. On the unforgiving planet of Dakkar, I did what all the humans in our village did: kept my head down, worked to provide for my family, and I certainly didn’t break any Dakkari laws to risk inciting the alien race’s merciless wrath. Unfortunately, the same couldn’t be said for my brother and one careless mistake brings a horde of the nomadic, barbarian Dakkari straight to our doorstep, led by their powerful horde king—a cold, ruthless, battle-scarred warrior demanding retribution. In order to save my brother’s life, I do the unthinkable. I sell myself to the horde king as his war prize. I agree to warm his furs, to travel with his horde across the wild lands of Dakkar, and to never see my family again. But as I struggle with my new reality, I discover that the surly, mysterious, dominant horde king never intended for me to be his concubine… He wants me as his queen.",https://m.media-amazon.com/images/I/51hRV0WGPpL._SY445_SX342_.jpg,https://www.amazon.com/dp/B07PYDHJK2,"[""Military"",""Alien"",""Mystery""]","[""[#5 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)\n[#6 in Science Fiction Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7654408011/ref=pd_zg_hrsr_books)\n[#17 in Enemies to Lovers Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/120220977011/ref=pd_zg_hrsr_digital-text)""]","nomadic, barbarian Dakkari cold, ruthless, battle-scarred warrior demanding retribution my brother’s life surly, mysterious, dominant horde king their powerful horde king alien race’s merciless wrath",First,false,false,true
2025-08-11,Science Fiction Romance,B0FGDD7248,Yasmin and the Yeti: A SciFi Alien Romance (Alien Abduction Book 25),Honey Phillips,https://www.amazon.com/stores/author/B07HP8TWCT,Alien Abduction,4.99,4.60,213,546,2025-08-07,,"Abducted by aliens. Shipwrecked on an ice planet. Rescued by a mythical monster! Yasmin’s life shatters when she’s abducted by alien slavers and dragged across the stars. Escape seems impossible – until an explosion throws the ship into chaos and she flees into a frozen wilderness. But the ice planet is just as deadly as her captors, and when her strength finally fails, she’s certain death has come for her.  Instead, she wakes in a warm cave wrapped in thick furs… and in the arms of a massive, white-furred alien who looks like every yeti myth come to life.  Rhaal has no use for offworlders. The huge Hothian warrior prefers his solitary life among the frozen peaks. But when he discovers a tiny, half-dead female in the snow, every protective instinct he thought long buried roars back to life.  She’s soft, fragile, and stubbornly brave. He’s gruff, scarred, and terrifyingly strong. Forced to share warmth and shelter, their attraction ignites a fire neither of them can deny.  But there are worse dangers on Hothrest than the cold, and soon Rhaal must choose between the lonely existence he’s always known or risking everything for the one female he can’t let go. Because she’s no longer just a rescued female.  She’s his mate. Each book in the Alien Abduction series features a different couple and can be enjoyed as a standalone romance. Intended for mature readers.",https://m.media-amazon.com/images/I/51s2xNLTTGL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FGDD7248,"[""Military"",""Alien""]","[""[#1 in Galactic Empire Science Fiction eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809438011/ref=pd_zg_hrsr_digital-text)\n[#1 in Galactic Empire Science Fiction](https://www.amazon.com/gp/bestsellers/books/10387337011/ref=pd_zg_hrsr_books)\n[#2 in First Contact Science Fiction eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809437011/ref=pd_zg_hrsr_digital-text)""]","Alien Abduction series just a rescued female tiny, half-dead female huge Hothian warrior massive, white-furred alien",Third,false,false,true
2025-08-11,Science Fiction Romance,B0F6M7FQ7Y,Rescued by the Alien Bull Rider (Cowboy Colony Mail-Order Brides Book 6),Ursa Dax,https://www.amazon.com/stores/author/B09BMH8BKJ,Cowboy Colony Mail-Order Brides,5.99,4.60,1168,671,2025-07-30,Peace Weaver Press Inc.,"A grumpy alien cowboy, a pregnant human woman, and the power of finding family in the most unexpected of places…  When I lose my home and my horse all in the same afternoon, I’m forced to take painful stock of my situation. I’m twenty-three years old. Single. And pregnant. I’ve always been the glass-half-full sort of gal, but things are looking truly dire as I stare down my rapidly approaching due date. That’s when I hear about Zabria Prinar One. A ranching outpost planet where a bunch of lonely alien cowboys are waiting for brides. I grew up on a ranch – surely I have enough to offer that one of them will want me. Even if my own family doesn’t. So I book a shuttle and go. But my pilot abandons me in a random field, leaving me to face down the intimidating elements alone. Including one very angry alien bull about to charge. Just before I get gored, a powerful rider with white eyes comes thundering out of the darkness to save me. His name is Zohro. He’s beautiful and pink – the colour of all my favourite things. He is also possibly the grumpiest and most impatient male I have ever met. But I don’t care. There’s a protective streak in him that makes me feel so safe, no matter how fierce his frowns are. Within moments of meeting him, I know that he’s the one I want to marry. I just have to tell him that I’m pregnant with another man’s child first…",https://m.media-amazon.com/images/I/41v4dKFrA5L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F6M7FQ7Y,"[""Pregnancy"",""Alien"",""Cowboy"",""Animals""]","[""[#7 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)\n[#8 in Science Fiction Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7654408011/ref=pd_zg_hrsr_books)\n[#15 in Western & Frontier Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6190489011/ref=pd_zg_hrsr_digital-text)""]",man’s child grumpiest and most impatient male one very angry alien bull all my favourite things pregnant human woman my rapidly approaching due date glass-half-full sort ranching outpost planet grumpy alien cowboy,First,false,true,true
2025-08-11,Science Fiction Romance,B0DCFSW2X5,Silver Elite,Dani Francis,https://www.amazon.com/stores/author/B0DJDSLYHS,Silver Elite,9.99,4.40,14064,771,2025-05-06,Del Rey,"In the first book of a sizzling dystopian romance series, psychic gifts are a death sentence and there are rules to survival: Trust no one. Lie to everyone. And whatever you do, don’t fall for your greatest enemy. TRUST NO ONE. Wren Darlington has spent her whole life in hiding, honing her psychic abilities and aiding the rebel Uprising in small ways. On the Continent, being Modified means certain death—and Wren is one of the most powerful Mods in existence. When one careless mistake places her in the hands of the enemy and she’s forced to join their most elite training program, she’s finally handed the perfect opportunity to strike a devastating blow from inside their ranks. LIE TO EVERYONE. But training for Silver Block can be deadly, especially when you’re harboring dangerous secrets and living in close quarters with everyone who wants you dead. AND WHATEVER YOU DO, DON’T FALL FOR YOUR GREATEST ENEMY. As the stakes grow ever higher, Wren must prove herself to Silver Block. But that’s easier said than done when your commanding officer is the ruthless and infuriatingly irresistible Cross Redden, who doesn’t miss anything when it comes to her. And as war rages between Mods like her and those who aim to destroy them, Wren must decide just how far she’s willing to go to protect herself . . . and how much of the Continent is worth saving.",https://m.media-amazon.com/images/I/51z-iwD-CzL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DCFSW2X5,"[""Dystopian"",""Psychic""]","[""[#3 in Science Fiction Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7654408011/ref=pd_zg_hrsr_books)\n[#6 in Dystopian Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361470011/ref=pd_zg_hrsr_digital-text)\n[#8 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)""]",most powerful Mods sizzling dystopian romance series their most elite training program ruthless and infuriatingly irresistible Cross Redden,Third,true,false,true
2025-08-11,Science Fiction Romance,B0FL158M6F,Alien Mercenary’s Wife (Lathar Mercenaries: Warborne Book 7),Mina Carter,https://www.amazon.com/stores/author/B002BOH5R4,Warborne,4.99,,,772,2025-09-30,,"She was their loose end. Now she's their worst nightmare.  Former tank commander Reese Payne is living on borrowed time. Her neural implants are killing her slowly while she’s forced to dodge corporate assassins sent to bury the evidence.  When they finally track her down, she's ready for a fight—what she’s not ready for is the seven-foot alien who rips through her attackers like they're made of tissue paper. T'Raal is huge, dangerous, and trusting him is probably the dumbest move she's ever made. But when his touch quiets the chaos in her head and he looks at her like she's worth dying for, she has to figure out what scares her more… dying alone, or letting this handsome stranger become everything she never knew she needed.  His secret could shatter an empire. Her survival depends on it.  T'Raal has his life figured out: keep the crew breathing, stay off the radar, and don't let anyone get close enough to complicate things. Simple... until he pulls one stubborn human woman from an ambush and she turns his whole world upside down. She fights like hell, trusts him when she shouldn't, and makes him want things he gave up hoping for years ago.  Problem is, keeping her alive means claiming the birthright he's spent his life running from. But watching her die isn't an option—even if saving her means claiming the destiny he swore he'd never face.  In a galaxy that wants them dead, the greatest battle will be for each other.",https://m.media-amazon.com/images/I/41cTTI-MmjL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FL158M6F,"[""Military"",""Pregnancy"",""Alien""]","[""[#1 in Genetic Engineering Science Fiction eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809439011/ref=pd_zg_hrsr_digital-text)\n[#9 in Science Fiction Romance (Books)](https://www.amazon.com/gp/bestsellers/books/7654408011/ref=pd_zg_hrsr_books)\n[#9 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)""]",Former tank commander Reese Payne seven-foot alien one stubborn human woman,Third,false,true,true
2025-08-11,Science Fiction Romance,B0CRBL5RQX,"Born For Silk: A Dark, Dystopian Romance (The Cradled Common)",Nicci Harris,https://www.amazon.com/stores/author/B07TLWFH9X,The Cradled Common (3 books),5.99,4.30,4896,986,2024-09-12,Inki Publishing,"~AN AMAZON TOP 100 BESTSELLER~ A spicy Beauty and the Beast meets The Handmaid's Tale.  * In the dystopian land of The Cradle, young Aster will be the King's Silk Girl. A common human bred to adore and pleasure him, and to provide The Cradle with healthy babies that will strengthen The Trade’s iron grip on what remains of civilization. Adore. Pleasure. Provide. That is her Meaningful Purpose. But King Rome is more monster than man. As the heir of the genetically enhanced breed, he was designed to survive and rule this harsh new world. Through fear. Through intimidation.  With a heart carved from obsidian and ambition that knows no bounds, Rome lives only to reign. Until the moment Aster's fragile fingers brush against his calloused palm... Now she occupies his mind. But The Trade upholds that love is not a virtue, and instead, a weakness. Nothing could be more dangerous to the regime than having its merciless king obsessed with a common girl Born For Silk.  * For readers who would enjoy a spicy Beauty and the Beast, meets The Handmaid's Tale by Margaret Atwood, with the barren, wild backdrop of Dune by Frank Herbert. Born For Silk is a romance-driven adult sci-fi novel set in a dark dystopian society. *  ⚠Warning: The Cradled Common is a series of interconnecting standalones. Born For Silk features a seven-foot-tall, tormented hero in need of taming and an intelligent, yet sweet heroine who slowly chips away at his emotional armour. If you don't enjoy romance stories with a power imbalance and age gap, then you will not enjoy this one.",https://m.media-amazon.com/images/I/51huNrtmJvL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CRBL5RQX,"[""Dystopian"",""Age Gap""]","[""[#2 in Fairy Tales (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/7588857011/ref=pd_zg_hrsr_digital-text)\n[#3 in Fairy Tales (Books)](https://www.amazon.com/gp/bestsellers/books/297517/ref=pd_zg_hrsr_books)\n[#10 in Science Fiction Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6401744011/ref=pd_zg_hrsr_digital-text)""]","harsh new world dark dystopian society barren, wild backdrop intelligent, yet sweet heroine seven-foot-tall, tormented hero Aster's fragile fingers romance-driven adult sci-fi novel genetically enhanced breed Handmaid's Tale King's Silk Girl Trade’s iron grip",Third,false,true,true
