ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Science Fiction & Fantasy,B093JHS53T,The School for Good Mothers: A Novel,Jessamine Chan,https://www.amazon.com/stores/author/B092BKD9NX,,1.99,3.80,13633,8,2022-01-04,37 Ink,"Longlisted for the PEN/Hemingway Award for Debut Novel and th e Carnegie Medal for Excellence | Shortlisted for The Center for Fiction First Novel Prize | Selected as One of Barack Obama’s Favorite Books of the Year! In this New?York?Times bestseller and Today show Read with Jenna Book Club Pick, one lapse in judgment lands a young mother in a dystopian government reform program where custody of her child hangs in the balance, in this “surreal” (People), “remarkable” (Vogue), and “infuriatingly timely” (The New York Times Book Review) debut literary fiction novel. Frida Liu, a hardworking Chinese American mother, is pushed to the edge. She doesn’t live up to the expectations set by her immigrant parents or her wellness-obsessed husband. Only with Harriet—cherubic and beloved—does she find a measure of fulfillment…until she has a very bad day. In this close-to-future dystopia, the state targets mothers like Frida: mothers who check their phones, let their children walk home alone, or make one parenting error. Because of one mistake, Frida is sent to a government-run institution—a Big Brother–style reform school for “good mothers,” where every move is monitored, and even her love is judged. For custody to be returned, she must prove that a flawed mother can be redeemed and learn to be “good.” Filled with dark wit and emotional urgency, The School for Good Mothers is an intense, captivating novel that scrutinizes upper-middle-class parenting, systemic surveillance of women, and the violence exacted by both the state and one another. It offers a transgressive exploration of motherhood, resilience, guilt, and the force of love. Using spare, compelling prose, Jessamine Chan crafts an unforgettable, modern classic that resonates with readers of The Handmaid’s Tale and 1984, while centering a richly drawn woman navigating class, race, and motherhood under the gaze of an unyielding system.",https://m.media-amazon.com/images/I/41in6Nwm5+L._SY445_SX342_.jpg,https://www.amazon.com/dp/B093JHS53T,"[""Dystopian"",""School/Academy"",""Crafts""]","[""[#1 in Women's Crime Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588893011/ref=pd_zg_hrsr_digital-text)\n[#1 in Women's Literary Fiction](https://www.amazon.com/gp/bestsellers/digital-text/7588891011/ref=pd_zg_hrsr_digital-text)\n[#1 in Dystopian Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6361470011/ref=pd_zg_hrsr_digital-text)""]","her wellness-obsessed husband unforgettable, modern classic Barack Obama’s Favorite Books hardworking Chinese American mother Fiction First Novel Prize Jenna Book Club Pick intense, captivating novel very bad day Handmaid’s Tale upper-middle-class parenting government-run institution close-to-future dystopia th e Carnegie Medal spare, compelling prose richly drawn woman navigating class New York Times Book Review PEN/Hemingway Award dystopian government reform program Big Brother–style reform school",Third,false,false,true
2025-08-11,Science Fiction & Fantasy,B0DQK4CLNR,The Fallen and the Kiss of Dusk (Crowns of Nyaxia Book 4),Carissa Broadbent,https://www.amazon.com/stores/author/B01N1NMBV6,Crowns of Nyaxia,6.99,4.40,759,14,2025-08-05,,"New York Times bestselling author and BookTok sensation Carissa Broadbent returns with a brand new novel in the Crowns of Nyaxia series, The Fallen & the Kiss of Dusk.  Mische made the ultimate sacrifice to save those she loves – and plunged the world into an eternal night. Now, imprisoned by the gods and obsessed with revenge, Asar is desperate to find her again.  When a goddess offers them a final path to redemption – and back to each other – Asar and Mische embark on an extraordinary mission. Together, they must seize the power of the god of death so Asar may do the impossible: ascend to true divinity.  Their journey will take them through mortal and immortal realms, alongside both old friends and ruthless enemies. But as the underworld teeters on the brink of collapse and the gods prepare for a war, Asar and Mische must decide what they are willing to sacrifice for the power to defy death. In a game of vengeful gods and ancient betrayals, there are some debts that even love may not be able to repay.",https://m.media-amazon.com/images/I/51kX+fV+7NL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DQK4CLNR,,"[""[#1 in Romantic Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/14530456011/ref=pd_zg_hrsr_digital-text)\n[#1 in Dark Fantasy Horror](https://www.amazon.com/gp/bestsellers/digital-text/157062011/ref=pd_zg_hrsr_digital-text)\n[#1 in Epic Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158580011/ref=pd_zg_hrsr_digital-text)""]",BookTok sensation Carissa Broadbent brand new novel mortal and immortal realms,Third,false,false,true
2025-08-11,Science Fiction & Fantasy,B0BGDM197Q,Fourth Wing (The Empyrean Book 1),Rebecca Yarros,https://www.amazon.com/stores/author/B00HYKBU1W,The Empyrean,14.99,4.80,434210,19,2023-05-02,Entangled: Red Tower Books,"A #1 New York Times bestseller • TV series in development at MGM Amazon Studios with Michael B. Jordan’s Outlier Society • Amazon Best Books of the Year, #4 • Apple Best Books of the Year 2023 • Barnes & Noble Best Fantasy Book of 2023 • NPR “Books We Love” 2023 • Audible Best Books of 2023 • Hudson Book of the Year • Google Play Best Books of 2023 • Indigo Best Books of 2023 • Waterstones Book of the Year finalist • Goodreads Choice Award Winner • Newsweek Staffers’ Favorite Books of 2023 • Paste Magazine's Best Books of 2023 ""Suspenseful, sexy, and with incredibly entertaining storytelling, the first in Yarros' Empyrean series will delight fans of romantic, adventure-filled fantasy."" — Booklist, starred review "" Fourth Wing will have your heart pounding from beginning to end... A fantasy like you've never read before."" ―#1 New York Times bestselling author Jennifer L. Armentrout Enter the brutal and elite world of a war college for dragon riders from #1 New York Times bestselling author Rebecca Yarros Twenty-year-old Violet Sorrengail was supposed to enter the Scribe Quadrant, living a quiet life among books and history. Now, the commanding general—also known as her tough-as-talons mother—has ordered Violet to join the hundreds of candidates striving to become the elite of Navarre: dragon riders. But when you’re smaller than everyone else and your body is brittle, death is only a heartbeat away...because dragons don’t bond to “fragile” humans. They incinerate them. With fewer dragons willing to bond than cadets, most would kill Violet to better their own chances of success. The rest would kill her just for being her mother’s daughter—like Xaden Riorson, the most powerful and ruthless wingleader in the Riders Quadrant. She’ll need every edge her wits can give her just to see the next sunrise. Yet, with every day that passes, the war outside grows more deadly, the kingdom's protective wards are failing, and the death toll continues to rise. Even worse, Violet begins to suspect leadership is hiding a terrible secret. Friends, enemies, lovers. Everyone at Basgiath War College has an agenda—because once you enter, there are only two ways out: graduate or die. The Empyrean series is best enjoyed in order. Reading Order: Book #1 Fourth Wing Book #2 Iron Flame Book #3 Onyx Storm",https://m.media-amazon.com/images/I/61dEdpy80UL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0BGDM197Q,"[""Supernatural"",""Dragon"",""Suspense"",""College""]","[""[#1 in Dragons & Mythical Creatures Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16926919011/ref=pd_zg_hrsr_books)\n[#1 in Sword & Sorcery Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809432011/ref=pd_zg_hrsr_digital-text)\n[#1 in Epic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16197/ref=pd_zg_hrsr_books)""]",Iron Flame Book • Goodreads Choice Award Winner most powerful and ruthless wingleader 2023 • Waterstones Book NPR “Books We kingdom's protective wards Fourth Wing Book fragile” humans Noble Best Fantasy Book 4 • Apple Best Books #1 New York Times bestseller • TV series her mother’s daughter brutal and elite world Paste Magazine's Best Books author Rebecca Yarros Twenty-year-old Violet Sorrengail,Third,true,false,true
2025-08-11,Science Fiction & Fantasy,B0C4JMJBNX,Iron Flame (The Empyrean Book 2),Rebecca Yarros,https://www.amazon.com/stores/author/B00HYKBU1W,The Empyrean,14.99,4.70,363553,24,2023-11-07,Entangled: Red Tower Books,"Discover the instant #1 New York Times bestseller! TV series now in development at MGM Amazon Studios with Michael B. Jordan’s Outlier Society. Accolades for Fourth Wing Amazon Best Books of the Year, #4 • Apple Best Books of the Year 2023 • Barnes & Noble Best Fantasy Book of 2023 (Fourth Wing and Iron Flame) • NPR “Books We Love” 2023 • Audible Best Books of 2023 • Hudson Book of the Year • Google Play Best Books of 2023 • Indigo Best Books of 2023 • Waterstones Book of the Year finalist • Goodreads Choice Award, semi-finalist • Newsweek Staffers’ Favorite Books of 2023 • Paste Magazine's Best Books of 2023 “The first year is when some of us lose our lives. The second year is when the rest of us lose our humanity.” —Xaden Riorson Everyone expected Violet Sorrengail to die during her first year at Basgiath War College—Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky. Now the real training begins, and Violet’s already wondering how she’ll get through. It’s not just that it’s grueling and maliciously brutal, or even that it’s designed to stretch the riders’ capacity for pain beyond endurance. It’s the new vice commandant, who’s made it his personal mission to teach Violet exactly how powerless she is–unless she betrays the man she loves. Although Violet’s body might be weaker and frailer than everyone else’s, she still has her wits—and a will of iron. And leadership is forgetting the most important lesson Basgiath has taught her: Dragon riders make their own rules. But a determination to survive won’t be enough this year. Because Violet knows the real secret hidden for centuries at Basgiath War College—and nothing, not even dragon fire, may be enough to save them in the end. The Empyrean series is best enjoyed in order. Reading Order: Book #1 Fourth Wing Book #2 Iron Flame",https://m.media-amazon.com/images/I/61CrGbiVSnL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0C4JMJBNX,"[""Supernatural"",""Dragon"",""College""]","[""[#1 in New Adult & College Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/10387329011/ref=pd_zg_hrsr_books)\n[#1 in Sword & Sorcery Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16205/ref=pd_zg_hrsr_books)\n[#2 in Sword & Sorcery Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6809432011/ref=pd_zg_hrsr_digital-text)""]",instant #1 New York Times bestseller semi-finalist • Newsweek Staffers new vice commandant most important lesson 2023 • Audible Best Books not even dragon fire riders’ capacity 2023 • Paste Magazine's Best Books NPR “Books We Fourth Wing Book Fourth Wing Amazon Best Books 4 • Apple Best Books Noble Best Fantasy Book Fourth Wing and Iron Flame Michael B. Jordan’s Outlier Society only the first impossible test,Third,true,false,true
2025-08-11,Science Fiction & Fantasy,B0CW1FKFB9,Onyx Storm (The Empyrean Book 3),Rebecca Yarros,https://www.amazon.com/stores/author/B00HYKBU1W,The Empyrean,14.99,4.60,216595,25,2025-01-21,Entangled: Red Tower Books,"Discover the instant #1 New York Times bestseller! TV series now in development at MGM Amazon Studios with Michael B. Jordan’s Outlier Society. Accolades for Fourth Wing Amazon Best Books of the Year, #4 • Apple Best Books of the Year 2023 • Barnes & Noble Best Fantasy Book of 2023 • NPR ""Books We Love"" 2023 • Audible Best Books of 2023 • Hudson Book of the Year • Google Play Best Books of 2023 • Indigo Best Books of 2023 • Waterstones Book of the Year finalist • Goodreads Choice Award Winner • Newsweek Staffers’ Favorite Books of 2023 • Paste Magazine ’s Best Books of 2023 • TikTok Book Awards UK and Ireland Book of the Year (International) 2024 After nearly eighteen months at Basgiath War College, Violet Sorrengail knows there’s no more time for lessons. No more time for uncertainty. Because the battle has truly begun, and with enemies closing in from outside their walls and within their ranks, it’s impossible to know who to trust. Now Violet must journey beyond the failing Aretian wards to seek allies from unfamiliar lands to stand with Navarre. The trip will test every bit of her wit, luck, and strength, but she will do anything to save what she loves—her dragons, her family, her home, and him. Even if it means keeping a secret so big, it could destroy everything. They need an army. They need power. They need magic. And they need the one thing only Violet can find—the truth. But a storm is coming...and not everyone can survive its wrath. The Empyrean series is best enjoyed in order. Reading Order: Book #1 Fourth Wing Book #2 Iron Flame Book #3 Onyx Storm",https://m.media-amazon.com/images/I/51erLQfWU8L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CW1FKFB9,"[""Military"",""College"",""Supernatural"",""Magic"",""Dragon""]","[""[#1 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)\n[#1 in Romantasy](https://www.amazon.com/gp/bestsellers/books/7654406011/ref=pd_zg_hrsr_books)\n[#2 in Military Romance (Books)](https://www.amazon.com/gp/bestsellers/books/8373231011/ref=pd_zg_hrsr_books)""]","Paste Magazine ’s Best Books • Goodreads Choice Award Winner instant #1 New York Times bestseller Iron Flame Book 2023 • Waterstones Book failing Aretian wards NPR ""Books We Fourth Wing Book Fourth Wing Amazon Best Books 4 • Apple Best Books Noble Best Fantasy Book Michael B. Jordan’s Outlier Society Year (International 2023 • TikTok Book Awards UK",Third,true,false,true
2025-08-11,Science Fiction & Fantasy,B0DDKHNVWF,Quicksilver (Fae & Alchemy Book 1),Callie Hart,https://www.amazon.com/stores/author/B00JEI9IYS,Fae & Alchemy,9.99,4.60,172868,30,2024-09-10,Forever,"This #1 New York Times bestseller is a highly addicting enemies-to-lovers Romantasy with razor-sharp banter, heart-stopping action, and blistering hot romance. Do not touch the sword. Do not turn the key. Do not open the gate. Twenty-four-year-old Saeris Fane is good at keeping secrets. No one knows about the strange powers she possesses, or the fact that she has been picking pockets and stealing from the Undying Queen’s reservoirs for as long as she can remember. In the land of the unforgiving desert, there isn’t much a girl wouldn’t do for a glass of water. But a secret is like a knot. Sooner or later, it is bound to come undone. When Saeris comes face-to-face with Death himself, she inadvertently reopens a gateway between realms and is transported to a land of ice and snow. The Fae have always been the stuff of myth, of legend, of nightmares…but it turns out they’re real, and Saeris has landed right in the middle of a centuries-long conflict that might just get her killed. The first of her kind to tread the frozen mountains of Yvelia in over a thousand years, Saeris mistakenly binds herself to Kingfisher, a handsome Fae warrior, who has secrets and nefarious agendas of his own. He will use her Alchemist’s magic to protect his people, no matter what it costs him… or her. Death has a name. It is Kingfisher of the Ajun Gate. His past is murky. His attitude stinks. And he’s the only way Saeris is going to make it home. Be careful of the deals you make, dear child. The devil is in the details... Now with an embossed cover, silver foiling, and an updated interior design. N.B. Quicksilver contains depictions of graphic violence/adult situations and is therefore recommended for readers 17+. For a full list of tropes and TWs, please visit the author's website.",https://m.media-amazon.com/images/I/515bREGJPVL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DDKHNVWF,"[""Fae/Elves"",""Military"",""Enemies to Lovers"",""Magic""]","[""[#1 in Romantic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/13922577011/ref=pd_zg_hrsr_books)\n[#1 in Action & Adventure Romance (Books)](https://www.amazon.com/gp/bestsellers/books/11764651011/ref=pd_zg_hrsr_books)\n[#1 in Action & Adventure Romance (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/11650866011/ref=pd_zg_hrsr_digital-text)""]",Twenty-four-year-old Saeris Fane updated interior design Undying Queen’s reservoirs centuries-long conflict #1 New York Times bestseller heart-stopping action over a thousand years her Alchemist’s magic author's website handsome Fae warrior razor-sharp banter graphic violence/adult situations,Third,true,true,true
2025-08-11,Science Fiction & Fantasy,B0DNXD8YB8,Shield of Sparrows,Devney Perry,https://www.amazon.com/stores/author/B01N9OPRXV,Shield of Sparrows,14.99,4.60,51100,31,2025-05-06,Entangled: Red Tower Books,"Discover the instant #1 New York Times bestseller! Now in development as a feature film with Amazon MGM Studios, with John Wick screenwriter Derek Kolstad attached to write the script. Shield of Sparrows is a slow-burn, high-stakes romantasy perfect for fans of Sarah J. Maas and Rebecca Yarros—where enemies become lovers, monsters stalk a cursed realm, and a forgotten princess finds the strength to tear off her crown and become the warrior she was never meant to be. The gods sent monsters to the five kingdoms to remind mortals they must kneel. I’ve spent my life kneeling—to their will and to my father's. As a princess, my only duty is to wear the crown and obey the king. I was never meant to rule. Never meant to fight. And I was never supposed to be the daughter who sealed an ancient treaty with her own blood. But that changed the fateful day I stepped into my father’s throne room. The day a legendary monster hunter sailed to our shores. The day a prince ruined my life. Now I’m crossing treacherous lands beside a warrior who despises me as much as I despise him—bound to a future I didn’t choose and a husband I barely know. Everyone wants me to be something I’m not—a queen, a spy, a sacrifice. But what if I refused the role chosen for me? What if I made my own rules? What if there’s power in being underestimated? And what if—for the first time—I reached for it?",https://m.media-amazon.com/images/I/51A3ZXM18sL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DNXD8YB8,"[""Monsters"",""Military"",""Slow Burn"",""Aristocracy""]","[""[#3 in Romantic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/13922577011/ref=pd_zg_hrsr_books)\n[#3 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)\n[#3 in Romantasy](https://www.amazon.com/gp/bestsellers/books/7654406011/ref=pd_zg_hrsr_books)""]",instant #1 New York Times bestseller my father’s throne room legendary monster hunter,First,true,true,true
2025-08-11,Science Fiction & Fantasy,B0CFQTT2BV,The Wolf King: A Fantasy Romance,Lauren Palphreyman,https://www.amazon.com/stores/author/B07B2Z4DKQ,The Wolf King,4.99,4.40,28196,41,2023-09-14,Lauren Palphreyman,"When a princess is kidnapped by an alpha, war rages between the humans and the wolves. But soon, forbidden attraction starts to grow. . . Princess Aurora longs to escape the castle and the marriage that has been arranged for her. But on the night before her wedding, at a dog fight where captured werewolves are made to fight for sport, she spares the life of a young wolf. It puts her on the radar of the powerful alpha who was going to kill him. And it changes everything. That night, when the alpha escapes, he kidnaps her and takes her to the rugged lands north of the border — where the once warring werewolf clans are beginning to unite. He thinks that she is the key to winning the war against the humans. Only, as they spend time around one another, forbidden attraction starts to grow. And as Aurora learns that not all wolves are bad, the alpha discovers that she is in danger from both his enemies, and those he once considered friends. With monsters on both sides, a bloodthirsty war between humans and wolves raging, and undeniable passion growing between them — will their story end in love? Or tragedy? And will Aurora ever get home? Does she even want to? An adult fantasy romance for fans of romantasy, werewolves, forbidden romance, and enemies to lovers Content Warning: Contains strong language and sexual situations",https://m.media-amazon.com/images/I/51YxjD49obL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CFQTT2BV,"[""Enemies to Lovers"",""Alpha Male"",""Animals"",""Monsters"",""Shifter"",""Sports""]","[""[#1 in Werewolf & Shifter Romance](https://www.amazon.com/gp/bestsellers/books/13922582011/ref=pd_zg_hrsr_books)\n[#1 in Paranormal Werewolves & Shifters Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401742011/ref=pd_zg_hrsr_digital-text)\n[#1 in Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/15195314011/ref=pd_zg_hrsr_digital-text)""]","alpha, war rages once warring werewolf clans lovers Content Warning adult fantasy romance",Third,true,true,true
2025-08-11,Science Fiction & Fantasy,B0FLRSNHZV,Dungeon Diving 301,Bruce Sentar,https://www.amazon.com/stores/author/B082S6QKGK,Dungeon Diving,4.99,4.80,234,43,2025-08-07,,"Ken and company come back from summer break after arduous training for their third year at Haylon. No longer are they the fresh adventurers that once didn’t know the right end of the sword. Instead they have settled into Star City among the Orkai and are thriving deep within the dungeon and even locating trails for the class to get powerful new abilities. Things in the dungeon are never so simple. Lucian, a Leomatis Shaman is mourning the death of his grandmother before his father decides that Ken would become the perfect obstacle to whet his soft son’s claws. At the same time, the Orkai Arbiters are going scorched earth on some problem that had bubbled up from the dungeon shuffle. As always, the answer is for Ken to grow stronger.",https://m.media-amazon.com/images/I/415HDQoZpQL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FLRSNHZV,,"[""[#1 in New Adult & College Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/8604756011/ref=pd_zg_hrsr_digital-text)\n[#2 in New Adult & College Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/10387329011/ref=pd_zg_hrsr_books)\n[#2 in Dark Fantasy Horror](https://www.amazon.com/gp/bestsellers/digital-text/157062011/ref=pd_zg_hrsr_digital-text)""]",his soft son’s claws,Third,false,false,true
2025-08-11,Science Fiction & Fantasy,B08FHBV4ZX,Project Hail Mary: A Novel,Andy Weir,https://www.amazon.com/stores/author/B00G0WYW92,,12.99,4.70,160080,53,2021-05-04,Ballantine Books,"THE #1 NEW YORK TIMES BESTSELLER FROM THE AUTHOR OF THE MARTIAN • Soon to be a major motion picture starring Ryan Gosling, directed by Phil Lord and Christopher Miller, with a screenplay by Drew Goddard From the author of The Martian, a lone astronaut must save the earth from disaster in this “propulsive” (Entertainment Weekly), cinematic thriller full of suspense, humor, and fascinating science. HUGO AWARD FINALIST • ONE OF THE YEAR’S BEST BOOKS: Bill Gates, GatesNotes, New York Public Library, Parade, Newsweek, Polygon, Shelf Awareness, She Reads, Kirkus Reviews, Library Journal • New York Times Readers Pick: 100 Best Books of the 21st Century “An epic story of redemption, discovery and cool speculative sci-fi.”— USA Today “If you loved The Martian, you’ll go crazy for Weir’s latest.”— The Washington Post Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish. Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company. His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species. And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone. Or does he? An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian —while taking us to places it never dreamed of going.",https://m.media-amazon.com/images/I/51l-5bsaTlL._SY445_SX342_.jpg,https://www.amazon.com/dp/B08FHBV4ZX,"[""Suspense"",""Comedy"",""Mystery"",""Thriller""]","[""[#1 in Hard Science Fiction (Books)](https://www.amazon.com/gp/bestsellers/books/16286/ref=pd_zg_hrsr_books)\n[#1 in Science Fiction Adventures](https://www.amazon.com/gp/bestsellers/books/16273/ref=pd_zg_hrsr_books)\n[#1 in Hard Science Fiction (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158595011/ref=pd_zg_hrsr_digital-text)""]","very, very long time major motion picture #1 NEW YORK TIMES BESTSELLER desperate, last-chance mission impossible scientific mystery extinction-level threat 21st Century Ryland Grace New York Public Library YEAR’S BEST BOOKS",Third,false,false,true
