ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Teen & Young Adult,B004CLYLCG,The Summer I Turned Pretty,Jenny Han,https://www.amazon.com/stores/author/B001JS1GJG,The Summer I Turned Pretty,9.99,4.40,61506,15,2010-12-21,Simon & Schuster Books for Young Readers,"Now a blockbuster original series on Prime Video! Will Belly choose Jeremiah or Conrad? Belly has an unforgettable summer in this stunning start to the Summer I Turned Pretty series from the New York Times bestselling author of To All the Boys I’ve Loved Before, Jenny Han. Some summers are just destined to be pretty. Belly measures her life in summers. Everything good, everything magical happens between the months of June and August. Winters are simply a time to count the weeks until the next summer, a place away from the beach house, away from Susannah, and most importantly, away from Jeremiah and Conrad. They are the boys that Belly has known since her very first summer—they have been her brother figures, her crushes, and everything in between. But one summer, one wonderful and terrible summer, the more everything changes, the more it all ends up just the way it should have been all along.",https://m.media-amazon.com/images/I/41-KzR9ASUL._SY445_SX342_.jpg,https://www.amazon.com/dp/B004CLYLCG,"[""Magic""]","[""[#1 in Teen & Young Adult Fiction on Dating & Sex (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/15249088011/ref=pd_zg_hrsr_digital-text)\n[#1 in Teen & Young Adult Contemporary Romance eBooks](https://www.amazon.com/gp/bestsellers/digital-text/7006648011/ref=pd_zg_hrsr_digital-text)\n[#1 in Children's Friendship Books](https://www.amazon.com/gp/bestsellers/books/3153/ref=pd_zg_hrsr_books)""]",Now a blockbuster original series Conrad? Belly New York Times her very first summer,Third,true,false,true
2025-08-11,Teen & Young Adult,B003VPWY64,We'll Always Have Summer (Summer I Turned Pretty Book 3),Jenny Han,https://www.amazon.com/stores/author/B001JS1GJG,The Summer I Turned Pretty,9.99,4.40,40609,22,2011-04-26,Simon & Schuster Books for Young Readers,"Now a blockbuster original series on Prime Video! Will Belly choose Jeremiah or Conrad? Can Belly make a final choice between Jeremiah and Conrad? Find out in the conclusion of the New York Times bestselling The Summer I Turned Pretty trilogy from the author of To All the Boys I’ve Loved Before (now a major motion picture!). Belly has only ever been in love with two boys, both with the last name Fisher. And after being with Jeremiah for the last two years, she’s almost positive he is her soul mate. Almost. While Conrad has not gotten over the mistake of letting Belly go, Jeremiah has always known that Belly is the girl for him. So when Belly and Jeremiah decide to make things forever, Conrad realizes that it’s now or never—tell Belly he loves her, or lose her for good. Belly will have to confront her feelings for Jeremiah and Conrad and face the inevitable: She will have to break one of their hearts. This paperback edition features bonus content, including Conrad’s letters to Belly and an excerpt of Burn for Burn by Jenny Han and Siobhan Vivian!",https://m.media-amazon.com/images/I/31B+bMt6OAL._SY445_SX342_.jpg,https://www.amazon.com/dp/B003VPWY64,,"[""[#1 in Children's Fiction on Social Situations](https://www.amazon.com/gp/bestsellers/books/3564980011/ref=pd_zg_hrsr_books)\n[#1 in Teen & Young Adult Fiction on Girls' & Women's Issues (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/15249110011/ref=pd_zg_hrsr_digital-text)\n[#1 in Teen & Young Adult Fiction on Girls' & Women's Issues (Books)](https://www.amazon.com/gp/bestsellers/books/10368522011/ref=pd_zg_hrsr_books)""]",Now a blockbuster original series last two years New York Times now a major motion picture,Third,false,false,true
2025-08-11,Teen & Young Adult,B003IYI6TC,It's Not Summer Without You (The Summer I Turned Pretty Book 2),Jenny Han,https://www.amazon.com/stores/author/B001JS1GJG,The Summer I Turned Pretty,9.99,4.40,42453,52,2010-04-24,Simon & Schuster Books for Young Readers,"Now a blockbuster original series on Prime Video! Will Belly choose Jeremiah or Conrad? Belly finds out what comes after falling in love in this follow-up to The Summer I Turned Pretty from the New York Times bestselling author of To All the Boys I’ve Loved Before, Jenny Han. It used to be that Belly counted the days until summer, until she was back at Cousins Beach with Conrad and Jeremiah. But not this year. Not after Susannah got sick again and Conrad stopped caring. Everything that was right and good has fallen apart, leaving Belly wishing summer would never come. But when Jeremiah calls saying Conrad has disappeared, Belly knows what she must do to make things right again. And it can only happen back at the beach house, the three of them together, the way things used to be. If this summer really and truly is the last summer, it should end the way it started—at Cousins Beach.",https://m.media-amazon.com/images/I/41UYyFzbikL._SY445_SX342_.jpg,https://www.amazon.com/dp/B003IYI6TC,,"[""[#1 in Teen & Young Adult Contemporary Romance](https://www.amazon.com/gp/bestsellers/books/10368617011/ref=pd_zg_hrsr_books)\n[#2 in Children's Fiction on Social Situations](https://www.amazon.com/gp/bestsellers/books/3564980011/ref=pd_zg_hrsr_books)\n[#2 in Teen & Young Adult Fiction on Girls' & Women's Issues (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/15249110011/ref=pd_zg_hrsr_digital-text)""]",Now a blockbuster original series follow-up New York Times not this year,Third,false,false,true
2025-08-11,Teen & Young Adult,B0C44DX85D,Binding 13 (Boys of Tommen Book 1),Chloe Walsh,https://www.amazon.com/stores/author/B00IH4LJSI,Boys of Tommen,7.63,4.60,61434,70,2023-09-26,Bloom Books,"An epic and unforgettable love story begins in Binding 13, the first in the international bestselling and TikTok-phenomenon The Boys of Tommen series, from Chloe Walsh.  He wants to save her. She wants to hide.  She's damaged. He's determined.  Fate brought them together. Love binds them.  Johnny Kavanagh is the definition of popular. He is an all-star rugby player with loads of friends, which means he should be enjoying the many perks of his life. But what people don't know is that he has been dealing with a painful injury that could halt the magnificent trajectory of his career. This means he has no time for distractions or mistakes. Especially not a girlfriend.  Shannon Lynch has been bullied all her life. She is shy and would rather hide herself away to make it through school. But when she arrives at Tommen College for a fresh start, she meets the notorious Johnny Kavanagh on her first day in a not-so-romantic way. What follows is a complicated friendship that turns into undeniable chemistry. It seems that Shannon won't be able to hold onto the anonymous status she once hoped for. But maybe that's alright?  Johnny won't give up on Shannon. No matter what it might cost them both.  Filled with angst and an attraction like no other, Binding 13 will suck you into the bingeworthy Boys of Tommen universe. This book is perfect for readers looking for:  New adult/YA crossover Irish romance Dual POVs Friends-to-lovers TikTok books Sports romance  Readers are gushing:  ""You need this book in your life.""  ""I'm beyond obsessed. no review could do this book justice but wow. I'm SPRINTING to Keeping 13!!!!!""  ""I NEED A JOHNNY KAVANAGH ❤""  ""Instantly became one of my top 5 books of all time.""  ""This was so, so good. Excellent character building. Excellent relationship building. Just excellent all around.""",https://m.media-amazon.com/images/I/41loVEfZT8L._SY445_SX342_.jpg,https://www.amazon.com/dp/B0C44DX85D,"[""School/Academy"",""Friends to Lovers"",""College"",""Sports"",""Friendship""]","[""[#1 in Teen & Young Adult Sports Fiction](https://www.amazon.com/gp/bestsellers/books/17465/ref=pd_zg_hrsr_books)\n[#1 in Teen & Young Adult (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/15195316011/ref=pd_zg_hrsr_digital-text)\n[#1 in Teen & Young Adult Social Issues eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6064564011/ref=pd_zg_hrsr_digital-text)""]",epic and unforgettable love story Especially not a girlfriend not-so-romantic way New adult/YA crossover all-star rugby player notorious Johnny Kavanagh,Third,false,true,true
2025-08-11,Teen & Young Adult,B0C5K1YR6V,That's Not My Name,Megan Lally,https://www.amazon.com/stores/author/B0C1W8VLH9,,6.20,4.30,36921,80,2023-12-26,Sourcebooks Fire,"A New York Times and USA Today Bestseller!  She thought she had her life back. She was wrong. A gripping debut thriller perfect for fans of Natalie D. Richards and Vincent Ralph.  It was a mistake to trust him.  Shivering and bruised, a teen wakes up on the side of a dirt road with no memory of how she got there—or who she is. A passing officer takes her to the police station, and not long after, a frantic man arrives. He's been searching for her for hours. He has her school ID, her birth certificate, and even family photos.  He is her father. Her name is Mary. Or so he says.  When Lola slammed the car door and stormed off into the night, Drew thought they just needed some time to cool off. Except Lola disappeared, and the sheriff, his friends, and the whole town are convinced Drew murdered his girlfriend. Forget proving his innocence, he needs to find her before it's too late. The longer Lola is missing, the fewer leads there are to follow…and the more danger they both are in.",https://m.media-amazon.com/images/I/513cY+y-zpL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0C5K1YR6V,"[""Police"",""Crime"",""School/Academy"",""Thriller""]","[""[#2 in Teen & Young Adult Social Issues eBooks](https://www.amazon.com/gp/bestsellers/digital-text/6064564011/ref=pd_zg_hrsr_digital-text)\n[#4 in Teen & Young Adult Fiction on Dating & Sex (Books)](https://www.amazon.com/gp/bestsellers/books/10368549011/ref=pd_zg_hrsr_books)\n[#5 in Teen & Young Adult Fiction on Dating & Sex (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/15249088011/ref=pd_zg_hrsr_digital-text)""]",gripping debut thriller New York Times,Third,false,false,true
2025-08-11,Teen & Young Adult,B00I43Z1J0,Heir of Fire (Throne of Glass Book 3),Sarah J. Maas,https://www.amazon.com/stores/author/B0070291GK,Throne Of Glass Series,8.21,4.60,123194,170,2014-09-02,Bloomsbury Publishing,"The heir of ash and fire bows to no one. A new threat rises in the third book in the #1 bestselling Throne of Glass series by Sarah J. Maas. Celaena Sardothien has survived deadly contests and shattering heartbreak, but now she must travel to a new land to confront her darkest truth. That truth could change her life-and her future-forever. Meanwhile, monstrous forces are gathering on the horizon, intent on enslaving her world. To defeat them, Celaena will need the strength not only to fight the evil that is about to be unleashed but also to harness her inner demons. If she is to win this battle, she must find the courage to face her destiny-and burn brighter than ever before. The third book in the #1 New York Times bestselling Throne of Glass series continues Celaena's epic journey from woman to warrior.",https://m.media-amazon.com/images/I/413Bl9Cg7iL._SY445_SX342_.jpg,https://www.amazon.com/dp/B00I43Z1J0,"[""Military"",""Aristocracy""]","[""[#1 in Teen & Young Adult Epic Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/15249163011/ref=pd_zg_hrsr_digital-text)\n[#1 in Teen & Young Adult Action & Adventure eBooks](https://www.amazon.com/gp/bestsellers/digital-text/7006622011/ref=pd_zg_hrsr_digital-text)\n[#4 in Teen & Young Adult Fantasy Action & Adventure](https://www.amazon.com/gp/bestsellers/books/10368509011/ref=pd_zg_hrsr_books)""]",Celaena's epic journey #1 New York Times,Third,false,false,true
2025-08-11,Teen & Young Adult,B00CU7YHQY,Crown of Midnight (Throne of Glass Book 2),Sarah J. Maas,https://www.amazon.com/stores/author/B0070291GK,Throne Of Glass Series,8.21,4.60,132666,167,2013-08-27,Bloomsbury Publishing,"Never trust an assassin. Celaena's story continues in this second book in the #1 bestselling Throne of Glass series by Sarah J. Maas. Celaena Sardothien won a brutal contest to become the King's Champion. But she is far from loyal to the crown. Though she goes to great lengths to hide her secret, her deadly charade becomes more difficult when she realizes she is not the only one seeking justice. Her search for answers ensnares those closest to her, and no one is safe from suspicion-not the Crown Prince Dorian; not Chaol, the Captain of the Guard; not even her best friend, Nehemia, a princess with a rebel heart. Then, one terrible night, the secrets they have all been keeping lead to an unspeakable tragedy. As Celaena's world shatters, she will be forced to decide once and for all where her true loyalties lie . . . and what she is willing to fight for. The second book in the #1 New York Times bestselling Throne of Glass series returns readers to a land destroyed by liars, where one woman's truth is the only thing that can save them all.",https://m.media-amazon.com/images/I/51IIbR3tj5L._SY445_SX342_.jpg,https://www.amazon.com/dp/B00CU7YHQY,"[""Aristocracy""]","[""[#3 in Teen & Young Adult Epic Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/15249163011/ref=pd_zg_hrsr_digital-text)\n[#4 in Teen & Young Adult Epic Fantasy](https://www.amazon.com/gp/bestsellers/books/13922498011/ref=pd_zg_hrsr_books)\n[#10 in Epic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16197/ref=pd_zg_hrsr_books)""]",not even her best friend Crown Prince Dorian one woman's truth Celaena's world shatters #1 New York Times King's Champion,Third,false,false,true
2025-08-11,Teen & Young Adult,B0192CTMYG,Harry Potter and the Sorcerer's Stone,J.K. Rowling,https://www.amazon.com/stores/author/B000AP9A6K,Harry Potter,11.99,4.80,144651,159,2015-12-08,Pottermore Publishing,"Say you've spent the first 10 years of your life sleeping under the stairs of a family who loathes you. Then, in an absurd, magical twist of fate you find yourself surrounded by wizards, a caged snowy owl, a phoenix-feather wand, and jellybeans that come in every flavor, including strawberry, curry, grass, and sardine. Not only that, but you discover that you are a wizard yourself! This is exactly what happens to young Harry Potter in J.K. Rowling's enchanting, funny debut novel, Harry Potter and the Sorcerer's Stone. In the nonmagic human world--the world of ""Muggles""--Harry is a nobody, treated like dirt by the aunt and uncle who begrudgingly inherited him when his parents were killed by the evil Voldemort. But in the world of wizards, small, skinny Harry is famous as a survivor of the wizard who tried to kill him. He is left only with a lightning-bolt scar on his forehead, curiously refined sensibilities, and a host of mysterious powers to remind him that he's quite, yes, altogether different from his aunt, uncle, and spoiled, piglike cousin Dudley.  A mysterious letter, delivered by the friendly giant Hagrid, wrenches Harry from his dreary, Muggle-ridden existence: ""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry."" Of course, Uncle Vernon yells most unpleasantly, ""I AM NOT PAYING FOR SOME CRACKPOT OLD FOOL TO TEACH HIM MAGIC TRICKS!"" Soon enough, however, Harry finds himself at Hogwarts with his owl Hedwig... and that's where the real adventure--humorous, haunting, and suspenseful--begins. Harry Potter and the Sorcerer's Stone, first published in England as Harry Potter and the Philosopher's Stone, continues to win major awards in England. So far it has won the National Book Award, the Smarties Prize, the Children's Book Award, and is short-listed for the Carnegie Medal, the U.K. version of the Newbery Medal. This magical, gripping, brilliant book--a future classic to be sure--will leave kids clamoring for Harry Potter and the Chamber of Secrets and Harry Potter and the Prisoner of Azkaban. (Ages 8 to 13) --Karin Snelson",https://m.media-amazon.com/images/I/51Ppi-8kISL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0192CTMYG,"[""School/Academy"",""Witch"",""Comedy"",""Mystery"",""Suspense"",""Magic"",""Supernatural""]","[""[#1 in Teen & Young Adult Wizards & Witches Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/15249176011/ref=pd_zg_hrsr_digital-text)\n[#1 in Children's Fantasy & Magic Adventure](https://www.amazon.com/gp/bestsellers/digital-text/10124609011/ref=pd_zg_hrsr_digital-text)\n[#1 in Teen & Young Adult Humorous Fiction](https://www.amazon.com/gp/bestsellers/books/10368523011/ref=pd_zg_hrsr_books)""]","his aunt, uncle National Book Award phoenix-feather wand first 10 years absurd, magical twist lightning-bolt scar caged snowy owl J.K. Rowling's enchanting, funny debut novel friendly giant Hagrid Sorcerer's Stone magical, gripping, brilliant book nonmagic human world his dreary, Muggle-ridden existence small, skinny Harry Philosopher's Stone Children's Book Award CRACKPOT OLD FOOL",Third,true,false,true
2025-08-11,Teen & Young Adult,B00TU3BTUI,Queen of Shadows (Throne of Glass Book 4),Sarah J. Maas,https://www.amazon.com/stores/author/B0070291GK,Throne Of Glass Series,8.21,4.80,129097,176,2015-09-01,Bloomsbury Publishing,"No masters. No limits. No regrets. Aelin Galathynius takes her place as queen in the fourth book of the #1 bestselling Throne of Glass series by Sarah J. Maas. Celaena Sardothien has embraced her identity as Aelin Galathynius, Queen of Terrasen. But before she can reclaim her throne, she must fight. She will fight for her cousin, a warrior prepared to die for her. She will fight for her friend, a young man trapped in an unspeakable prison. And she will fight for her people, enslaved to a brutal king and awaiting their lost queen's triumphant return. Everyone Aelin loves has been taken from her. Everything she holds dear is in danger. But she has the heart of a queen-and that heart beats for vengeance. In this fourth book in the #1 New York Times bestselling Throne of Glass series, no one will escape the queen's wrath.",https://m.media-amazon.com/images/I/415rsKVmbRL._SY445_SX342_.jpg,https://www.amazon.com/dp/B00TU3BTUI,"[""Military"",""Aristocracy""]","[""[#1 in Teen & Young Adult Epic Fantasy](https://www.amazon.com/gp/bestsellers/books/13922498011/ref=pd_zg_hrsr_books)\n[#2 in Teen & Young Adult Epic Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/15249163011/ref=pd_zg_hrsr_digital-text)\n[#23 in Epic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16197/ref=pd_zg_hrsr_books)""]",their lost queen's triumphant return #1 New York Times queen's wrath,Third,false,false,true
2025-08-11,Teen & Young Adult,B0C1X64T4N,Heartless Hunter: The Crimson Moth: Book 1,Kristen Ciccarelli,https://www.amazon.com/stores/author/B01MTCHQ12,The Crimson Moth,11.99,4.40,52556,194,2024-02-20,Wednesday Books,"AN INSTANT NEW YORK TIMES BESTSELLER! ""A steamy game of cat and mouse between witch and witch-hunter, played out against a backdrop of opulence, secrets, and bloody history. I couldn't look away."" - Kendare Blake, #1 New York Times bestselling author of Champion of Fate Enemies-to-lovers doesn't get more high stakes than a witch and a witch hunter falling in love in bestselling author Kristen Ciccarelli's latest romantic fantasy. On the night Rune’s life changed forever, blood ran in the streets. Now, in the aftermath of a devastating revolution, witches have been diminished from powerful rulers to outcasts ruthlessly hunted due to their waning magic, and Rune must hide what she is. Spending her days pretending to be nothing more than a vapid young socialite, Rune spends her nights as the Crimson Moth, a witch vigilante who rescues her kind from being purged. When a rescue goes wrong, she decides to throw the witch hunters off her scent and gain the intel she desperately needs by courting the handsome Gideon Sharpe - a notorious and unforgiving witch hunter loyal to the revolution - who she can't help but find herself falling for. Gideon loathes the decadence and superficiality Rune represents, but when he learns the Crimson Moth has been using Rune’s merchant ships to smuggle renegade witches out of the republic, he inserts himself into her social circles by pretending to court her right back. He soon realizes that beneath her beauty and shallow façade, is someone fiercely intelligent and tender who feels like his perfect match. Except, what if she’s the very villain he’s been hunting? Kristen Ciccarelli’s Heartless Hunter is the thrilling start to The Crimson Moth duology, a romantic fantasy series where the only thing more treacherous than being a witch...is falling in love. “Enchanting and deeply romantic, Heartless Hunter drew me in with the first sentence and left me breathless by the last. A story that unfolds like a spell, and one that is destined to capture your heart.” - Rebecca Ross, #1 New York Times bestselling author of Divine Rivals",https://m.media-amazon.com/images/I/51PRQ1OTmQL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0C1X64T4N,"[""Fantasy"",""Steamy"",""Witch"",""Enemies to Lovers"",""Magic"",""Supernatural""]","[""[#1 in Teen & Young Adult Historical Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/15249169011/ref=pd_zg_hrsr_digital-text)\n[#1 in Teen & Young Adult Dark Fantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/15249162011/ref=pd_zg_hrsr_digital-text)\n[#1 in Teen & Young Adult Fantasy Romance](https://www.amazon.com/gp/bestsellers/books/10368618011/ref=pd_zg_hrsr_books)""]",romantic fantasy series Kristen Ciccarelli’s Heartless Hunter vapid young socialite author Kristen Ciccarelli's latest romantic fantasy Rune’s merchant ships handsome Gideon Sharpe notorious and unforgiving witch hunter Crimson Moth duology INSTANT NEW YORK TIMES BESTSELLER,Third,true,true,true
