ingested_date,genre,asin,title,author,author_url,series,price,rating,review_count,rank_overall,release_date,publisher,blurb_text,cover_url,product_url,topic_tags,subcategories,blurb_keyphrases,estimated_pov,has_supernatural,has_romance,cover_ok
2025-08-11,Urban Fantasy,B08BKGYQXW,Dungeon Crawler Carl: Dungeon Crawler Carl Book 1,Matt Dinniman,https://www.amazon.com/stores/author/B002BLP1QY,Dungeon Crawler Carl,4.99,4.70,32202,81,2020-10-02,Dandy House,"The apocalypse will be televised!  You know what’s worse than breaking up with your girlfriend? Being stuck with her prize-winning show cat. And you know what’s worse than that? An alien invasion, the destruction of all man-made structures on Earth, and the systematic exploitation of all the survivors for a sadistic intergalactic game show. That’s what. Join Coast Guard vet Carl and his ex-girlfriend’s cat, Princess Donut, as they try to survive the end of the world—or just get to the next level—in a video game–like, trap-filled fantasy dungeon. A dungeon that’s actually the set of a reality television show with countless viewers across the galaxy. Exploding goblins. Magical potions. Deadly, drug-dealing llamas. This ain’t your ordinary game show. Welcome, Crawler. Welcome to the Dungeon. Survival is optional. Keeping the viewers entertained is not.",https://m.media-amazon.com/images/I/514McFhKyML._SY445_SX342_.jpg,https://www.amazon.com/dp/B08BKGYQXW,"[""Alien"",""Magic"",""Animals""]","[""[#1 in Fantasy TV"",""Movie & Game Tie-In](https://www.amazon.com/gp/bestsellers/digital-text/6809433011/ref=pd_zg_hrsr_digital-text)\n[#1 in Contemporary Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16195/ref=pd_zg_hrsr_books)\n[#1 in Celebrity & Popular Culture Humor (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/16232471011/ref=pd_zg_hrsr_digital-text)""]","Join Coast Guard vet Carl Deadly, drug-dealing llamas sadistic intergalactic game show your ordinary game show reality television show her prize-winning show cat like, trap-filled fantasy dungeon man-made structures his ex-girlfriend’s cat",Third,true,false,true
2025-08-11,Urban Fantasy,B0DSTFZ54X,Freaky Festivals (Mystic Caravan Mysteries Book 20),Amanda M. Lee,https://www.amazon.com/stores/author/B00B522Z32,Mystic Caravan Mysteries,5.99,4.80,624,117,2025-08-05,WinchesterShaw Publications,"Mystic Caravan is hitting San Francisco. Unfortunately, a magical force in the city is hitting back. On their first night in town, they discover somebody has unleashed skeletons on the city…and there’s an army of them. The good news is that as far as foes go, they’re not very impressive. Poet Parker’s team can take them out with relative ease. The bad news is they’re not stopping…and they’re getting bolder each and every night. San Francisco’s history leads to a lot of questions. Are the skeletons coming from the cemeteries that were closed? Seems only a fraction of the bodies were moved when the city shut down for burials more than a century before. Who is raising them, though? Between Golden Gate Park, Fisherman’s Wharf, and Alcatraz, Mystic Caravan has a lot of dark corners to search through. A nosy police officer—one who has his own paranormal task force at the ready—is another concern. Not all evil is created equal. Sometimes what looks like evil isn’t evil at all. Still, the city needs to be saved. Are Poet and her motley crew of magical misfits up to the task? You’re about to find out. It’s going to be a bumpy—and bony—ride.",https://m.media-amazon.com/images/I/41ITbVIQIpL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DSTFZ54X,"[""Mystery"",""Police"",""Military"",""Magic"",""Supernatural""]","[""[#1 in Paranormal Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/12569916011/ref=pd_zg_hrsr_digital-text)\n[#1 in Witch & Wizard Mysteries](https://www.amazon.com/gp/bestsellers/books/9536087011/ref=pd_zg_hrsr_books)\n[#1 in Mystery Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487840011/ref=pd_zg_hrsr_digital-text)""]",Poet Parker’s team San Francisco’s history nosy police officer his own paranormal task force,Third,true,false,true
2025-08-11,Urban Fantasy,B0DS6MXLZC,The Night Prince: A Fantasy Romance (The Wolf King Book 2),Lauren Palphreyman,https://www.amazon.com/stores/author/B07B2Z4DKQ,The Wolf King,5.99,4.60,18434,121,2025-03-31,,"""Let me have you. Just once. Please."" Aurora is caught between powerful alphas as they fight for the Wolf Throne. But darker forces are rising. . . Aurora may have survived the Wolf King, but his bite marks her skin. In accordance with wolf law, that makes her his property. Now, he wants her back.  To beat him and take his throne, Aurora and Callum must form a dangerous alliance with one of the most feared Wolves in the Kingdom, Blake. He is their enemy, but he has entangled his life with Aurora’s—meaning she cannot harm him without forfeiting her own life.  As she fights to break their connection, she suspects Blake is keeping secrets about a dark power that rises in the north, and the unsettling nature of the bond between them. It seems there is a bigger game at play than who sits on the Wolf Throne—one that threatens both the Kingdom of Wolves, and the Kingdom of Men.  With her wolf awakening, enemies closing in, relationships tested, and secrets revealed—Aurora may be the only one who can stop an ancient evil from rising.  If she can figure out who to trust.  If she can figure out where she, and her heart, belong.  If she can stay alive. The highly anticipated sequel to The Wolf King. A romantasy for fans of enemies to lovers, shifters, forbidden romance, villains you love to hate (or maybe just love!), and werewolves. Contains strong language and sexual situations.",https://m.media-amazon.com/images/I/5160lq1gjkL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0DS6MXLZC,"[""Enemies to Lovers"",""Shifter"",""Alpha Male"",""Aristocracy""]","[""[#2 in Paranormal Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/12569916011/ref=pd_zg_hrsr_digital-text)\n[#4 in Paranormal Fantasy Books](https://www.amazon.com/gp/bestsellers/books/9673710011/ref=pd_zg_hrsr_books)\n[#8 in Romantic Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/13922577011/ref=pd_zg_hrsr_books)""]","highly anticipated sequel most feared Wolves Kingdom, Blake",Third,true,true,true
2025-08-11,Urban Fantasy,B08PBCD9Y7,Carl's Doomsday Scenario: Dungeon Crawler Carl Book 2,Matt Dinniman,https://www.amazon.com/stores/author/B002BLP1QY,Dungeon Crawler Carl,4.99,4.70,25975,205,2021-01-06,Dandy House,"""The training levels have concluded. Now the games may truly begin.""  The ratings and views are off the chart. The fans just can't get enough. The dungeon gets more dangerous each day. But in a grinder designed to chew up and spit out crawlers by the millions, Carl and Princess Donut need to work harder than ever just to survive. They call it the Over City. A sprawling, once-thriving metropolis devastated by a mysterious calamity. But these streets are far from abandoned. An undead circus trawls the ruins. Murdered prostitutes rain from the sky. An ancient spell is finally ready to reveal its dark purpose. Carl still has no pants. They call it Dungeon Crawler World. For Carl and Donut, it's anything but a game.",https://m.media-amazon.com/images/I/51kccfGaudL._SY445_SX342_.jpg,https://www.amazon.com/dp/B08PBCD9Y7,"[""Crime"",""Mystery""]","[""[#2 in Fantasy TV"",""Movie & Game Tie-In](https://www.amazon.com/gp/bestsellers/digital-text/6809433011/ref=pd_zg_hrsr_digital-text)\n[#2 in Contemporary Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16195/ref=pd_zg_hrsr_books)\n[#2 in Contemporary Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158579011/ref=pd_zg_hrsr_digital-text)""]","sprawling, once-thriving metropolis",Third,false,false,true
2025-08-11,Urban Fantasy,B0F2S9VDDW,Hex to Nothing (A Supernatural Speakeasy Cozy Mystery Book 18),Lily Harper Hart,https://www.amazon.com/stores/author/B00NW0JTG6,A Supernatural Speakeasy Cozy Mystery,4.99,4.80,409,237,2025-08-05,HarperHart Publications,"Ofelia Archer thought she’d faced off with every paranormal enemy known to man. She was wrong. She’s about to fight something even bigger than she ever imagined. The weird thing is the packaging is somewhat smaller. When at a Carnival parade, goblins descend and take Ofelia and her fiancé Zach Sully by surprise. The attack is quick and brutal. When the dust clears, one of New Orleans’ richest men is dead. Was that an accident or by design? As Ofelia and Sully start digging, they find a tangled web of deceit. The goblins have been in New Orleans before, but they were driven out by a magical contingent of vampires. They have no intention of leaving again. On top of that, their king has decided he needs a wife. He wants that wife to be Ofelia. As Ofelia learns about the past she starts worrying about the future. Can she fight off an entire army of goblins and keep those she loves safe? The war is on, and only one side will come out victorious. Who will it be, the goblin king or the French Quarter’s favorite witch?",https://m.media-amazon.com/images/I/517gToVJlcL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0F2S9VDDW,"[""Witch"",""Mystery"",""Cozy"",""Military"",""Vampire"",""Magic"",""Supernatural""]","[""[#1 in Paranormal Witches & Wizards Romance](https://www.amazon.com/gp/bestsellers/digital-text/6401743011/ref=pd_zg_hrsr_digital-text)\n[#2 in Witch & Wizard Mysteries](https://www.amazon.com/gp/bestsellers/books/9536087011/ref=pd_zg_hrsr_books)\n[#2 in Mystery Romance](https://www.amazon.com/gp/bestsellers/digital-text/6487840011/ref=pd_zg_hrsr_digital-text)""]",French Quarter’s favorite witch,Third,true,false,true
2025-08-11,Urban Fantasy,B0BGT7SZPT,The Book of Azrael (Gods & Monsters 1),Amber V. Nicole,https://www.amazon.com/stores/author/B09PJ8SMRJ,Gods & Monsters,2.99,4.40,35847,245,2022-09-28,Rose & Star Publishing,"World Ender meets Ender of Worlds... A thousand years ago, Dianna gave up her life in the deserts of Eoria to save her dying sister. She called upon anyone who would listen, not expecting a monster far worse than any nightmare to answer. Now she does what Kaden asks, even if that means securing an ancient relic from the very creatures that hunt her. A King thought long dead and long forgotten. In the old world his name was Samkiel. In the new world it is Liam, but one title remains true throughout time. He is the World Ender, a myth to his enemies, a savior and King to those loyal to him. After the Gods War, he locked himself away, hiding from the world. He denied his crown and responsibilities, leaving the very ones who needed him most to deal with the fallout of the death of their homeworld. Now an attack on those he holds dear sends him back to the one realm he never wished to visit again and into the sights of an enemy he thought imprisoned eons ago. Now enemies older than time must put aside their differences and work together in hopes of saving both their world and every realm in between.",https://m.media-amazon.com/images/I/511KlkbPMAL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0BGT7SZPT,"[""Monsters""]","[""[#1 in Urban Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/6157854011/ref=pd_zg_hrsr_digital-text)\n[#4 in Urban Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/383988011/ref=pd_zg_hrsr_books)\n[#8 in Dark Fantasy Horror](https://www.amazon.com/gp/bestsellers/digital-text/157062011/ref=pd_zg_hrsr_digital-text)""]",,Third,true,false,true
2025-08-11,Urban Fantasy,B0CNR8156S,The Full Moon Coffee Shop: A Novel,Mai Mochizuki,https://www.amazon.com/stores/author/B0B1TLP9DG,The Full Moon Coffee Shop,11.99,4.20,1435,302,2024-08-20,Ballantine Books,"NATIONAL BESTSELLER • Translated from the Japanese bestseller, a charming and magical novel that reminds us it’s never too late to follow our stars. “Mochizuki dazzles in her beautifully crafted contemporary fantasy debut. . . . This gentle fantasy is not to be missed.”— Publishers Weekly, starred review (Best Books of the Year) In Japan, cats are a symbol of good luck. As the myth goes, if you are kind to them, they’ll one day return the favor. And if you are kind to the right cat, you might just find yourself invited to a mysterious coffee shop under a glittering Kyoto moon. This particular coffee shop is like no other. It has no fixed location, no fixed hours, and it seemingly appears at random. It’s also run by talking cats. While customers at the Full Moon Coffee Shop partake in cakes and coffees and teas, the cats also consult their star charts, offering cryptic wisdom, and letting them know where their lives veered off course. Every person who visits the shop has been feeling more than a little lost. For a down-on-her-luck screenwriter, a romantically stuck movie director, a hopeful hairstylist, and a technologically challenged website designer, the coffee shop’s feline guides will set them back on their fated paths. For there is a very special reason the shop appeared to each of them . . .",https://m.media-amazon.com/images/I/51s6+ScZ6kL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0CNR8156S,"[""Magic"",""Mystery"",""Contemporary"",""Animals""]","[""[#3 in Contemporary Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/158579011/ref=pd_zg_hrsr_digital-text)\n[#4 in Magical Realism](https://www.amazon.com/gp/bestsellers/books/9045831011/ref=pd_zg_hrsr_books)\n[#8 in Contemporary Fantasy (Books)](https://www.amazon.com/gp/bestsellers/books/16195/ref=pd_zg_hrsr_books)""]",mysterious coffee shop Full Moon Coffee Shop partake very special reason technologically challenged website designer coffee shop’s feline guides particular coffee shop charming and magical novel romantically stuck movie director glittering Kyoto moon,Third,true,false,true
2025-08-11,Urban Fantasy,B0FDRDPDY1,Triumph of the Wolf (Magnetic Magic Book 6),Lindsay Buroker,https://www.amazon.com/stores/author/B004FSRHUE,Magnetic Magic,4.99,4.70,260,350,2025-08-08,Lindsay Buroker,"Now that Luna has helped Duncan, the charming werewolf she’s fallen in love with, remove the curse that threatened his life, they can finally be together. Or can they?  When her ex-husband shows up, embroiled in a new plot against the pack, Luna and Duncan find themselves once again fighting for their lives. And then there’s the vengeful Lord Abrams, out to get them for thwarting his plans.  Luna longs for solutions to her problems and a happily ever after, but, with the world conspiring against her, will she find either? Find out in the conclusion to the Magnetic Magic urban fantasy series!",https://m.media-amazon.com/images/I/51atFIthVkL._SY445_SX342_.jpg,https://www.amazon.com/dp/B0FDRDPDY1,"[""Shifter"",""Magic""]","[""[#2 in Werewolf & Shifter Thrillers](https://www.amazon.com/gp/bestsellers/books/9536079011/ref=pd_zg_hrsr_books)\n[#2 in Werewolves & Shifters Suspense](https://www.amazon.com/gp/bestsellers/digital-text/7130642011/ref=pd_zg_hrsr_digital-text)\n[#4 in Paranormal Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/12569916011/ref=pd_zg_hrsr_digital-text)""]",Magnetic Magic urban fantasy series vengeful Lord Abrams,Third,true,true,true
2025-08-11,Urban Fantasy,B096T6GHLG,Book of Night (The Charlatan Duology 1),Holly Black,https://www.amazon.com/stores/author/B001H6GPWS,Book of Night,2.99,4.20,5705,391,2022-05-03,Tor Books,"""A delicious, dark, adrenaline rush of a book. I'm already dying to see Charlie Hall's next con."" - New York Times bestselling author, Alix E. Harrow #1 New York Times bestselling author Holly Black makes her stunning adult debut with Book of Night, a modern dark fantasy of betrayals, secret societies, and a dissolute thief of shadows, in the vein of Neil Gaiman and Erin Morgenstern. Charlie Hall has never found a lock she couldn’t pick, a book she couldn’t steal, or a bad decision she wouldn’t make. She's spent half her life working for gloamists, magicians who manipulate shadows to peer into locked rooms, strangle people in their beds, or worse. Gloamists guard their secrets greedily, creating an underground economy of grimoires. And to rob their fellow magicians, they need Charlie Hall. Now, she’s trying to distance herself from past mistakes, but getting out isn’t easy. Bartending at a dive, she’s still entirely too close to the corrupt underbelly of the Berkshires. Not to mention that her sister Posey is desperate for magic, and that Charlie's shadowless, and possibly soulless, boyfriend has been hiding things from her. When a terrible figure from her past returns, Charlie descends into a maelstrom of murder and lies. Determined to survive, she’s up against a cast of doppelgangers, mercurial billionaires, gloamists, and the people she loves best in the world—all trying to steal a secret that will give them vast and terrible power. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",https://m.media-amazon.com/images/I/51CmQgz3F1L._SY445_SX342_.jpg,https://www.amazon.com/dp/B096T6GHLG,"[""Billionaire"",""Crime"",""Dark Fantasy"",""Magic""]","[""[#1 in Occult Fiction](https://www.amazon.com/gp/bestsellers/books/9814/ref=pd_zg_hrsr_books)\n[#1 in Occult Horror](https://www.amazon.com/gp/bestsellers/digital-text/157065011/ref=pd_zg_hrsr_digital-text)\n[#4 in Paranormal Suspense](https://www.amazon.com/gp/bestsellers/digital-text/7130638011/ref=pd_zg_hrsr_digital-text)""]",Digital Rights Management Software modern dark fantasy 1 New York Times Publisher's request her stunning adult debut vast and terrible power,Third,true,true,true
2025-08-11,Urban Fantasy,B09NGPJ36S,Zodiac Academy 8: Sorrow and Starlight,Caroline Peckham,https://www.amazon.com/stores/author/B01A4DVOU2,Zodiac Academy,8.99,4.30,45673,397,2022-12-11,King's Hollow,"All stars must fall. Bloody, lost, broken. We live to fight another day. But with so much stolen from us, can the fates ever twist in our favour again? My sister and I have been torn apart by shadows and despair, and now we each stand alone. Our sorrow is spun like a web, trapping us tight, and I fear our enemies will soon come to feast upon our souls. But if I have my way, the merciless sky will have dealt us its final fortune. It’s time for us to take back the power that’s been ripped from our grasp and turn the tide of this war. All stars must fall, and all Phoenixes must rise. Long live the Savage Queens. ***This is a dark, bully romance – don’t go expecting a sweet school for magic with friends around every corner. Fae fight for everything they own and Zodiac Academy is a cutthroat school for students aged 18+ where only the strongest prevail. There’s no Dumbledore here to save anyone’s ass and Lionel Acrux will give Voldemort a run for his money in the evil dictator category. So hold onto your stardust (broomsticks not required) and get ready for a bumpy ride***",https://m.media-amazon.com/images/I/51dLNFBfIIL._SY445_SX342_.jpg,https://www.amazon.com/dp/B09NGPJ36S,"[""Fae/Elves"",""Magic"",""School/Academy"",""Bully""]","[""[#5 in Paranormal Fantasy (Kindle Store)](https://www.amazon.com/gp/bestsellers/digital-text/12569916011/ref=pd_zg_hrsr_digital-text)\n[#8 in Paranormal Fantasy Books](https://www.amazon.com/gp/bestsellers/books/9673710011/ref=pd_zg_hrsr_books)\n[#52 in Romantasy eBooks](https://www.amazon.com/gp/bestsellers/digital-text/158569011/ref=pd_zg_hrsr_digital-text)""]","where only the strongest prevail anyone’s ass and Lionel Acrux evil dictator category dark, bully romance",First,true,true,true
